No no
matter matter
how how
hard hard
you you
might might
try try
, ,
you you
can can
' '
t t
just just
flip flip
a a
switch switch
when when
you you
step step
into into
the the
office office
and and
turn turn
your your
emotions emotion
off off
. .
Feeling feeling
feelings feeling
is be
part part
of of
being be
human human
. .
[ [
The the
Way way
We we
Work work
] ]
A a
pervasive pervasive
myth myth
exists exist
that that
emotions emotion
don don
' '
t t
belong belong
at at
work work
, ,
and and
this this
often often
leads lead
us us
to to
mistakenly mistakenly
equate equate
professionalism professionalism
with with
being be
stoic stoic
or or
even even
cold cold
. .
But but
research research
shows show
that that
in in
the the
moments moment
when when
our our
colleagues colleague
drop drop
their their
glossy glossy
professional professional
presentation presentation
, ,
we we
' '
re re
actually actually
much much
more more
likely likely
to to
believe believe
what what
they they
' '
re re
telling tell
us us
. .
We we
feel feel
connected connect
to to
the the
people people
around around
us us
. .
We we
try try
harder hard
, ,
we we
perform perform
better well
and and
we we
' '
re re
just just
generally generally
kinder kind
. .
So so
it it
' '
s s
about about
time time
that that
we we
learn learn
how how
to to
embrace embrace
emotion emotion
at at
work work
. .
Now now
, ,
that that
' '
s s
not not
to to
say say
you you
should should
suddenly suddenly
become become
a a
feelings feeling
fire fire
hose hose
. .
A a
line line
exists exist
between between
sharing sharing
, ,
which which
builds build
trust trust
, ,
and and
oversharing oversharing
, ,
which which
destroys destroy
it it
. .
If if
you you
suddenly suddenly
let let
your your
feelings feeling
run run
wild wild
at at
work work
and and
give give
people people
far far
more more
information information
than than
they they
bargained bargain
for for
, ,
you you
make make
everyone everyone
around around
you you
uncomfortable uncomfortable
and and
you you
also also
undermine undermine
yourself yourself
. .
You you
' '
re re
more more
likely likely
to to
be be
seen see
as as
weak weak
or or
lacking lacking
self self
awareness awareness
, ,
so so
, ,
great great
to to
say say
you you
weren weren
' '
t t
feeling feeling
well well
last last
night night
-- --
you you
don don
' '
t t
need need
to to
go go
into into
every every
lurid lurid
detail detail
about about
how how
you you
got get
reacquainted reacquainted
with with
your your
