Chris chris
Anderson anderson
: :
Welcome welcome
to to
TED ted
Connects connect
. .
This this
is be
a a
new new
series series
of of
live live
conversations conversation
, ,
trying try
to to
make make
sense sense
of of
this this
weird weird
moment moment
that that
we we
' '
re re
in in
: :
coronavirus coronavirus
. .
Everyone everyone
' '
s s
suddenly suddenly
changing change
how how
they they
live live
their their
lives life
, ,
it it
' '
s s
so so
jolting jolt
, ,
it it
' '
s s
so so
startling startling
. .
We we
' '
re re
all all
trying try
to to
make make
sense sense
of of
it it
, ,
and and
it it
ain ain
' '
t t
easy easy
. .
That that
much much
we we
know know
. .
We we
' '
re re
trying try
to to
make make
sense sense
of of
this this
together together
in in
the the
only only
way way
that that
we we
know know
how how
, ,
which which
is be
by by
having have
wise wise
humans human
coming come
on on
, ,
talking talk
to to
each each
other other
, ,
listening listen
to to
each each
other other
trying try
to to
learn learn
from from
each each
other other
. .
We we
are be
apart apart
, ,
but but
we we
can can
use use
this this
moment moment
to to
build build
community community
together together
, ,
and and
that that
' '
s s
what what
we we
' '
re re
trying try
to to
do do
. .
So so
this this
is be
being be
produced produce
by by
a a
virtual virtual
TED ted
team team
scattered scatter
around around
New new
York york
, ,
currently currently
one one
of of
the the
epicenters epicenter
of of
this this
pandemic pandemic
. .
So so
it it
' '
s s
definitely definitely
a a
scary scary
time time
for for
people people
here here
. .
I i
' '
d d
like like
to to
welcome welcome
to to
join join
me me
my my
cohost cohost
here here
, ,
Whitney whitney
Pennington pennington
Rodgers rodgers
. .
She she
' '
s s
our our
current current
affairs affair
curator curator
. .
Whitney whitney
Pennington pennington
Rodgers rodgers
: :
We we
' '
re re
going go
to to
be be
looking look
a a
little little
bit bit
at at
China china
' '
s s
response response
today today
. .
When when
news news
surfaced surface
about about
a a
strange strange
viral viral
outbreak outbreak
in in
Wuhan wuhan
, ,
China china
at at
the the
very very
last last
days day
of of
2019 @card@
, ,
I i
think think
a a
lot lot
of of
people people
were be
confused confuse
about about
what what
was be
going go
on on
there there
, ,
and and
in in
the the
months month
that that
followed follow
, ,
we we
learned learn
more more
about about
the the
disease disease
that that
' '
s s
now now
known know
as as
COVID-19 covid-19
, ,
we we
watched watch
the the
situation situation
in in
China china
quickly quickly
worsen worsen
and and
in in
the the
most most
recent recent
weeks week
dramatically dramatically
improve improve
