Once once
upon upon
a a
time time
, ,
there there
was be
a a
dread dread
disease disease
that that
afflicted afflict
children child
. .
And and
in in
fact fact
, ,
among among
all all
the the
diseases disease
that that
existed exist
in in
this this
land land
, ,
it it
was be
the the
worst bad
. .
It it
killed kill
the the
most most
children child
. .
And and
along along
came come
a a
brilliant brilliant
inventor inventor
, ,
a a
scientist scientist
, ,
who who
came come
up up
with with
a a
partial partial
cure cure
for for
that that
disease disease
. .
And and
it it
wasn wasn
' '
t t
perfect perfect
. .
Many many
children child
still still
died die
, ,
but but
it it
was be
certainly certainly
better good
than than
what what
they they
had have
before before
. .
And and
one one
of of
the the
good good
things thing
about about
this this
cure cure
was be
that that
it it
was be
free free
, ,
virtually virtually
free free
, ,
and and
was be
very very
easy easy
to to
use use
. .
But but
the the
worst bad
thing thing
about about
it it
was be
that that
you you
couldn couldn
' '
t t
use use
it it
on on
the the
youngest young
children child
, ,
on on
infants infant
, ,
and and
on on
one-year-olds one-year-olds
. .
And and
so so
, ,
as as
a a
consequence consequence
, ,
a a
few few
years year
later later
, ,
another another
scientist scientist
— -
perhaps perhaps
maybe maybe
this this
scientist scientist
not not
quite quite
as as
brilliant brilliant
as as
the the
one one
who who
had have
preceded precede
him him
, ,
but but
building build
on on
the the
invention invention
of of
the the
first first
one one
— -
came come
up up
with with
a a
second second
cure cure
. .
And and
the the
beauty beauty
of of
the the
second second
cure cure
for for
this this
disease disease
was be
that that
it it
could could
be be
used use
on on
infants infant
and and
one-year-olds one-year-olds
. .
And and
the the
problem problem
with with
this this
cure cure
was be
it it
was be
very very
expensive expensive
, ,
and and
it it
was be
very very
complicated complicate
to to
use use
. .
And and
although although
parents parent
tried try
as as
hard hard
as as
they they
could could
to to
use use
it it
properly properly
, ,
almost almost
all all
of of
them them
ended end
up up
using use
it it
wrong wrong
in in
the the
end end
. .
But but
what what
they they
did do
, ,
of of
course course
, ,
since since
it it
was be
so so
complicated complicated
and and
expensive expensive
, ,
they they
only only
used use
it it
on on
the the
zero-year-olds zero-year-olds
and and
the the
one-year-olds one-year-olds
. .
And and
they they
kept keep
on on
using use
the the
existing existing
cure cure
that that
they they
had have
on on
the the
two-year-olds two-year-old
and and
up up
. .
And and
this this
went go
on on
for for
quite quite
some some
time time
. .
People people
were be
happy happy
. .
They they
had have
their their
two two
cures cure
. .
Until until
a a
particular particular
mother mother
, ,
whose whose
child child
had have
just just
turned turn
two two
, ,
died die
of of
this this
disease disease
. .
And and
she she
thought think
to to
herself herself
, ,
" "
My my
child child
just just
turned turn
two two
, ,
and and
until until
the the
child child
turned turn
two two
, ,
I i
had have
always always
used use
this this
complicated complicated
, ,
expensive expensive
cure cure
, ,
you you
know know
, ,
this this
treatment treatment
. .
And and
then then
the the
child child
turned turn
two two
, ,
and and
I i
started start
using use
the the
cheap cheap
and and
easy easy
treatment treatment
, ,
and and
I i
wonder wonder
" "
— -
and and
she she
wondered wonder
, ,
like like
all all
parents parent
who who
lose lose
children child
wonder wonder
— -
" "
if if
there there
isn isn
' '
t t
something something
that that
I i
could could
have have
done do
, ,
like like
keep keep
on on
using use
that that
complicated complicated
, ,
expensive expensive
cure cure
. .
" "
And and
she she
told tell
all all
the the
other other
people people
, ,
and and
she she
said say
, ,
" "
How how
could could
it it
possibly possibly
be be
that that
something something
that that
' '
s s
cheap cheap
and and
simple simple
works work
as as
well well
as as
something something
that that
' '
s s
complicated complicated
and and
expensive expensive
? ?
" "
And and
the the
people people
thought think
, ,
" "
You you
know know
, ,
you you
' '
re re
right right
. .
It it
probably probably
is be
the the
wrong wrong
thing thing
to to
do do
to to
switch switch
and and
use use
the the
cheap cheap
and and
simple simple
solution solution
. .
" "
And and
the the
government government
, ,
they they
heard hear
her her
story story
and and
the the
other other
people people
, ,
and and
they they
said say
, ,
" "
Yeah yeah
, ,
you you
' '
re re
right right
, ,
we we
should should
make make
a a
law law
. .
We we
should should
outlaw outlaw
this this
cheap cheap
and and
simple simple
treatment treatment
and and
not not
let let
anybody anybody
use use
this this
on on
their their
children child
. .
" "
And and
the the
people people
were be
happy happy
. .
They they
were be
satisfied satisfy
. .
For for
many many
years year
this this
went go
along along
, ,
and and
everything everything
was be
fine fine
. .
But but
then then
along along
came come
a a
lowly lowly
economist economist
, ,
who who
had have
children child
himself himself
, ,
and and
he he
used use
the the
expensive expensive
and and
complicated complicated
treatment treatment
. .
But but
he he
knew know
about about
the the
cheap cheap
and and
simple simple
one one
. .
And and
he he
thought think
about about
it it
, ,
and and
the the
expensive expensive
one one
didn didn
' '
t t
seem seem
that that
great great
to to
him him
. .
So so
he he
thought think
, ,
" "
I i
don don
' '
t t
know know
anything anything
about about
science science
, ,
but but
I i
do do
know know
something something
about about
data datum
, ,
so so
maybe maybe
I i
should should
go go
and and
look look
at at
the the
data datum
and and
see see
whether whether
this this
expensive expensive
and and
complicated complicated
treatment treatment
actually actually
works work
any any
better good
than than
the the
cheap cheap
and and
simple simple
one one
. .
" "
And and
lo lo
and and
behold behold
, ,
when when
he he
went go
through through
the the
data datum
, ,
he he
found find
that that
it it
didn didn
' '
t t
look look
like like
the the
expensive expensive
, ,
complicated complicated
solution solution
was be
any any
better good
than than
the the
cheap cheap
one one
, ,
at at
least least
for for
the the
children child
who who
were be
two two
and and
older old
— -
the the
cheap cheap
one one
still still
didn didn
' '
t t
work work
on on
the the
kids kid
who who
were be
younger young
. .
And and
so so
, ,
he he
went go
forth forth
to to
the the
people people
and and
he he
said say
, ,
" "
I i
' '
ve ve
made make
this this
wonderful wonderful
finding finding
: :
it it
looks look
as as
if if
we we
could could
just just
use use
the the
cheap cheap
and and
simple simple
solution solution
, ,
and and
by by
doing do
so so
we we
could could
save save
ourselves ourselves
300 @card@
million million
dollars dollar
a a
year year
, ,
and and
we we
could could
spend spend
that that
on on
our our
children child
in in
other other
ways way
. .
" "
And and
the the
parents parent
were be
very very
unhappy unhappy
, ,
and and
they they
said say
, ,
" "
This this
is be
a a
terrible terrible
thing thing
, ,
because because
how how
can can
the the
cheap cheap
and and
easy easy
thing thing
be be
as as
good good
as as
the the
hard hard
thing thing
? ?
" "
And and
the the
government government
was be
very very
upset upset
. .
And and
in in
particular particular
, ,
the the
people people
who who
made make
this this
expensive expensive
solution solution
were be
very very
upset upset
because because
they they
thought think
, ,
" "
How how
can can
we we
hope hope
to to
compete compete
with with
something something
that that
' '
s s
essentially essentially
free free
? ?
We we
would would
lose lose
all all
of of
our our
market market
. .
" "
And and
people people
were be
very very
angry angry
, ,
and and
they they
called call
him him
horrible horrible
names name
. .
And and
he he
decided decide
that that
maybe maybe
he he
should should
leave leave
the the
country country
for for
a a
few few
days day
, ,
and and
seek seek
out out
some some
more more
intelligent intelligent
, ,
open-minded open-minded
people people
in in
a a
place place
called call
Oxford oxford
, ,
and and
come come
and and
try try
and and
tell tell
the the
story story
at at
that that
place place
. .
And and
so so
, ,
anyway anyway
, ,
here here
I i
am be
. .
It it
' '
s s
not not
a a
fairy fairy
tale tale
. .
It it
' '
s s
a a
true true
story story
about about
the the
United united
States states
today today
, ,
and and
the the
disease disease
I i
' '
m m
referring refer
to to
is be
actually actually
motor motor
vehicle vehicle
accidents accident
for for
children child
. .
And and
the the
free free
cure cure
is be
adult adult
seatbelts seatbelt
, ,
and and
the the
expensive expensive
cure cure
— -
the the
300-million-dollar-a-year 300-million-dollar-a-year
cure cure
— -
is be
child child
car car
seats seat
. .
And and
what what
I i
' '
d d
like like
to to
talk talk
to to
you you
about about
today today
is be
some some
of of
the the
evidence evidence
why why
I i
believe believe
this this
to to
be be
true true
: :
that that
for for
children child
two two
years year
old old
and and
up up
, ,
there there
really really
is be
no no
real real
benefit benefit
— -
proven proven
benefit benefit
— -
of of
car car
seats seat
, ,
in in
spite spite
of of
the the
incredible incredible
energy energy
that that
has have
been be
devoted devote
toward toward
expanding expand
the the
laws law
and and
making make
it it
socially socially
unacceptable unacceptable
to to
put put
your your
children child
into into
seatbelts seatbelt
. .
And and
then then
talk talk
about about
why why
— -
what what
is be
it it
that that
makes make
that that
true true
? ?
And and
then then
, ,
finally finally
talk talk
a a
little little
bit bit
about about
a a
third third
way way
, ,
about about
another another
technology technology
, ,
which which
is be
probably probably
better good
than than
anything anything
we we
have have
, ,
but but
which which
— -
there there
hasn hasn
' '
t t
been be
any any
enthusiasm enthusiasm
for for
adoption adoption
precisely precisely
because because
people people
are be
so so
enamored enamor
with with
the the
current current
car car
seat seat
solution solution
. .
OK ok
. .
So so
, ,
many many
times time
when when
you you
try try
to to
do do
research research
on on
data datum
, ,
it it
records record
complicated complicated
stories story
— -
