Chris chris
Anderson anderson
: :
So so
our our
first first
speaker speaker
gave give
a a
TED ted
Talk talk
at at
TEDGlobal tedglobal
I i
think think
seven seven
years year
ago ago
. .
His his
name name
is be
Professor professor
Uri uri
Alon alon
, ,
at at
the the
Weizmann weizmann
Institute institute
of of
Science science
. .
Now now
, ,
he he
and and
his his
colleagues colleague
there there
have have
come come
up up
with with
a a
powerful powerful
idea idea
that that
addresses address
this this
key key
question question
: :
How how
on on
earth earth
do do
we we
get get
back back
to to
work work
without without
creating create
a a
second second
surge surge
of of
the the
infection infection
? ?
Uri uri
Alon alon
, ,
welcome welcome
to to
TED ted
. .
Uri uri
Alon alon
: :
Thank thank
you you
. .
Nice nice
to to
be be
here here
again again
. .
CA ca
: :
It it
' '
s s
great great
to to
see see
you you
again again
. .
So so
, ,
I i
guess guess
the the
key key
to to
your your
idea idea
is be
this this
obsession obsession
with with
the the
reproduction reproduction
number number
R r
, ,
R-naught r-naught
. .
If if
that that
number number
is be
less less
than than
one one
, ,
then then
fewer few
than than
one one
person person
is be
infected infect
by by
a a
typical typical
person person
, ,
and and
eventually eventually
, ,
the the
epidemic epidemic
fades fade
away away
. .
People people
are be
worried worry
that that
as as
we we
come come
back back
to to
work work
, ,
R r
will will
shoot shoot
up up
above above
one one
again again
. .
You you
have have
a a
suggestion suggestion
for for
how how
we we
might might
avoid avoid
that that
. .
What what
is be
that that
suggestion suggestion
? ?
UA ua
: :
Exactly exactly
. .
So so
, ,
we we
are be
suggesting suggest
a a
strategy strategy
that that
' '
s s
based base
on on
a a
weak weak
spot spot
based base
on on
the the
biology biology
of of
the the
virus virus
, ,
which which
is be
a a
cycle cycle
of of
work work
and and
lockdown lockdown
. .
It it
exploits exploit
the the
vulnerability vulnerability
of of
the the
virus virus
in in
that that
, ,
when when
a a
person person
gets get
infected infected
, ,
they they
' '
re re
not not
infectious infectious
for for
about about
three three
days day
. .
So so
you you
don don
' '
t t
infect infect
others other
for for
the the
first first
three three
days day
, ,
and and
after after
another another
two two
days day
, ,
on on
average average
, ,
you you
get get
symptoms symptom
. .
So so
we we
' '
re re
proposing propose
a a
strategy strategy
which which
is be
four four
days day
of of
work work
and and
then then
10 @card@
days day
of of
lockdown lockdown
, ,
and and
the the
next next
two two
weeks week
, ,
again again
: :
