Well well
, ,
you you
know know
, ,
sometimes sometimes
the the
most most
important important
things thing
come come
in in
the the
smallest small
packages package
. .
I i
am be
going go
to to
try try
to to
convince convince
you you
, ,
in in
the the
15 @card@
minutes minute
I i
have have
, ,
that that
microbes microbe
have have
a a
lot lot
to to
say say
about about
questions question
such such
as as
, ,
" "
Are be
we we
alone alone
? ?
" "
and and
they they
can can
tell tell
us us
more more
about about
not not
only only
life life
in in
our our
solar solar
system system
but but
also also
maybe maybe
beyond beyond
, ,
and and
this this
is be
why why
I i
am be
tracking track
them them
down down
in in
the the
most most
impossible impossible
places place
on on
Earth earth
, ,
in in
extreme extreme
environments environment
where where
conditions condition
are be
really really
pushing push
them them
to to
the the
brink brink
of of
survival survival
. .
Actually actually
, ,
sometimes sometimes
me me
too too
, ,
when when
I i
' '
m m
trying try
to to
follow follow
them them
too too
close close
. .
But but
here here
' '
s s
the the
thing thing
: :
We we
are be
the the
only only
advanced advanced
civilization civilization
in in
the the
solar solar
system system
, ,
but but
that that
doesn doesn
' '
t t
mean mean
that that
there there
is be
no no
microbial microbial
life life
nearby nearby
. .
In in
fact fact
, ,
the the
planets planet
and and
moons moon
you you
see see
here here
could could
host host
life life
— -
all all
of of
them them
— -
and and
we we
know know
that that
, ,
and and
it it
' '
s s
a a
strong strong
possibility possibility
. .
And and
if if
we we
were be
going go
to to
find find
life life
on on
those those
moons moon
and and
planets planet
, ,
then then
we we
would would
answer answer
questions question
such such
as as
, ,
are be
we we
alone alone
in in
the the
solar solar
system system
? ?
Where where
are be
we we
coming come
from from
? ?
Do do
we we
have have
family family
in in
the the
neighborhood neighborhood
? ?
Is be
there there
life life
beyond beyond
our our
solar solar
system system
? ?
And and
we we
can can
ask ask
all all
those those
questions question
because because
there there
has have
been be
a a
revolution revolution
in in
our our
understanding understanding
of of
what what
a a
habitable habitable
planet planet
is be
, ,
and and
today today
, ,
a a
habitable habitable
planet planet
is be
a a
planet planet
that that
has have
a a
zone zone
where where
water water
can can
stay stay
stable stable
, ,
but but
to to
me me
this this
is be
a a
horizontal horizontal
definition definition
of of
habitability habitability
, ,
because because
it it
involves involve
a a
distance distance
to to
a a
star star
, ,
but but
there there
is be
another another
dimension dimension
to to
habitability habitability
, ,
and and
this this
is be
a a
vertical vertical
dimension dimension
. .
Think think
of of
it it
as as
conditions condition
in in
the the
subsurface subsurface
of of
a a
planet planet
where where
you you
are be
very very
far far
away away
from from
a a
sun sun
, ,
but but
you you
still still
have have
