Two two
weeks week
ago ago
I i
was be
in in
my my
studio studio
in in
Paris paris
, ,
and and
the the
phone phone
rang ring
and and
I i
heard hear
, ,
" "
Hey hey
, ,
JR jr
, ,
you you
won win
the the
TED ted
Prize prize
2011 @card@
. .
You you
have have
to to
make make
a a
wish wish
to to
save save
the the
world world
. .
" "
I i
was be
lost lose
. .
I i
mean mean
, ,
I i
can can
' '
t t
save save
the the
world world
. .
Nobody nobody
can can
. .
The the
world world
is be
fucked fuck
up up
. .
Come come
on on
, ,
you you
have have
dictators dictator
ruling rule
the the
world world
, ,
population population
is be
growing grow
by by
millions million
, ,
there there
' '
s s
no no
more more
fish fish
in in
the the
sea sea
, ,
the the
North north
Pole pole
is be
melting melt
and and
as as
the the
last last
TED ted
Prize prize
winner winner
said say
, ,
we we
' '
re re
all all
becoming become
fat fat
. .
Except except
maybe maybe
French french
people people
. .
Whatever whatever
. .
So so
I i
called call
back back
and and
I i
told tell
her her
, ,
" "
Look look
, ,
Amy amy
, ,
tell tell
the the
TED ted
guys guy
I i
just just
won win
' '
t t
show show
up up
. .
I i
can can
' '
t t
do do
anything anything
to to
save save
the the
world world
. .
" "
She she
said say
, ,
" "
Hey hey
, ,
JR jr
, ,
your your
wish wish
is be
not not
to to
save save
the the
world world
, ,
but but
to to
change change
the the
world world
. .
" "
" "
Oh oh
, ,
all all
right right
. .
" "
" "
That that
' '
s s
cool cool
. .
" "
I i
mean mean
, ,
technology technology
, ,
politics politics
, ,
business business
do do
change change
the the
world world
— -
not not
always always
in in
a a
good good
way way
, ,
but but
they they
do do
. .
What what
about about
art art
? ?
Could could
art art
change change
the the
world world
? ?
I i
started start
when when
I i
was be
15 @card@
years year
old old
. .
And and
at at
that that
time time
, ,
I i
was be
not not
thinking think
about about
changing change
the the
world world
. .
I i
was be
doing do
graffiti graffito
— -
writing write
my my
name name
everywhere everywhere
, ,
using use
the the
city city
as as
a a
canvas canvas
. .
I i
was be
going go
in in
the the
tunnels tunnel
of of
Paris paris
, ,
on on
the the
rooftops rooftop
with with
my my
friends friend
. .
Each each
trip trip
was be
an an
excursion excursion
, ,
was be
an an
adventure adventure
. .
It it
was be
like like
leaving leave
our our
mark mark
on on
society society
, ,
to to
say say
, ,
" "
I i
was be
here here
, ,
" "
on on
the the
top top
of of
a a
building building
. .
So so
when when
I i
found find
a a
cheap cheap
camera camera
on on
the the
subway subway
, ,
I i
started start
documenting document
those those
adventures adventure
with with
my my
friends friend
and and
gave give
them them
back back
as as
photocopies photocopy
— -
really really
small small
photos photo
just just
that that
size size
. .
That that
' '
s s
how how
, ,
at at
17 @card@
years year
old old
, ,
I i
started start
pasting paste
them them
. .
And and
I i
did do
my my
first first
" "
expo expo
de de
rue rue
, ,
" "
which which
means mean
sidewalk sidewalk
gallery gallery
. .
And and
I i
framed frame
it it
with with
color color
so so
you you
would would
not not
confuse confuse
it it
with with
advertising advertising
. .
I i
mean mean
, ,
the the
city city
' '
s s
the the
best good
gallery gallery
I i
could could
imagine imagine
. .
I i
would would
never never
have have
to to
make make
a a
book book
and and
then then
present present
it it
to to
a a
gallery gallery
and and
let let
them them
decide decide
if if
my my
work work
was be
nice nice
enough enough
to to
show show
it it
to to
people people
. .
I i
would would
control control
it it
directly directly
with with
the the
public public
in in
the the
streets street
. .
So so
that that
' '
s s
Paris paris
. .
I i
would would
change change
— -
depending depend
on on
the the
places place
I i
would would
go go
— -
the the
title title
of of
the the
exhibition exhibition
. .
That that
' '
s s
on on
the the
Champs-Elysees champs-elysees
. .
I i
was be
quite quite
proud proud
of of
that that
one one
. .
Because because
I i
was be
just just
18 @card@
and and
I i
was be
just just
up up
there there
on on
the the
top top
of of
the the
Champs-Elysees champs-elysees
. .
Then then
when when
the the
photo photo
left leave
, ,
the the
frame frame
was be
still still
there there
. .
November november
2005 @card@
: :
the the
streets street
are be
burning burn
. .
A a
large large
wave wave
of of
riots riot
had have
broken break
into into
the the
first first
projects project
of of
Paris paris
. .
Everyone everyone
was be
glued glue
to to
the the
TV tv
, ,
watching watch
disturbing disturbing
, ,
frightening frightening
images image
taken take
from from
the the
