Helen helen
Walters walters
: :
So so
, ,
Chris chris
, ,
who who
' '
s s
up up
first first
? ?
Chris chris
Anderson anderson
: :
Well well
, ,
we we
have have
a a
man man
who who
' '
s s
worried worry
about about
pandemics pandemic
pretty pretty
much much
his his
whole whole
life life
. .
He he
played play
an an
absolutely absolutely
key key
role role
, ,
more more
than than
40 @card@
years year
ago ago
, ,
in in
helping help
the the
world world
get get
rid rid
of of
the the
scourge scourge
of of
smallpox smallpox
. .
And and
in in
2006 @card@
, ,
he he
came come
to to
TED ted
to to
warn warn
the the
world world
of of
the the
dire dire
risk risk
of of
a a
global global
pandemic pandemic
, ,
and and
what what
we we
might might
do do
about about
it it
. .
So so
please please
welcome welcome
here here
Dr dr
. .
Larry larry
Brilliant brilliant
. .
Larry larry
, ,
so so
good good
to to
see see
you you
. .
Larry larry
Brilliant brilliant
: :
Thank thank
you you
, ,
nice nice
to to
see see
you you
. .
CA ca
: :
Larry larry
, ,
in in
that that
talk talk
, ,
you you
showed show
a a
video video
clip clip
that that
was be
a a
simulation simulation
of of
what what
a a
pandemic pandemic
might might
look look
like like
. .
I i
would would
like like
to to
play play
it it
-- --
this this
gave give
me me
chills chill
. .
Larry larry
Brilliant brilliant
: :
Let let
me me
show show
you you
a a
simulation simulation
of of
what what
a a
pandemic pandemic
looks look
like like
, ,
so so
we we
know know
what what
we we
' '
re re
talking talk
about about
. .
Let let
' '
s s
assume assume
, ,
for for
example example
, ,
that that
the the
first first
case case
occurs occur
in in
South south
Asia asia
. .
It it
initially initially
goes go
quite quite
slowly slowly
, ,
you you
get get
two two
or or
three three
discrete discrete
locations location
. .
Then then
there there
will will
be be
secondary secondary
outbreaks outbreak
. .
And and
the the
disease disease
will will
spread spread
from from
country country
to to
country country
so so
fast fast
that that
you you
won win
' '
t t
know know
what what
hit hit
you you
. .
Within within
three three
weeks week
, ,
it it
will will
be be
everywhere everywhere
in in
the the
world world
. .
Now now
if if
we we
had have
an an
undo undo
button button
, ,
and and
we we
could could
go go
back back
and and
isolate isolate
it it
and and
grab grab
it it
when when
it it
first first
started start
, ,
if if
we we
could could
find find
it it
early early
and and
we we
had have
early early
detection detection
and and
early early
response response
, ,
and and
we we
could could
put put
each each
one one
of of
those those
viruses virus
in in
jail jail
, ,
that that
' '
s s
the the
only only
way way
to to
deal deal
with with
something something
like like
a a
pandemic pandemic
. .
CA ca
: :
Larry larry
, ,
that that
phrase phrase
you you
mentioned mention
there there
, ,
" "
early early
detection detection
, ,
" "
" "
early early
response response
, ,
" "
that that
was be
a a
key key
theme theme
of of
that that
talk talk
, ,
you you
made make
us us
all all
repeat repeat
it it
several several
times time
. .
Is be
that that
still still
the the
key key
to to
preventing prevent
a a
pandemic pandemic
? ?
LB lb
: :
Oh oh
, ,
surely surely
. .
You you
know know
, ,
when when
you you
have have
a a
pandemic pandemic
, ,
something something
moving move
at at
exponential exponential
speed speed
, ,
if if
you you
miss miss
the the
first first
two two
weeks week
, ,
if if
you you
' '
re re
late late
the the
first first
two two
weeks week
, ,
it it
' '
s s
not not
the the
deaths death
and and
the the
illness illness
from from
the the
first first
two two
weeks week
you you
lose lose
, ,
it it
' '
s s
the the
two two
weeks week
at at
the the
peak peak
. .
Those those
are be
prevented prevent
if if
you you
act act
early early
. .
Early early
response response
is be
critical critical
, ,
early early
detection detection
is be
a a
condition condition
precedent precedent
. .
CA ca
: :
And and
how how
would would
you you
grade grade
the the
world world
on on
its its
early early
detection detection
, ,
early early
response response
to to
COVID-19 covid-19
? ?
LB lb
: :
Of of
course course
, ,
you you
gave give
me me
this this
question question
earlier earlier
, ,
so so
I i
' '
ve ve
been be
thinking think
a a
lot lot
about about
it it
. .
I i
think think
I i
would would
go go
through through
the the
countries country
, ,
and and
I i
' '
ve ve
actually actually
made make
a a
list list
. .
I i
think think
the the
island island
republics republic
of of
Taiwan taiwan
, ,
Iceland iceland
and and
certainly certainly
New new
Zealand zealand
would would
get get
an an
A a
. .
The the
island island
republic republic
of of
the the
UK uk
and and
the the
United united
States states
-- --
which which
is be
not not
an an
island island
, ,
no no
matter matter
how how
much much
we we
may may
think think
we we
are be
-- --
would would
get get
a a
failing fail
grade grade
. .
I i
' '
d d
give give
a a
B b
to to
South south
Korea korea
and and
to to
Germany germany
. .
And and
in in
between between
. .
. .
. .
So so
it it
' '
s s
a a
very very
heterogeneous heterogeneous
response response
, ,
I i
think think
. .
The the
world world
as as
a a
whole whole
is be
faltering falter
. .
We we
shouldn shouldn
' '
t t
be be
proud proud
of of
what what
' '
s s
happening happen
right right
now now
. .
CA ca
: :
I i
mean mean
, ,
we we
got get
the the
detection detection
pretty pretty
early early
, ,
or or
at at
least least
some some
doctors doctor
in in
China china
got get
the the
detection detection
pretty pretty
early early
. .
LB lb
: :
Earlier earlier
than than
the the
2002 @card@
SARS sars
, ,
which which
took take
six six
months month
. .
This this
took take
about about
six six
weeks week
. .
And and
detection detection
means mean
not not
only only
finding find
it it
, ,
but but
knowing know
what what
it it
is be
. .
So so
I i
would would
give give
us us
a a
pretty pretty
good good
score score
on on
that that
. .
The the
transparency transparency
, ,
the the
communication communication
-- --
those those
are be
other other
issues issue
. .
CA ca
: :
So so
what what
was be
the the
key key
mistake mistake
that that
you you
think think
the the
countries country
you you
gave give
an an
F f
to to
made make
? ?
LB lb
: :
I i
think think
fear fear
, ,
political political
incompetence incompetence
, ,
interference interference
, ,
not not
taking take
it it
seriously seriously
soon soon
enough enough
-- --
it it
' '
s s
pretty pretty
human human
. .
I i
think think
throughout throughout
history history
, ,
pretty pretty
much much
every every
pandemic pandemic
is be
first first
viewed view
with with
denial denial
and and
doubt doubt
. .
But but
those those
countries country
that that
acted act
quickly quickly
, ,
and and
even even
those those
who who
started start
slow slow
, ,
like like
South south
Korea korea
, ,
they they
could could
still still
make make
up up
for for
it it
, ,
and and
they they
did do
really really
well well
. .
We we
' '
ve ve
had have
two two
months month
that that
we we
' '
ve ve
lost lose
. .
We we
' '
ve ve
given give
a a
virus virus
that that
moves move
exponentially exponentially
a a
two-month two-month
head head
start start
. .
That that
' '
s s
not not
a a
good good
idea idea
, ,
Chris chris
. .
CA ca
: :
No no
, ,
indeed indeed
. .
I i
mean mean
, ,
there there
' '
s s
so so
much much
puzzling puzzling
information information
still still
out out
there there
about about
this this
virus virus
. .
What what
do do
you you
think think
the the
scientific scientific
consensus consensus
is be
going go
to to
likely likely
end end
up up
being be
on on
, ,
like like
, ,
the the
two two
key key
numbers number
of of
its its
infectiousness infectiousness
and and
its its
fatality fatality
rate rate
? ?
LB lb
: :
So so
I i
think think
the the
kind kind
of of
equation equation
to to
keep keep
in in
mind mind
is be
that that
the the
virus virus
moves move
dependent dependent
on on
three three
major major
issues issue
. .
One one
is be
the the
R0 r0
, ,
the the
first first
number number
of of
secondary secondary
cases case
that that
there there
are be
when when
the the
virus virus
emerges emerge
. .
In in
this this
case case
, ,
people people
talk talk
about about
it it
being be
2 @card@
. .
2 @card@
, ,
2 @card@
. .
4 4
. .
But but
a a
really really
important important
paper paper
three three
weeks week
ago ago
, ,
in in
the the
" "
Emerging emerging
Infectious infectious
Diseases disease
" "
journal journal
came come
out out
, ,
suggesting suggest
that that
looking look
back back
on on
the the
Wuhan wuhan
data datum
, ,
it it
' '
s s
really really
5 @card@
. .
7 @card@
. .
So so
for for
argument argument
' '
s s
sake sake
, ,
let let
' '
s s
say say
that that
the the
virus virus
is be
moving move
at at
exponential exponential
speed speed
and and
the the
exponent exponent
is be
somewhere somewhere
between between
2 @card@
. .
2 @card@
and and
5 @card@
. .
7 @card@
. .
