Picture picture
a a
world world
with with
a a
variety variety
of of
landforms landform
. .
It it
has have
a a
dense dense
atmosphere atmosphere
within within
which which
winds wind
sweep sweep
across across
its its
surface surface
and and
rain rain
falls fall
. .
It it
has have
mountains mountain
and and
plains plain
, ,
rivers river
, ,
lakes lake
and and
seas sea
, ,
sand sand
dunes dune
and and
some some
impact impact
craters crater
. .
Sounds sound
like like
Earth earth
, ,
right right
? ?
This this
is be
Titan titan
. .
In in
August august
1981 @card@
, ,
Voyager voyager
2 @card@
captured capture
this this
image image
of of
Saturn saturn
' '
s s
largest large
moon moon
. .
The the
Voyager voyager
missions mission
have have
traveled travel
farther farther
than than
ever ever
before before
, ,
making make
the the
solar solar
system system
and and
beyond beyond
part part
of of
our our
geography geography
. .
But but
this this
image image
, ,
this this
hazy hazy
moon moon
was be
a a
stark stark
reminder reminder
of of
just just
how how
much much
mystery mystery
remained remain
. .
We we
learned learn
an an
exponential exponential
amount amount
as as
the the
Voyagers voyager
flew fly
by by
it it
, ,
and and
yet yet
we we
had have
no no
idea idea
what what
lay lie
beneath beneath
this this
atmospheric atmospheric
blanket blanket
. .
Was be
there there
an an
icy icy
surface surface
with with
landforms landform
like like
those those
of of
the the
other other
moons moon
that that
had have
been be
observed observe
at at
Saturn saturn
and and
Jupiter jupiter
? ?
Or or
perhaps perhaps
simply simply
a a
vast vast
global global
ocean ocean
of of
liquid liquid
methane methane
? ?
Shrouded shroud
by by
the the
obscuring obscure
haze haze
, ,
Titan titan
' '
s s
surface surface
was be
a a
huge huge
, ,
outstanding outstanding
mystery mystery
that that
Cassini-Huygens cassini-huygens
, ,
an an
orbiter orbiter
lander lander
pair pair
launched launch
in in
1997 @card@
, ,
was be
designed design
to to
solve solve
. .
After after
arrival arrival
in in
2004 @card@
, ,
the the
early early
images image
Cassini cassini
sent send
back back
of of
Titan titan
' '
s s
surface surface
only only
heightened heighten
the the
allure allure
. .
It it
took take
months month
for for
us us
to to
understand understand
what what
we we
were be
seeing see
on on
the the
surface surface
, ,
to to
determine determine
, ,
for for
example example
, ,
that that
the the
dark dark
stripes stripe
, ,
which which
were be
initially initially
so so
unrecognizable unrecognizable
that that
we we
referred refer
to to
them them
as as
cat cat
scratches scratch
, ,
were be
actually actually
dunes dune
made make
of of
organic organic
sand sand
. .
Over over
the the
course course
of of
the the
13 @card@
years year
Cassini cassini
spent spend
studying study
Saturn saturn
and and
its its
rings ring
and and
moons moon
, ,
we we
had have
the the
privilege privilege
of of
going go
from from
knowing know
almost almost
nothing nothing
about about
the the
surface surface
of of
Titan titan
to to
understanding understand
its its
geology geology
, ,
the the
role role
the the
atmosphere atmosphere
plays play
in in
shaping shape
its its
surface surface
, ,
and and
even even
hints hint
of of
what what
lies lie
deep deep
beneath beneath
that that
surface surface
. .
Indeed indeed
, ,
Titan titan
is be
one one
of of
several several
ocean ocean
worlds world
, ,
moons moon
in in
the the
cold cold
outer outer
solar solar
system system
beyond beyond
the the
orbits orbit
of of
Mars mars
and and
the the
asteroid asteroid
belt belt
with with
immense immense
liquid liquid
water water
oceans ocean
beneath beneath
their their
surfaces surface
. .
Titan titan
' '
s s
interior interior
ocean ocean
may may
have have
more more
than than
10 @card@
times time
as as
much much
liquid liquid
water water
as as
all all
of of
the the
Earth earth
' '
s s
rivers river
, ,
lakes lake
, ,
seas sea
and and
oceans ocean
combined combine
. .
And and
at at
Titan titan
, ,
there there
are be
also also
exotic exotic
lakes lake
and and
seas sea
of of
liquid liquid
methane methane
and and
ethane ethane
on on
the the
surface surface
. .
Ocean ocean
worlds world
are be
some some
of of
the the
most most
fascinating fascinating
places place
in in
the the
solar solar
system system
, ,
and and
we we
have have
only only
just just
begun begin
to to
explore explore
them them
. .
This this
is be
Dragonfly dragonfly
. .
At at
the the
Johns johns
Hopkins hopkins
Applied applied
Physics physics
Laboratory laboratory
, ,
we we
' '
re re
building build
this this
mission mission
for for
NASA nasa
' '
s s
new new
Frontiers frontier
program program
. .
Scheduled schedule
to to
launch launch
in in
2026 @card@
and and
reach reach
Titan titan
in in
