David david
Gallo gallo
: :
This this
is be
Bill bill
Lange lange
. .
I i
' '
m m
Dave dave
Gallo gallo
. .
And and
we we
' '
re re
going go
to to
tell tell
you you
some some
stories story
from from
the the
sea sea
here here
in in
video video
. .
We we
' '
ve ve
got get
some some
of of
the the
most most
incredible incredible
video video
of of
Titanic titanic
that that
' '
s s
ever ever
been be
seen see
, ,
and and
we we
' '
re re
not not
going go
to to
show show
you you
any any
of of
it it
. .
The the
truth truth
of of
the the
matter matter
is be
that that
the the
Titanic titanic
— -
even even
though though
it it
' '
s s
breaking break
all all
sorts sort
of of
box box
office office
records record
— -
it it
' '
s s
not not
the the
most most
exciting exciting
story story
from from
the the
sea sea
. .
And and
the the
problem problem
, ,
I i
think think
, ,
is be
that that
we we
take take
the the
ocean ocean
for for
granted grant
. .
When when
you you
think think
about about
it it
, ,
the the
oceans ocean
are be
75 @card@
percent percent
of of
the the
planet planet
. .
Most most
of of
the the
planet planet
is be
ocean ocean
water water
. .
The the
average average
depth depth
is be
about about
two two
miles mile
. .
Part part
of of
the the
problem problem
, ,
I i
think think
, ,
is be
we we
stand stand
at at
the the
beach beach
, ,
or or
we we
see see
images image
like like
this this
of of
the the
ocean ocean
, ,
and and
you you
look look
out out
at at
this this
great great
big big
blue blue
expanse expanse
, ,
and and
it it
' '
s s
shimmering shimmer
and and
it it
' '
s s
moving move
and and
there there
' '
s s
waves wave
and and
there there
' '
s s
surf surf
and and
there there
' '
s s
tides tide
, ,
but but
you you
have have
no no
idea idea
for for
what what
lies lie
in in
there there
. .
And and
in in
the the
oceans ocean
, ,
there there
are be
the the
longest long
mountain mountain
ranges range
on on
the the
planet planet
. .
Most most
of of
the the
animals animal
are be
in in
the the
oceans ocean
. .
Most most
of of
the the
earthquakes earthquake
and and
volcanoes volcano
are be
in in
the the
sea sea
, ,
at at
the the
bottom bottom
of of
the the
sea sea
. .
The the
biodiversity biodiversity
and and
the the
biodensity biodensity
in in
the the
ocean ocean
is be
higher high
, ,
in in
places place
, ,
than than
it it
is be
in in
the the
rainforests rainforest
. .
It it
' '
s s
mostly mostly
unexplored unexplore
, ,
and and
yet yet
there there
are be
beautiful beautiful
sights sight
like like
this this
that that
captivate captivate
us us
