Bruno bruno
Giussani giussani
: :
It it
' '
s s
difficult difficult
to to
think think
clearly clearly
of of
the the
Russian russian
invasion invasion
of of
Ukraine ukraine
, ,
because because
wars war
, ,
while while
they they
unfold unfold
, ,
they they
' '
re re
kind kind
of of
shrouded shroud
in in
a a
sort sort
of of
fog fog
. .
Information information
is be
abundant abundant
: :
the the
millions million
of of
refugees refugee
, ,
the the
shocking shocking
suffering suffering
and and
the the
destruction destruction
, ,
the the
politics politics
. .
But but
sense sense
is be
lacking lack
. .
And and
that that
' '
s s
going go
to to
be be
the the
focus focus
of of
this this
Membership membership
conversation conversation
as as
we we
enter enter
the the
third third
week week
of of
the the
war war
. .
We we
won win
' '
t t
talk talk
about about
the the
events event
of of
the the
day day
but but
try try
to to
project project
a a
longer longer
arc arc
, ,
a a
broader broad
context context
. .
Our our
guest guest
is be
geopolitical geopolitical
analyst analyst
Ian ian
Bremmer bremmer
. .
He he
' '
s s
the the
founder founder
and and
president president
of of
Eurasia eurasia
Group group
, ,
and and
we we
asked ask
him him
to to
lay lay
the the
scene scene
by by
talking talk
first first
about about
the the
geopolitical geopolitical
shifts shift
that that
have have
already already
been be
brought bring
by by
the the
war war
in in
Ukraine ukraine
. .
And and
after after
, ,
we we
' '
re re
going go
to to
have have
a a
conversation conversation
, ,
including include
questions question
from from
TED ted
Members member
who who
are be
participating participate
in in
this this
call call
. .
Ian ian
, ,
welcome welcome
. .
Ian ian
Bremmer bremmer
: :
Thank thank
you you
very very
much much
. .
I i
' '
ll ll
start start
by by
saying say
that that
in in
my my
lifetime lifetime
, ,
the the
most most
important important
geopolitical geopolitical
artifact artifact
is be
the the
fall fall
of of
the the
Berlin berlin
Wall wall
. .
I i
mean mean
, ,
you you
see see
it it
if if
you you
go go
into into
the the
new new
NATO nato
headquarters headquarters
in in
Brussels brussels
, ,
just just
built build
a a
few few
years year
ago ago
. .
And and
anyone anyone
that that
has have
a a
piece piece
, ,
something something
they they
' '
re re
very very
proud proud
of of
, ,
they they
know know
it it
affected affect
their their
entire entire
lives life
. .
I i
think think
that that
in in
30 @card@
years year
' '
time time
, ,
and and
I i
fear fear
that that
in in
30 @card@
years year
' '
time time
, ,
if if
we we
look look
back back
, ,
a a
second second
most most
important important
geopolitical geopolitical
artifact artifact
will will
be be
a a
piece piece
of of
the the
rubble rubble
of of
the the
Maidan maidan
in in
Kyiv kyiv
. .
I i
believe believe
that that
the the
war war
that that
we we
are be
seeing see
right right
now now
is be
no no
more more
and and
no no
less less
than than
the the
end end
of of
the the
peace peace
dividend dividend
that that
we we
all all
thought think
we we
had have
when when
the the
wall wall
came come
down down
in in
1989 @card@
. .
The the
idea idea
that that
the the
world world
could could
focus focus
more more
on on
globalization globalization
and and
goods good
and and
services service
and and
people people
and and
ideas idea
going go
faster faster
and and
faster faster
across across
borders border
, ,
leading lead
to to
unprecedented unprecedented
growth growth
in in
human human
development development
and and
a a
global global
middle middle
class class
. .
I i
think think
that that
this this
is be
a a
tipping tip
point point
. .
Won won
' '
t t
end end
globalization globalization
, ,
but but
it it
does do
end end
the the
peace peace
dividend dividend
. .
It it
does do
mean mean
that that
the the
Europeans europeans
overnight overnight
will will
and and
must must
prioritize prioritize
spending spending
on on
defense defense
policy policy
, ,
on on
national national
security security
, ,
coordination coordination
, ,
on on
NATO nato
. .
And and
the the
speech speech
that that
was be
given give
by by
Olaf olaf
Scholz scholz
, ,
the the
new new
chancellor chancellor
, ,
two two
weeks week
ago ago
, ,
in in
my my
view view
, ,
the the
most most
significant significant
speech speech
given give
by by
a a
European european
leader leader
in in
the the
post-Cold post-cold
War war
environment environment
, ,
precisely precisely
because because
it it
' '
s s
now now
the the
post-post-Cold post-post-cold
War war
environment environment
, ,
sending send
weapons weapon
to to
the the
Ukrainians ukrainians
, ,
committing commit
to to
over over
two two
percent percent
of of
GDP gdp
spend spend
on on
defense defense
, ,
investing invest
in in
a a
new new
fund fund
for for
defense defense
infrastructure infrastructure
. .
But but
also also
recognizing recognize
that that
the the
way way
that that
the the
Germans germans
and and
the the
Europeans europeans
as as
a a
whole whole
looked look
at at
the the
world world
and and
looked look
at at
themselves themselves
was be
, ,
unfortunately unfortunately
for for
all all
of of
us us
, ,
outdated outdated
. .
A a
few few
other other
points point
I i
' '
d d
like like
to to
raise raise
, ,
just just
to to
kick kick
off off
this this
conversation conversation
. .
One one
: :
One one
of of
the the
reasons reason
I i
' '
m m
pretty pretty
negative negative
about about
this this
, ,
and and
I i
' '
m m
not not
usually usually
very very
negative negative
, ,
I i
' '
m m
usually usually
an an
existential existential
optimist optimist
, ,
I i
' '
m m
someone someone
that that
' '
s s
just just
happy happy
there there
' '
s s
water water
in in
the the
glass glass
. .
But but
when when
I i
look look
at at
this this
conflict conflict
, ,
I i
' '
m m
much much
more more
concerned concerned
. .
And and
that that
is be
because because
I i
do do
not not
see see
a a
scenario scenario
, ,
a a
plausible plausible
scenario scenario
, ,
in in
the the
foreseeable foreseeable
future future
where where
Putin putin
emerges emerge
from from
this this
war war
in in
anything anything
less less
than than
a a
radically radically
weakened weaken
position position
compared compare
to to
where where
he he
was be
before before
he he
announced announce
the the
invasion invasion
. .
And and
I i
believe believe
that that
both both
in in
terms term
of of
his his
domestic domestic
political political
orientation orientation
, ,
how how
stable stable
he he
is be
in in
his his
own own
country country
, ,
also also
, ,
of of
course course
, ,
Russia russia
' '
s s
economic economic
position position
, ,
and and
finally finally
, ,
Russia russia
' '
s s
position position
in in
terms term
of of
global global
security security
and and
European european
security security
: :
ostensibly ostensibly
, ,
the the
very very
reason reason
that that
Putin putin
began begin
the the
war war
to to
begin begin
with with
. .
Second second
big big
point point
is be
that that
the the
decoupling decoupling
that that
we we
are be
seeing see
from from
Europe europe
and and
the the
United united
States states
with with
Russia russia
is be
, ,
in in
my my
view view
, ,
permanent permanent
. .
And and
that that
would would
be be
true true
even even
if if
there there
were be
a a
negotiated negotiate
settlement settlement
and and
all all
the the
Russian russian
troops troop
were be
to to
pull pull
out out
of of
Ukraine ukraine
and and
we we
had have
peace peace
. .
I i
still still
think think
that that
a a
lot lot
of of
those those
companies company
would would
not not
come come
back back
with with
Putin putin
in in
power power
. .
I i
' '
m m
convinced convince
that that
the the
decisions decision
by by
the the
Europeans europeans
to to
ramp ramp
up up
their their
national national
