What	WP	what
can	MD	can
we	PP	we
learn	VB	learn
from	IN	from
children	NNS	child
about	IN	about
being	VBG	be
better	JJR	good
humans	NNS	human
?	SENT	?
They	PP	they
'	POS	'
re	NN	re
fiercely	RB	fiercely
loyal	JJ	loyal
to	TO	to
their	PP$	their
friends	NNS	friend
,	,	,
fast	RB	fast
to	TO	to
defend	VB	defend
,	,	,
quick	JJ	quick
to	TO	to
apologize	VB	apologize
and	CC	and
swift	JJ	swift
to	TO	to
forgive	VB	forgive
.	SENT	.
But	CC	but
as	IN	as
a	DT	a
past	JJ	past
kindergarten	NN	kindergarten
teacher	NN	teacher
--	:	--
always	RB	always
a	DT	a
kindergarten	NN	kindergarten
teacher	NN	teacher
at	IN	at
heart	NN	heart
--	:	--
I	PP	I
want	VBP	want
to	TO	to
share	VB	share
with	IN	with
you	PP	you
a	DT	a
surprising	JJ	surprising
lesson	NN	lesson
I	PP	I
learned	VBD	learn
from	IN	from
them	PP	them
about	IN	about
being	VBG	be
asked	VBN	ask
for	IN	for
help	NN	help
.	SENT	.
I	PP	I
love	VBP	love
human	JJ	human
behaviors	NNS	behavior
--	:	--
how	WRB	how
we	PP	we
act	VBP	act
differently	RB	differently
in	IN	in
different	JJ	different
situations	NNS	situation
and	CC	and
environments	NNS	environment
--	:	--
and	CC	and
these	DT	these
cute	JJ	cute
five-year-olds	NNS	five-year-old
with	IN	with
their	PP$	their
adorable	JJ	adorable
cheeks	NNS	cheek
and	CC	and
the	DT	the
perfect	JJ	perfect
height	NN	height
to	TO	to
give	VB	give
warm	JJ	warm
,	,	,
morning	NN	morning
hugs	NNS	hug
to	TO	to
and	CC	and
almost	RB	almost
a	DT	a
competitive	JJ	competitive
love	NN	love
for	IN	for
high	JJ	high
fives	NNS	five
,	,	,
were	VBD	be
so	RB	so
interesting	JJ	interesting
.	SENT	.
My	PP$	my
first	JJ	first
class	NN	class
was	VBD	be
called	VBN	call
a	DT	a
Mars	NP	Mars
class	NN	class
.	SENT	.
I	PP	I
had	VBD	have
10	CD	@card@
students	NNS	student
,	,	,
and	CC	and
each	DT	each
were	VBD	be
so	RB	so
full	JJ	full
of	IN	of
character	NN	character
.	SENT	.
But	CC	but
there	EX	there
was	VBD	be
this	DT	this
one	CD	one
kid	NN	kid
I	NP	I
'	POS	'
ll	NNS	<unknown>
never	RB	never
forget	VBP	forget
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	<unknown>
call	VB	call
him	PP	him
Sam	NP	Sam
