Whitney	NP	Whitney
Pennington	NP	Pennington
Rodgers	NP	Rodgers
:	:	:
Before	IN	before
we	PP	we
really	RB	really
dive	VBP	dive
in	IN	in
to	TO	to
talking	VBG	talk
specifically	RB	specifically
about	IN	about
Google	NP	<unknown>
'	POS	'
s	JJ	<unknown>
work	NN	work
in	IN	in
the	DT	the
contact	NN	contact
tracing	VBG	trace
space	NN	space
,	,	,
let	VBN	let
'	POS	'
s	NN	S
first	RB	first
set	VBD	set
up	RP	up
the	DT	the
relationship	NN	relationship
between	IN	between
public	JJ	public
health	NN	health
and	CC	and
tech	NN	tech
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
I	PP	I
think	VBP	think
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
,	,	,
they	PP	they
hear	VBP	hear
"	``	"
Google	NP	<unknown>
,	,	,
"	``	"
and	CC	and
they	PP	they
think	VBP	think
of	IN	of
this	DT	this
big	JJ	big
tech	NN	tech
company	NN	company
.	SENT	.
They	PP	they
think	VBP	think
of	IN	of
a	DT	a
search	NN	search
engine	NN	engine
.	SENT	.
And	CC	and
there	EX	there
may	MD	may
be	VB	be
questions	NNS	question
about	RB	about
why	WRB	why
does	VBZ	do
Google	NP	<unknown>
have	VBP	have
a	DT	a
chief	JJ	chief
health	NN	health
officer	NN	officer
?	SENT	?
So	RB	so
could	MD	could
you	PP	you
talk	VB	talk
a	DT	a
little	JJ	little
bit	NN	bit
about	IN	about
your	PP$	your
work	NN	work
and	CC	and
the	DT	the
work	NN	work
your	PP$	your
team	NN	team
does	VBZ	do
?	SENT	?
Karen	NP	Karen
DeSalvo	NP	Desalvo
:	:	:
Yeah	RB	yeah
.	SENT	.
Well	RB	well
,	,	,
maybe	RB	maybe
I	NP	I
'	POS	'
m	NN	m
the	DT	the
embodiment	NN	embodiment
of	IN	of
public	JJ	public
health	NN	health
and	CC	and
tech	NN	tech
coming	VBG	come
together	RB	together
.	SENT	.
My	PP$	my
background	NN	background
is	VBZ	be
,	,	,
I	PP	I
practiced	VBD	practice
medicine	NN	medicine
for	IN	for
20	CD	@card@
years	NNS	year
,	,	,
though	IN	though
a	DT	a
part	NN	part
of	IN	of
my	PP$	my
work	NN	work
has	VBZ	have
always	RB	always
been	VBN	be
in	IN	in
public	JJ	public
health	NN	health
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
my	PP$	my
first	JJ	first
job	NN	job
,	,	,
putting	VBG	put
myself	PP	myself
through	IN	through
college	NN	college
,	,	,
was	VBD	be
working	VBG	work
at	IN	at
the	DT	the
state	NN	state
laboratory	NN	laboratory
in	IN	in
Massachusetts	NP	Massachusetts
.	SENT	.
As	IN	as
the	DT	the
story	NN	story
will	MD	will
go	VB	go
with	IN	with
Joia	NP	<unknown>
[	SYM	[
Mukherjee	NP	Mukherjee
]	SYM	]
we	PP	we
'	POS	'
re	NN	re
reconnected	VBD	reconnect
again	RB	again
,	,	,
a	DT	a
Massachusetts	NP	Massachusetts
theme	NN	theme
.	SENT	.
And	CC	and
I	PP	I
,	,	,
across	IN	across
the	DT	the
journey	NN	journey
of	IN	of
the	DT	the
work	NN	work
that	IN	that
I	PP	I
was	VBD	be
doing	VBG	do
for	IN	for
my	PP$	my
patients	NNS	patient
to	TO	to
provide	VB	provide
them	PP	them
information	NN	information
and	CC	and
the	DT	the
right	JJ	right
care	NN	care
and	CC	and
meet	VB	meet
them	PP	them
where	WRB	where
they	PP	they
were	VBD	be
medically	RB	medically
,	,	,
translated	VBN	translate
into	IN	into
the	DT	the
work	NN	work
that	IN	that
I	PP	I
did	VBD	do
when	WRB	when
I	PP	I
was	VBD	be
the	DT	the
Health	NP	Health
Commissioner	NP	Commissioner
in	IN	in
New	NP	New
Orleans	NP	Orleans
and	CC	and
later	JJR	late
when	WRB	when
I	PP	I
had	VBD	have
other	JJ	other
roles	NNS	role
in	IN	in
public	JJ	public
health	NN	health
practice	NN	practice
,	,	,
that	WDT	that
really	RB	really
is	VBZ	be
about	RB	about
thinking	VBG	think
of	IN	of
people	NNS	people
and	CC	and
community	NN	community
in	IN	in
the	DT	the
context	NN	context
in	IN	in
which	WDT	which
they	PP	they
live	VBP	live
and	CC	and
how	WRB	how
we	PP	we
provide	VBP	provide
the	DT	the
best	JJS	good
information	NN	information
,	,	,
the	DT	the
best	JJS	good
resources	NNS	resource
,	,	,
the	DT	the
best	JJS	good
services	NNS	service
