What	WP	what
would	MD	would
the	DT	the
world	NN	world
look	NN	look
like	IN	like
if	IN	if
extreme	JJ	extreme
climate	NN	climate
change	NN	change
becomes	VBZ	become
reality	NN	reality
?	SENT	?
Well	RB	well
,	,	,
here	RB	here
'	POS	'
s	NN	S
just	RB	just
one	CD	one
example	NN	example
.	SENT	.
If	IN	if
temperatures	NNS	temperature
were	VBD	be
to	TO	to
rise	VB	rise
by	IN	by
three	CD	three
more	JJR	more
degrees	NNS	degree
Celsius	JJ	Celsius
,	,	,
Shanghai	NP	Shanghai
,	,	,
a	DT	a
city	NN	city
of	IN	of
24	CD	@card@
million	CD	million
people	NNS	people
in	IN	in
China	NP	China
,	,	,
will	MD	will
be	VB	be
wiped	VBN	wipe
off	RP	off
the	DT	the
map	NN	map
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
not	RB	not
just	RB	just
the	DT	the
only	JJ	only
coastal	JJ	coastal
city	NN	city
that	RB	that
'	POS	'
s	NN	S
at	IN	at
risk	NN	risk
of	IN	of
disappearing	VBG	disappear
beneath	IN	beneath
rising	VBG	rise
sea	NN	sea
levels	NNS	level
.	SENT	.
Globally	RB	globally
,	,	,
2019	CD	@card@
was	VBD	be
the	DT	the
second	JJ	second
hottest	JJS	hot
year	NN	year
on	IN	on
record	NN	record
.	SENT	.
Cities	NNS	city
all	RB	all
throughout	IN	throughout
the	DT	the
world	NN	world
experienced	VBD	experience
record-setting	VBG	record-set
summer	NN	summer
temperatures	NNS	temperature
.	SENT	.
In	IN	in
June	NP	June
2019	CD	@card@
,	,	,
temperatures	NNS	temperature
in	IN	in
Churu	NP	<unknown>
,	,	,
India	NP	India
,	,	,
exceeded	VBD	exceed
120	CD	@card@
degrees	NNS	degree
Fahrenheit	JJ	Fahrenheit
,	,	,
to	TO	to
the	DT	the
point	NN	point
that	IN	that
the	DT	the
government	NN	government
warned	VBD	warn
citizens	NNS	citizen
to	TO	to
avoid	VB	avoid
drinking	NN	drinking
coffee	NN	coffee
,	,	,
tea	NN	tea
and	CC	and
alcohol	NN	alcohol
out	IN	out
of	IN	of
fear	NN	fear
of	IN	of
overheating	VBG	overheat
.	SENT	.
Heat	NN	heat
waves	NNS	wave
are	VBP	be
becoming	VBG	become
more	RBR	more
severe	JJ	severe
and	CC	and
commonplace	JJ	commonplace
due	JJ	due
to	TO	to
climate	NN	climate
change	NN	change
,	,	,
projected	VBN	project
to	TO	to
lead	VB	lead
to	TO	to
deaths	NNS	death
at	IN	at
the	DT	the
same	JJ	same
rate	NN	rate
as	IN	as
all	DT	all
infectious	JJ	infectious
diseases	NNS	disease
combined	VBN	combine
.	SENT	.
This	DT	this
map	NN	map
here	RB	here
shows	VBZ	show
the	DT	the
increase	NN	increase
in	IN	in
the	DT	the
severity	NN	severity
and	CC	and
prevalence	NN	prevalence
of	IN	of
