Chris	NP	Chris
Anderson	NP	Anderson
:	:	:
Welcome	VBP	welcome
to	TO	to
TED	VB	ted
Connects	VBZ	connect
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
new	JJ	new
series	NN	series
of	IN	of
live	JJ	live
conversations	NNS	conversation
,	,	,
trying	VBG	try
to	TO	to
make	VB	make
sense	NN	sense
of	IN	of
this	DT	this
weird	JJ	weird
moment	NN	moment
that	IN	that
we	PP	we
'	POS	'
re	NN	re
in	IN	in
:	:	:
coronavirus	NN	coronavirus
.	SENT	.
Everyone	NN	everyone
'	POS	'
s	NN	S
suddenly	RB	suddenly
changing	VBG	change
how	WRB	how
they	PP	they
live	VBP	live
their	PP$	their
lives	NNS	life
,	,	,
it	PP	it
'	POS	'
s	NN	S
so	RB	so
jolting	VBG	jolt
,	,	,
it	PP	it
'	POS	'
s	NN	S
so	RB	so
startling	JJ	startling
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
all	RB	all
trying	VBG	try
to	TO	to
make	VB	make
sense	NN	sense
of	IN	of
it	PP	it
,	,	,
and	CC	and
it	PP	it
ain	NN	ain
'	POS	'
t	NN	t
easy	RB	easy
.	SENT	.
That	IN	that
much	RB	much
we	PP	we
know	VBP	know
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
trying	VBG	try
to	TO	to
make	VB	make
sense	NN	sense
of	IN	of
this	DT	this
together	RB	together
in	IN	in
the	DT	the
only	JJ	only
way	NN	way
that	IN	that
we	PP	we
know	VBP	know
how	WRB	how
,	,	,
which	WDT	which
is	VBZ	be
by	IN	by
having	VBG	have
wise	JJ	wise
humans	NNS	human
coming	VBG	come
on	IN	on
,	,	,
talking	VBG	talk
to	TO	to
each	DT	each
other	JJ	other
,	,	,
listening	VBG	listen
to	TO	to
each	DT	each
other	JJ	other
trying	VBG	try
to	TO	to
learn	VB	learn
from	IN	from
each	DT	each
other	JJ	other
.	SENT	.
We	PP	we
are	VBP	be
apart	RB	apart
,	,	,
but	CC	but
we	PP	we
can	MD	can
use	VB	use
this	DT	this
moment	NN	moment
to	TO	to
build	VB	build
