Hi	UH	hi
,	,	,
I	PP	I
'	POS	'
m	NN	m
Refik	NP	<unknown>
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
a	DT	a
media	NNS	medium
artist	NN	artist
.	SENT	.
I	PP	I
use	VBP	use
data	NNS	datum
as	IN	as
a	DT	a
pigment	NN	pigment
and	CC	and
paint	NN	paint
with	IN	with
a	DT	a
thinking	NN	thinking
brush	NN	brush
that	WDT	that
is	VBZ	be
assisted	VBN	assist
by	IN	by
artificial	JJ	artificial
intelligence	NN	intelligence
.	SENT	.
Using	VBG	use
architectural	JJ	architectural
spaces	NNS	space
as	IN	as
canvases	NNS	canvas
,	,	,
I	PP	I
collaborate	VBP	collaborate
with	IN	with
machines	NNS	machine
to	TO	to
make	VB	make
buildings	NNS	building
dream	VB	dream
and	CC	and
hallucinate	VB	hallucinate
.	SENT	.
You	PP	you
may	MD	may
be	VB	be
wondering	VBG	wonder
,	,	,
what	WP	what
does	VBZ	do
all	PDT	all
this	DT	this
mean	NN	mean
?	SENT	?
So	RB	so
let	VB	let
me	PP	me
please	VB	please
take	VB	take
you	PP	you
into	IN	into
my	PP$	my
work	NN	work
and	CC	and
my	PP$	my
world	NN	world
.	SENT	.
I	PP	I
witnessed	VBD	witness
the	DT	the
power	NN	power
of	IN	of
imagination	NN	imagination
when	WRB	when
I	PP	I
was	VBD	be
eight	CD	eight
years	NNS	year
old	JJ	old
,	,	,
as	IN	as
a	DT	a
child	NN	child
growing	VBG	grow
up	RP	up
in	IN	in
Istanbul	NP	Istanbul
.	SENT	.
One	CD	one
day	NN	day
,	,	,
my	PP$	my
mom	NN	mom
brought	VBD	bring
home	RB	home
a	DT	a
videocassette	NN	videocassette
of	IN	of
the	DT	the
science-fiction	NN	science-fiction
movie	NN	movie
"	``	"
Blade	NP	Blade
Runner	NP	Runner
.	SENT	.
"	``	"
I	PP	I
clearly	RB	clearly
remember	VB	remember
being	VBG	be
mesmerized	VBN	mesmerize
by	IN	by
the	DT	the
stunning	JJ	stunning
architectural	JJ	architectural
vision	NN	vision
of	IN	of
the	DT	the
future	NN	future
of	IN	of
Los	NP	Los
Angeles	NP	Angeles
,	,	,
a	DT	a
place	NN	place
that	IN	that
I	PP	I
had	VBD	have
never	RB	never
seen	VBN	see
before	RB	before
.	SENT	.
That	DT	that
vision	NN	vision
became	VBD	become
a	DT	a
kind	NN	kind
of	IN	of
a	DT	a
staple	NN	staple
of	IN	of
my	PP$	my
daydreams	NNS	daydream
.	SENT	.
When	WRB	when
I	PP	I
arrived	VBD	arrive
in	IN	in
LA	NP	LA
in	IN	in
2012	CD	@card@
for	IN	for
a	DT	a
graduate	JJ	graduate
program	NN	program
in	IN	in
Design	NP	Design
Media	NP	Media
Arts	NPS	Art
,	,	,
I	PP	I
rented	VBD	rent
a	DT	a
car	NN	car
and	CC	and
drove	VBD	drive
downtown	NN	downtown
to	TO	to
see	VB	see
that	DT	that
wonderful	JJ	wonderful
world	NN	world
of	IN	of
the	DT	the
near	JJ	near
future	NN	future
.	SENT	.
I	PP	I
remember	VBP	remember
a	DT	a
specific	JJ	specific
line	NN	line
that	WDT	that
kept	VBD	keep
playing	VBG	play
over	RP	over
and	CC	and
over	RP	over
in	IN	in
my	PP$	my
head	NN	head
:	:	:
the	DT	the
scene	NN	scene
when	WRB	when
the	DT	the
android	JJ	android
Rachael	NP	Rachael
realizes	VBZ	realize
that	IN	that
her	PP$	her
memories	NNS	memory
are	VBP	be
actually	RB	actually
not	RB	not
hers	PP	hers
,	,	,
and	CC	and
when	WRB	when
Deckard	NP	Deckard
tells	VBZ	tell
her	PP	her
they	PP	they
are	VBP	be
someone	NN	someone
else	RB	else
'	POS	'
s	NN	S
memories	NNS	memory
.	SENT	.
Since	IN	since
that	DT	that
moment	NN	moment
,	,	,
one	CD	one
of	IN	of
my	PP$	my
inspirations	NNS	inspiration
has	VBZ	have
been	VBN	be
this	DT	this
question	NN	question
.	SENT	.
What	WP	what
can	MD	can
a	DT	a
machine	NN	machine
do	VBP	do
with	IN	with
someone	NN	someone
else	RB	else
'	POS	'
s	NN	S
memories	NNS	memory
?	SENT	?
Or	CC	or
,	,	,
to	TO	to
say	VB	say
that	IN	that
in	IN	in
another	DT	another
way	NN	way
,	,	,
what	WP	what
does	VBZ	do
it	PP	it
mean	VBP	mean
to	TO	to
be	VB	be
an	DT	an
AI	NN	ai
in	IN	in
the	DT	the
21st	JJ	21st
century	NN	century
?	SENT	?
Any	DT	any
android	NN	android
or	CC	or
AI	VBP	ai
machine	NN	machine
is	VBZ	be
only	RB	only
intelligent	JJ	intelligent
as	RB	as
long	RB	long
as	IN	as
we	PP	we
collaborate	VBP	collaborate
with	IN	with
it	PP	it
.	SENT	.
It	PP	it
can	MD	can
construct	VB	construct
things	NNS	thing
that	IN	that
human	JJ	human
intelligence	NN	intelligence
intends	VBZ	intend
to	TO	to
produce	VB	produce
but	CC	but
does	VBZ	do
not	RB	not
have	VB	have
the	DT	the
capacity	NN	capacity
to	TO	to
do	VB	do
so	RB	so
.	SENT	.
Think	VB	think
about	IN	about
your	PP$	your
activities	NNS	activity
and	CC	and
social	JJ	social
networks	NNS	network
,	,	,
for	IN	for
example	NN	example
.	SENT	.
They	PP	they
get	VBP	get
smarter	JJR	smart
the	DT	the
