Il	NP	Il
y	NP	y
a	DT	a
quelques	NNS	<unknown>
semaines	NNS	<unknown>
,	,	,
il	JJ	<unknown>
m	NN	m
'	POS	'
est	NP	est
arrivé	NN	<unknown>
un	NN	un
truc	NN	<unknown>
qui	NNS	qui
m	NN	m
'	''	'
a	DT	a
pas	NN	pas
mal	JJ	Mal
fait	NN	fait
réfléchir	NN	<unknown>
.	SENT	.
C	NP	C
'	POS	'
était	NP	<unknown>
l	NN	l
'	POS	'
anniversaire	NN	<unknown>
d	NN	d
'	POS	'
une	JJ	<unknown>
copine	NN	<unknown>
dans	NNS	dan
un	VBG	<unknown>
bar	NN	bar
et	FW	et
je	NP	Je
me	FW	me
suis	NN	<unknown>
retrouvée	JJ	<unknown>
à	NP	<unknown>
côté	NN	<unknown>
d	NN	d
'	POS	'
un	NN	un
mec	NN	mec
que	NP	que
je	NP	Je
ne	RB	ne
connaissais	NN	<unknown>
pas	NNS	pa
.	SENT	.
On	IN	on
commence	VB	commence
à	NP	<unknown>
discuter	NP	<unknown>
et	NP	et
,	,	,
assez	NN	<unknown>
rapidement	NN	<unknown>
,	,	,
il	VBG	<unknown>
me	PP	me
demande	NN	<unknown>
ce	NN	ce
que	NP	que
je	NP	Je
fais	NN	<unknown>
dans	NNS	dan
la	DT	la
vie	VBP	vie
,	,	,
et	CC	et
je	NP	Je
lui	NP	Lui
réponds	NNS	répond
:	:	:
«	)	«
Je	NP	Je
suis	NP	<unknown>
cheffe	NP	<unknown>
d	SYM	d
'	POS	'
entreprise	NN	entreprise
et	CC	et
j	NN	j
'	''	'
ai	VBP	ai
une	JJ	<unknown>
marque	NN	marque
de	FW	de
vêtements	NNS	<unknown>
.	SENT	.
»	(	»
Et	FW	et
le	FW	le
mec	NP	mec
me	FW	me
demande	NN	<unknown>
:	:	:
«	)	«
Ah	UH	ah
?	SENT	?
Quoi	NP	Quoi
comme	NN	comme
vêtements	NNS	<unknown>
?	SENT	?
»	(	»
et	NP	et
je	NP	Je
lui	NP	Lui
réponds	NNS	répond
:	:	:
«	)	«
En	IN	en
fait	NN	fait
,	,	,
on	IN	on
fait	NN	fait
des	FW	des
vêtements	NNS	<unknown>
qui	NNS	qui
durent	NN	<unknown>
longtemps	NNS	longtemp
pour	VBP	pour
ne	RB	ne
pas	NN	pas
avoir	NN	<unknown>
besoin	NN	<unknown>
d	NN	d
'	''	'
en	IN	en
racheter	NN	<unknown>
tous	NP	<unknown>
les	FW	les
quatre	NN	quatre
matins	NN	matins
.	SENT	.
»	(	»
Là	NP	<unknown>
,	,	,
le	DT	le
mec	NN	mec
s	NN	S
'	POS	'
arrête	NN	<unknown>
,	,	,
me	FW	me
regarde	JJ	<unknown>
dans	NNS	dan
les	FW	les
yeux	NNS	<unknown>
,	,	,
et	FW	et
me	FW	me
dit	NN	dit
:	:	:
«	)	«
Ça	NP	Ça
ne	RB	ne
marchera	NN	<unknown>
jamais	NNS	<unknown>
.	SENT	.
Si	NP	Si
les	FW	les
gens	NN	gens
n	NN	n
'	POS	'
ont	JJ	<unknown>
pas	NN	pas
besoin	NN	<unknown>
de	NP	de
racheter	NN	<unknown>
tes	NNS	te
vêtements	NNS	<unknown>
,	,	,
à	NP	<unknown>
un	JJ	<unknown>
moment	NN	moment
,	,	,
ton	NN	ton
entreprise	NN	entreprise
ne	RB	ne
pourra	NN	<unknown>
plus	CC	plus
grossir	NN	<unknown>
.	SENT	.
Et	CC	et
désolé	NN	<unknown>
,	,	,
mais	NN	<unknown>
dans	NNS	dan
ces	NN	ces
conditions	NNS	condition
,	,	,
je	VBG	<unknown>
ne	RB	ne
vois	JJ	<unknown>
pas	NN	pas
comment	NN	comment
une	NN	une
boîte	NN	<unknown>
comme	NN	comme
la	NP	la
tienne	NN	<unknown>
peut	NN	<unknown>
connaître	NN	<unknown>
la	NP	la
réussite	NN	<unknown>
.	SENT	.
»	(	»
Pourquoi	NP	<unknown>
pense-t-il	NP	<unknown>
ça	NP	ça
?	SENT	?
Si	NP	Si
je	NP	Je
suis	NP	<unknown>
son	NN	son
raisonnement	NN	<unknown>
,	,	,
la	DT	la
réussite	NN	<unknown>
de	FW	de
mon	NN	mon
entreprise	NN	entreprise
,	,	,
ce	NN	ce
serait	NN	<unknown>
de	NP	de
vendre	NP	<unknown>
toujours	NP	<unknown>
plus	CC	plus
de	NP	de
vêtements	NNS	<unknown>
,	,	,
quitte	NP	<unknown>
à	NP	<unknown>
vendre	NP	<unknown>
de	FW	de
la	FW	la
mauvaise	NN	<unknown>
qualité	NN	<unknown>
?	SENT	?
En	IN	en
gros	NNS	<unknown>
pour	VBP	pour
lui	NNS	lui
,	,	,
grossir	NN	<unknown>
,	,	,
c	LS	c
'	POS	'
est	NP	est
réussir	NN	<unknown>
,	,	,
quel	NP	quel
qu	NN	qu
'	POS	'
en	FW	en
soit	NP	<unknown>
le	FW	le
prix	NP	Prix
.	SENT	.
Si	NP	Si
par	NN	par
«	)	«
réussir	NN	<unknown>
»	(	»
,	,	,
on	IN	on
entend	NN	<unknown>
«	)	«
croissance	NN	<unknown>
infinie	NN	<unknown>
du	NP	du
chiffre	NP	<unknown>
d	SYM	d
'	POS	'
affaire	NN	affaire
»	(	»
,	,	,
«	)	«
amélioration	NN	amélioration
perpétuelle	NP	<unknown>
des	NP	des
profits	NNS	profit
»	(	»
,	,	,
alors	NNS	<unknown>
il	VBD	<unknown>
a	DT	a
raison	NN	raison
.	SENT	.
Effectivement	NP	<unknown>
,	,	,
mon	NN	mon
entreprise	NN	entreprise
n	NN	n
'	POS	'
est	NP	est
pas	NN	pas
vraiment	NN	vraiment
sur	NP	Sur
la	FW	la
route	NN	route
du	FW	du
succès	NNS	<unknown>
,	,	,
contrairement	JJ	<unknown>
à	NP	<unknown>
d	NN	d
'	POS	'
autres	NNS	<unknown>
dans	NNS	dan
le	DT	le
domaine	NN	<unknown>
du	FW	du
textile	JJ	textile
qui	NNS	qui
,	,	,
chaque	NN	<unknown>
année	NN	<unknown>
,	,	,
vendent	NN	<unknown>
plus	CC	plus
de	NP	de
vêtements	NNS	<unknown>
.	SENT	.
C	NP	C
'	POS	'
est	NP	est
le	FW	le
cas	NN	Cas
de	NP	de
Nike	NP	Nike
,	,	,
H&M	NP	H&M
,	,	,
Zara	NP	Zara
,	,	,
Primark	NP	Primark
.	SENT	.
Seulement	NP	<unknown>
,	,	,
leur	NN	<unknown>
croissance	NN	<unknown>
,	,	,
elle	VBG	<unknown>
a	DT	a
une	NN	une
conséquence	NN	<unknown>
:	:	:
chaque	NN	<unknown>
année	NN	<unknown>
,	,	,
on	IN	on
produit	NN	<unknown>
plus	CC	plus
de	NP	de
vêtements	NNS	<unknown>
.	SENT	.
Entre	NP	Entre
2000	CD	@card@
et	CC	et
2014	CD	@card@
,	,	,
la	DT	la
production	NN	production
mondiale	NP	<unknown>
de	NP	de
vêtements	VBZ	<unknown>
a	DT	a
été	NP	<unknown>
multipliée	NN	<unknown>
par	NN	par
deux	NN	deux
.	SENT	.
Pourquoi	NP	<unknown>
pas	NNS	pa
,	,	,
si	NP	si
ça	NP	ça
permet	NP	<unknown>
aux	NP	aux
gens	NN	gens
de	NP	de
ne	RB	ne
pas	NNS	pa
tous	JJ	<unknown>
s	NN	S
'	POS	'
habiller	NN	<unknown>
en	IN	en
jean	NN	jean
,	,	,
pull	VB	pull
gris	NNS	<unknown>
et	CC	et
chaussures	NNS	<unknown>
blanches	VBZ	blanch
.	SENT	.
Le	DT	le
problème	NN	<unknown>
,	,	,
c	LS	c
'	POS	'
est	NP	est
que	NP	que
pour	VBP	pour
produire	JJ	<unknown>
toujours	NNS	<unknown>
plus	IN	plus
de	NP	de
vêtements	NNS	<unknown>
,	,	,
on	IN	on
rejette	NN	<unknown>
dans	NNS	dan
l	NN	l
'	POS	'
atmosphère	JJ	<unknown>
des	NP	des
millions	NNS	million
de	NP	de
tonnes	NNS	tonne
de	NP	de
gaz	NP	Gaz
à	NP	<unknown>
effet	NP	<unknown>
de	NP	de
serre	NP	Serre
,	,	,
de	NP	de
CO2	NP	<unknown>
.	SENT	.
Est-ce	NP	<unknown>
que	NP	que
vous	JJ	<unknown>
avez	NN	<unknown>
