What	WP	what
'	POS	'
s	NN	S
up	RB	up
,	,	,
people	NNS	people
?	SENT	?
First	JJ	first
of	IN	of
all	DT	all
,	,	,
I	PP	I
cannot	MD	can
believe	VB	believe
I	PP	I
'	POS	'
m	NN	m
on	IN	on
TED	VB	ted
Talk	NN	talk
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
big	JJ	big
deal	NN	deal
.	SENT	.
Because	IN	because
right	RB	right
now	RB	now
,	,	,
everybody	NN	everybody
in	IN	in
my	PP$	my
village	NN	village
is	VBZ	be
watching	VBG	watch
this	DT	this
.	SENT	.
And	CC	and
so	RB	so
,	,	,
of	IN	of
course	NN	course
,	,	,
my	PP$	my
bride	NN	bride
price	NN	price
just	RB	just
went	VBD	go
up	RP	up
.	SENT	.
My	PP$	my
name	NN	name
is	VBZ	be
Adeola	NP	Adeola
Fayehun	NP	<unknown>
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
from	IN	from
Nigeria	NP	Nigeria
.	SENT	.
I	PP	I
live	VBP	live
in	IN	in
the	DT	the
US	NP	US
,	,	,
I	NP	I
'	POS	'
m	NN	m
a	DT	a
journalist	NN	journalist
,	,	,
or	CC	or
a	DT	a
comedian	NN	comedian
,	,	,
or	CC	or
a	DT	a
satirist	NN	satirist
,	,	,
anything	NN	anything
you	PP	you
want	VBP	want
me	PP	me
to	TO	to
be	VB	be
,	,	,
really	RB	really
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
every	DT	every
woman	NN	woman
,	,	,
it	PP	it
'	POS	'
s	NN	S
all	RB	all
in	IN	in
me	PP	me
.	SENT	.
I	PP	I
host	VBP	host
a	DT	a
YouTube	NP	<unknown>
show	NN	show
called	VBD	call
"	''	"
Keeping	VBG	keep
It	PP	it
Real	JJ	real
with	IN	with
Adeola	NP	Adeola
.	SENT	.
"	``	"
Now	RB	now
this	DT	this
show	NN	show
is	VBZ	be
a	DT	a
gentle	JJ	gentle
,	,	,
respectful	JJ	respectful
and	CC	and
very	RB	very
blunt	JJ	blunt
way	NN	way
of	IN	of
calling	VBG	call
out	RP	out
corrupt	JJ	corrupt
African	JJ	African
leaders	NNS	leader
.	SENT	.
President	NP	President
Buhari	NP	<unknown>
:	:	:
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VB	know
which	WDT	which
party	NN	party
my	PP$	my
wife	NN	wife
belongs	VBZ	belong
to	TO	to
,	,	,
but	CC	but
she	PP	she
belongs	VBZ	belong
to	TO	to
my	PP$	my
kitchen	NN	kitchen
.	SENT	.
Adeola	NP	Adeola
Fayehun	NP	<unknown>
:	:	:
Oh	UH	oh
,	,	,
my	PP$	my
God	NP	God
!	SENT	!
I	PP	I
need	VBP	need
some	DT	some
water	NN	water
--	:	--
I	PP	I
said	VBD	say
I	PP	I
need	VBP	need
some	DT	some
water	NN	water
!	SENT	!
See	VB	see
?	SENT	?
I	PP	I
basically	RB	basically
keep	VBP	keep
it	PP	it
real	JJ	real
with	IN	with
them	PP	them
,	,	,
ha	NP	ha
!	SENT	!
Especially	RB	especially
when	WRB	when
they	PP	they
mess	VBP	mess
up	RP	up
,	,	,
which	WDT	which
is	VBZ	be
a	DT	a
lot	NN	lot
of	IN	of
times	NNS	time
.	SENT	.
If	IN	if
any	DT	any
African	JJ	African
official	NN	official
is	VBZ	be
watching	VBG	watch
me	PP	me
,	,	,
by	IN	by
the	DT	the
way	NN	way
,	,	,
I	PP	I
'	POS	'
m	NN	m
not	RB	not
talking	VBG	talk
about	IN	about
you	PP	you
,	,	,
sir	NN	sir
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
talking	VBG	talk
about	IN	about
your	PP$	your
colleagues	NNS	colleague
,	,	,
yes	UH	yes
.	SENT	.
I	PP	I
do	VBP	do
this	DT	this
because	IN	because
Africa	NP	Africa
has	VBZ	have
everything	NN	everything
in	IN	in
it	PP	it
to	TO	to
be	VB	be
great	JJ	great
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
I	PP	I
grew	VBD	grow
up	RP	up
believing	VBG	believe
that	DT	that
Africa	NP	Africa
as	IN	as
a	DT	a
continent	NN	continent
is	VBZ	be
a	DT	a
giant	NN	giant
.	SENT	.
We	PP	we
'	POS	'
ve	NN	ve
got	VBD	get
skills	NNS	skill
,	,	,
intellectuals	NNS	intellectual
,	,	,
natural	JJ	natural
resources	NNS	resource
more	RBR	more
than	IN	than
any	DT	any
other	JJ	other
continent	NN	continent
.	SENT	.
Africa	NP	Africa
supplies	VBZ	supply
31	CD	@card@
percent	NN	percent
of	IN	of
the	DT	the
world	NN	world
'	POS	'
