Chris	NP	Chris
Anderson	NP	Anderson
:	:	:
So	RB	so
our	PP$	our
first	JJ	first
speaker	NN	speaker
gave	VBD	give
a	DT	a
TED	VB	ted
Talk	NN	talk
at	IN	at
TEDGlobal	NP	TEDGlobal
I	PP	I
think	VBP	think
seven	CD	seven
years	NNS	year
ago	RB	ago
.	SENT	.
His	PP$	his
name	NN	name
is	VBZ	be
Professor	NP	Professor
Uri	NP	Uri
Alon	NP	Alon
,	,	,
at	IN	at
the	DT	the
Weizmann	NP	Weizmann
Institute	NP	Institute
of	IN	of
Science	NP	Science
.	SENT	.
Now	RB	now
,	,	,
he	PP	he
and	CC	and
his	PP$	his
colleagues	NNS	colleague
there	RB	there
have	VBP	have
come	VBN	come
up	RP	up
with	IN	with
a	DT	a
powerful	JJ	powerful
idea	NN	idea
that	WDT	that
addresses	VBZ	address
this	DT	this
key	JJ	key
question	NN	question
:	:	:
How	WRB	how
on	IN	on
earth	NN	earth
do	VBP	do
we	PP	we
get	VBP	get
back	RB	back
to	TO	to
work	VB	work
without	IN	without
creating	VBG	create
a	DT	a
second	JJ	second
surge	NN	surge
of	IN	of
the	DT	the
infection	NN	infection
?	SENT	?
Uri	NP	Uri
Alon	NP	Alon
,	,	,
welcome	JJ	welcome
to	TO	to
TED	VB	ted
.	SENT	.
Uri	NP	Uri
Alon	NP	Alon
:	:	:
Thank	VB	thank
you	PP	you
.	SENT	.
Nice	JJ	nice
to	TO	to
be	VB	be
here	RB	here
again	RB	again
.	SENT	.
CA	MD	ca
:	:	:
It	PP	it
'	POS	'
s	NN	S
great	JJ	great
to	TO	to
see	VB	see
you	PP	you
again	RB	again
.	SENT	.
So	RB	so
,	,	,
I	PP	I
guess	VBP	guess
the	DT	the
key	NN	key
to	TO	to
your	PP$	your
idea	NN	idea
is	VBZ	be
this	DT	this
obsession	NN	obsession
with	IN	with
the	DT	the
reproduction	NN	reproduction
number	NN	number
R	NN	R
,	,	,
R-naught	NP	<unknown>
.	SENT	.
If	IN	if
that	DT	that
number	NN	number
is	VBZ	be
less	JJR	less
than	IN	than
one	CD	one
