Adam	NP	Adam
Ockelford	NP	Ockelford
:	:	:
I	PP	I
promise	VBP	promise
there	RB	there
won	VBN	win
'	''	'
t	NN	t
be	VB	be
too	RB	too
much	JJ	much
of	IN	of
me	PP	me
talking	VBG	talk
,	,	,
and	CC	and
a	DT	a
lot	NN	lot
of	IN	of
Derek	NP	Derek
playing	NN	playing
,	,	,
but	CC	but
I	PP	I
thought	VBD	think
it	PP	it
would	MD	would
just	RB	just
be	VB	be
nice	JJ	nice
to	TO	to
recap	VB	recap
on	IN	on
how	WRB	how
Derek	NP	Derek
got	VBN	get
to	TO	to
where	WRB	where
he	PP	he
is	VBZ	be
today	NN	today
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
amazing	JJ	amazing
now	RB	now
,	,	,
because	IN	because
he	PP	he
'	POS	'
s	NN	S
so	RB	so
much	RB	much
bigger	JJR	big
than	IN	than
me	PP	me
,	,	,
but	CC	but
when	WRB	when
Derek	NP	Derek
was	VBD	be
born	VBN	bear
,	,	,
he	PP	he
could	MD	could
have	VB	have
fitted	VBN	fit
on	IN	on
the	DT	the
palm	NN	palm
of	IN	of
your	PP$	your
hand	NN	hand
.	SENT	.
He	PP	he
was	VBD	be
born	VBN	bear
three	CD	three
and	CC	and
a	DT	a
half	JJ	half
months	NNS	month
premature	JJ	premature
,	,	,
and	CC	and
really	RB	really
it	PP	it
was	VBD	be
a	DT	a
fantastic	JJ	fantastic
fight	NN	fight
for	IN	for
him	PP	him
to	TO	to
survive	VB	survive
.	SENT	.
He	PP	he
had	VBD	have
to	TO	to
have	VB	have
a	DT	a
lot	NN	lot
of	IN	of
oxygen	NN	oxygen
,	,	,
and	CC	and
that	IN	that
affected	VBN	affect
your	PP$	your
eyes	NNS	eye
,	,	,
Derek	NP	Derek
,	,	,
and	CC	and
also	RB	also
the	DT	the
way	NN	way
you	PP	you
understand	VBP	understand
language	NN	language
and	CC	and
the	DT	the
way	NN	way
you	PP	you
understand	VBP	understand
the	DT	the
world	NN	world
.	SENT	.
But	CC	but
that	DT	that
was	VBD	be
the	DT	the
end	NN	end
of	IN	of
the	DT	the
bad	JJ	bad
news	NN	news
,	,	,
because	IN	because
when	WRB	when
Derek	NP	Derek
came	VBD	come
home	NN	home
from	IN	from
the	DT	the
hospital	NN	hospital
,	,	,
his	PP$	his
family	NN	family
decided	VBD	decide
to	TO	to
employ	VB	employ
the	DT	the
redoubtable	JJ	redoubtable
nanny	NN	nanny
who	WP	who
was	VBD	be
going	VBG	go
to	TO	to
look	VB	look
after	IN	after
you	PP	you
,	,	,
Derek	NP	Derek
,	,	,
really	RB	really
for	IN	for
the	DT	the
rest	NN	rest
of	IN	of
your	PP$	your
childhood	NN	childhood
.	SENT	.
And	CC	and
Nanny	NP	Nanny
'	POS	'
s	JJ	<unknown>
great	JJ	great
insight	NN	insight
,	,	,
really	RB	really
,	,	,
was	VBD	be
to	TO	to
think	VB	think
,	,	,
here	RB	here
'	''	'
s	VBG	<unknown>
a	DT	a
child	NN	child
who	WP	who
can	MD	can
'	''	'
t	NN	t
see	VB	see
.	SENT	.
Music	NN	music
must	MD	must
be	VB	be
the	DT	the
thing	NN	thing
for	IN	for
Derek	NP	Derek
.	SENT	.
And	CC	and
sure	RB	sure
enough	RB	enough
,	,	,
she	PP	she
sang	VBD	sing
,	,	,
or	CC	or
as	IN	as
Derek	NP	Derek
called	VBD	call
it	PP	it
,	,	,
warbled	JJ	warbled
,	,	,
to	TO	to
him	PP	him
for	IN	for
his	PP$	his
first	JJ	first
few	JJ	few
years	NNS	year
of	IN	of
life	NN	life
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
it	PP	it
was	VBD	be
that	DT	that
excitement	NN	excitement
with	IN	with
hearing	VBG	hear
her	PP$	her
voice	NN	voice
hour	NN	hour
