Hi	UH	hi
.	SENT	.
So	IN	so
today	NN	today
,	,	,
I	PP	I
'	POS	'
d	NN	d
like	VBP	like
to	TO	to
share	VB	share
some	DT	some
works	NNS	work
in	IN	in
progress	NN	progress
.	SENT	.
Since	IN	since
we	PP	we
are	VBP	be
still	RB	still
realizing	VBG	realize
these	DT	these
works	NNS	work
,	,	,
we	PP	we
are	VBP	be
largely	RB	largely
working	VBG	work
within	IN	within
the	DT	the
realm	NN	realm
of	IN	of
intuition	NN	intuition
and	CC	and
mystery	NN	mystery
,	,	,
still	RB	still
.	SENT	.
So	IN	so
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
try	VB	try
and	CC	and
describe	VB	describe
some	DT	some
of	IN	of
the	DT	the
experiences	NNS	experience
that	IN	that
we	PP	we
'	POS	'
re	NN	re
looking	VBG	look
for	IN	for
through	IN	through
each	DT	each
of	IN	of
the	DT	the
works	NNS	work
.	SENT	.
So	IN	so
the	DT	the
first	JJ	first
work	NN	work
is	VBZ	be
called	VBN	call
the	DT	the
Imperial	JJ	Imperial
Monochromes	NNS	monochrome
.	SENT	.
A	DT	a
viewer	NN	viewer
sort	NN	sort
of	IN	of
unsuspectingly	RB	unsuspectingly
walks	VBZ	walk
into	IN	into
the	DT	the
room	NN	room
,	,	,
and	CC	and
catches	VBZ	catch
a	DT	a
glimpse	NN	glimpse
of	IN	of
these	DT	these
panels	NNS	panel
in	IN	in
a	DT	a
messy	JJ	messy
composition	NN	composition
on	IN	on
the	DT	the
wall	NN	wall
.	SENT	.
Within	IN	within
seconds	NNS	second
,	,	,
as	RB	as
if	IN	if
the	DT	the
panels	NNS	panel
have	VBP	have
noticed	VBN	notice
the	DT	the
presence	NN	presence
of	IN	of
the	DT	the
viewer	NN	viewer
,	,	,
they	PP	they
appear	VBP	appear
to	TO	to
panic	VB	panic
and	CC	and
sort	VB	sort
of	IN	of
get	VB	get
into	IN	into
a	DT	a
strict	JJ	strict
symmetry	NN	symmetry
.	SENT	.
So	RB	so
this	DT	this
is	VBZ	be
the	DT	the
sketch	NN	sketch
of	IN	of
the	DT	the
two	CD	two
states	NNS	state
.	SENT	.
One	PP	one
is	VBZ	be
total	JJ	total
chaos	NN	chaos
.	SENT	.
The	DT	the
other	JJ	other
is	VBZ	be
absolute	JJ	absolute
order	NN	order
.	SENT	.
And	CC	and
we	PP	we
were	VBD	be
interested	JJ	interested
in	IN	in
seeing	VBG	see
how	WRB	how
little	JJ	little
change	NN	change
it	PP	it
takes	VBZ	take
to	TO	to
move	VB	move
from	IN	from
one	CD	one
state	NN	state
to	TO	to
the	DT	the
other	JJ	other
state	NN	state
.	SENT	.
This	DT	this
also	RB	also
reminded	VBN	remind
us	PP	us
of	IN	of
two	CD	two
very	RB	very
different	JJ	different
pictorial	JJ	pictorial
traditions	NNS	tradition
.	SENT	.
One	PP	one
is	VBZ	be
the	DT	the
altar	NN	altar
tablets	NNS	tablet
of	IN	of
the	DT	the
15th	JJ	15th
century	NN	century
,	,	,
and	CC	and
the	DT	the
other	JJ	other
is	VBZ	be
about	RB	about
100	CD	@card@
years	NNS	year
ago	RB	ago
,	,	,
Malevich	NP	Malevich
'	POS	'
s	JJ	<unknown>
abstract	JJ	abstract
compositions	NNS	composition
.	SENT	.
So	IN	so
I	PP	I
'	POS	'
m	NN	m
just	RB	just
going	VBG	go
to	TO	to
take	VB	take
you	PP	you
to	TO	to
a	DT	a
video	NN	video
.	SENT	.
To	TO	to
give	VB	give
you	PP	you
a	DT	a
sense	NN	sense
of	IN	of
scale	NN	scale
,	,	,
the	DT	the
largest	JJS	large
panel	NN	panel
is	VBZ	be
about	RB	about
two	CD	two
meters	NNS	meter
high	JJ	high
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
about	IN	about
this	DT	this
much	JJ	much
.	SENT	.
And	CC	and
the	DT	the
smallest	JJS	small
one	PP	one
is	VBZ	be
an	DT	an
A4	JJ	A4
.	SENT	.
So	IN	so
a	DT	a
viewer	NN	viewer
enters	VBZ	enter
the	DT	the
space	NN	space
,	,	,
and	CC	and
they	PP	they
snap	VBP	snap
to	TO	to
attention	NN	attention
.	SENT	.
And	CC	and
after	IN	after
a	DT	a
while	NN	while
,	,	,
if	IN	if
the	DT	the
viewer	NN	viewer
continues	VBZ	continue
to	TO	to
remain	VB	remain
in	IN	in
the	DT	the
space	NN	space
,	,	,
the	DT	the
panels	NNS	panel
will	MD	will
sort	VB	sort
