Almost	RB	almost
two	CD	two
years	NNS	year
ago	RB	ago
,	,	,
I	PP	I
was	VBD	be
driving	VBG	drive
in	IN	in
my	PP$	my
car	NN	car
in	IN	in
Germany	NP	Germany
,	,	,
and	CC	and
I	PP	I
turned	VBD	turn
on	IN	on
the	DT	the
radio	NN	radio
.	SENT	.
Europe	NP	Europe
at	IN	at
the	DT	the
time	NN	time
was	VBD	be
in	IN	in
the	DT	the
middle	NN	middle
of	IN	of
the	DT	the
Euro	NP	Euro
crisis	NN	crisis
,	,	,
and	CC	and
all	PDT	all
the	DT	the
headlines	NNS	headline
were	VBD	be
about	RB	about
European	JJ	European
countries	NNS	country
getting	VBG	get
downgraded	VBN	downgrade
by	IN	by
rating	NN	rating
agencies	NNS	agency
in	IN	in
the	DT	the
United	NP	United
States	NPS	States
.	SENT	.
I	PP	I
listened	VBD	listen
and	CC	and
thought	VBD	think
to	TO	to
myself	PP	myself
,	,	,
"	``	"
What	WP	what
are	VBP	be
these	DT	these
rating	NN	rating
agencies	NNS	agency
,	,	,
and	CC	and
why	WRB	why
is	VBZ	be
everybody	NN	everybody
so	RB	so
upset	VBN	upset
about	IN	about
their	PP$	their
work	NN	work
?	SENT	?
"	''	"
Well	RB	well
,	,	,
if	IN	if
you	PP	you
were	VBD	be
sitting	VBG	sit
next	JJ	next
to	TO	to
me	PP	me
in	IN	in
the	DT	the
car	NN	car
that	IN	that
day	NN	day
and	CC	and
would	MD	would
have	VB	have
told	VBN	tell
me	PP	me
that	IN	that
I	PP	I
would	MD	would
devote	VB	devote
the	DT	the
next	JJ	next
years	NNS	year
to	TO	to
trying	VBG	try
to	TO	to
reform	VB	reform
them	PP	them
,	,	,
obviously	RB	obviously
I	PP	I
would	MD	would
have	VB	have
called	VBN	call
you	PP	you
crazy	JJ	crazy
.	SENT	.
But	CC	but
guess	VBP	guess
what	WP	what
'	POS	'
s	NN	S
really	RB	really
crazy	JJ	crazy
:	:	:
the	DT	the
way	NN	way
these	DT	these
rating	NN	rating
agencies	NNS	agency
are	VBP	be
run	VBN	run
.	SENT	.
And	CC	and
I	PP	I
would	MD	would
like	VB	like
to	TO	to
explain	VB	explain
to	TO	to
you	PP	you
not	RB	not
only	RB	only
why	WRB	why
it	PP	it
'	POS	'
s	JJ	<unknown>
time	NN	time
to	TO	to
change	VB	change
this	DT	this
,	,	,
but	CC	but
also	RB	also
how	WRB	how
we	PP	we
can	MD	can
do	VB	do
it	PP	it
.	SENT	.
So	RB	so
let	VB	let
me	PP	me
tell	VB	tell
you	PP	you
a	DT	a
little	JJ	little
bit	NN	bit
about	IN	about
what	WP	what
rating	NN	rating
agencies	NNS	agency
really	RB	really
do	VBP	do
.	SENT	.
As	IN	as
you	PP	you
would	MD	would
read	VB	read
a	DT	a
car	NN	car
magazine	NN	magazine
before	IN	before
purchasing	VBG	purchase
a	DT	a
new	JJ	new
car	NN	car
or	CC	or
taking	VBG	take
a	DT	a
look	NN	look
at	IN	at
a	DT	a
product	NN	product
review	NN	review
before	IN	before
deciding	VBG	decide
which	WDT	which
kind	NN	kind
of	IN	of
tablet	NN	tablet
or	CC	or
phone	NN	phone
to	TO	to
get	VB	get
,	,	,
investors	NNS	investor
are	VBP	be
reading	VBG	read
ratings	NNS	rating
before	IN	before
they	PP	they
decide	VBP	decide
in	IN	in
which	WDT	which
kind	NN	kind
of	IN	of
product	NN	product
they	PP	they
are	VBP	be
investing	VBG	invest
their	PP$	their
money	NN	money
.	SENT	.
A	DT	a
rating	NN	rating
can	MD	can
range	VB	range
from	IN	from
a	DT	a
so-called	JJ	so-called
AAA	NP	AAA
,	,	,
which	WDT	which
means	VBZ	mean
it	PP	it
'	''	'
s	VBG	<unknown>
a	DT	a
top-performing	JJ	top-performing
product	NN	product
,	,	,
and	CC	and
it	PP	it
can	MD	can
go	VB	go
down	RB	down
to	TO	to
the	DT	the
level	NN	level
of	IN	of
the	DT	the
so-called	JJ	so-called
BBB-	NP	<unknown>
,	,	,
which	WDT	which
means	VBZ	mean
it	PP	it
'	''	'
s	VBG	<unknown>
a	DT	a
fairly	RB	fairly
risky	JJ	risky
investment	NN	investment
.	SENT	.
Rating	NN	rating
agencies	NNS	agency
are	VBP	be
rating	NN	rating
companies	NNS	company
.	SENT	.
They	PP	they
are	VBP	be
rating	VBG	rate
banks	NNS	bank
.	SENT	.
They	PP	they
are	VBP	be
rating	VBG	rate
even	RB	even
financial	JJ	financial
products	NNS	product
like	IN	like
the	DT	the
infamous	JJ	infamous
mortgage-backed	JJ	mortgage-backed
securities	NNS	security
.	SENT	.
But	CC	but
they	PP	they
can	MD	can
also	RB	also
rate	VB	rate
countries	NNS	country
,	,	,
and	CC	and
these	DT	these
ratings	NNS	rating
are	VBP	be
called	VBN	call
sovereign	JJ	sovereign
ratings	NNS	rating
,	,	,
and	CC	and
I	PP	I
would	MD	would
like	VB	like
to	TO	to
focus	VB	focus
in	IN	in
particular	JJ	particular
on	IN	on
these	DT	these
sovereign	JJ	sovereign
ratings	NNS	rating
.	SENT	.
And	CC	and
I	PP	I
can	MD	can
tell	VB	tell
,	,	,
as	IN	as
you	PP	you
'	POS	'
re	NN	re
listening	VBG	listen
to	TO	to
me	PP	me
right	RB	right
now	RB	now
,	,	,
you	PP	you
'	POS	'
re	NN	re
thinking	NN	thinking
,	,	,
so	RB	so
why	WRB	why
