Let	NP	Let
'	POS	'
s	NNS	<unknown>
face	VBP	face
it	PP	it
:	:	:
Driving	VBG	drive
is	VBZ	be
dangerous	JJ	dangerous
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
one	CD	one
of	IN	of
the	DT	the
things	NNS	thing
that	IN	that
we	PP	we
don	VB	don
'	''	'
t	NN	t
like	VBP	like
to	TO	to
think	VB	think
about	RB	about
,	,	,
but	CC	but
the	DT	the
fact	NN	fact
that	IN	that
religious	JJ	religious
icons	NNS	icon
and	CC	and
good	JJ	good
luck	NN	luck
charms	NNS	charm
show	VBP	show
up	RP	up
on	IN	on
dashboards	NNS	dashboard
around	IN	around
the	DT	the
world	NN	world
betrays	VBZ	betray
the	DT	the
fact	NN	fact
that	IN	that
we	PP	we
know	VBP	know
this	DT	this
to	TO	to
be	VB	be
true	JJ	true
.	SENT	.
Car	NN	car
accidents	NNS	accident
are	VBP	be
the	DT	the
leading	VBG	lead
cause	NN	cause
of	IN	of
death	NN	death
in	IN	in
people	NNS	people
ages	VBZ	age
16	CD	@card@
to	TO	to
19	CD	@card@
in	IN	in
the	DT	the
United	NP	United
States	NPS	States
—	:	-
leading	VBG	lead
cause	NN	cause
of	IN	of
death	NN	death
—	:	-
and	CC	and
75	CD	@card@
percent	NN	percent
of	IN	of
these	DT	these
accidents	NNS	accident
have	VBP	have
nothing	NN	nothing
to	TO	to
do	VB	do
with	IN	with
drugs	NNS	drug
or	CC	or
alcohol	NN	alcohol
.	SENT	.
So	RB	so
what	WP	what
happens	VBZ	happen
?	SENT	?
No	DT	no
one	CD	one
can	MD	can
say	VB	say
for	IN	for
sure	JJ	sure
,	,	,
but	CC	but
I	PP	I
remember	VBP	remember
my	PP$	my
first	JJ	first
accident	NN	accident
.	SENT	.
I	PP	I
was	VBD	be
a	DT	a
young	JJ	young
driver	NN	driver
out	RP	out
on	IN	on
the	DT	the
highway	NN	highway
,	,	,
and	CC	and
the	DT	the
car	NN	car
in	IN	in
front	NN	front
of	IN	of
me	PP	me
,	,	,
I	PP	I
saw	VBD	see
the	DT	the
brake	NN	brake
lights	NNS	light
go	VBP	go
on	IN	on
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
like	IN	like
,	,	,
"	''	"
Okay	NP	Okay
,	,	,
all	DT	all
right	NN	right
,	,	,
this	DT	this
guy	NN	guy
is	VBZ	be
slowing	VBG	slow
down	RP	down
,	,	,
I	PP	I
'	POS	'
ll	NNS	<unknown>
slow	VB	slow
down	RP	down
too	RB	too
.	SENT	.
"	``	"
I	PP	I
step	VBP	step
on	IN	on
the	DT	the
brake	NN	brake
.	SENT	.
But	CC	but
no	UH	no
,	,	,
this	DT	this
guy	NN	guy
isn	NN	isn
'	POS	'
t	NN	t
slowing	VBG	slow
down	RP	down
.	SENT	.
This	DT	this
guy	NN	guy
is	VBZ	be
stopping	VBG	stop
,	,	,
dead	JJ	dead
stop	NN	stop
,	,	,
dead	JJ	dead
stop	NN	stop
on	IN	on
the	DT	the
highway	NN	highway
.	SENT	.
It	PP	it
was	VBD	be
just	RB	just
going	VBG	go
65	CD	@card@
—	:	-
to	TO	to
zero	VB	zero
?	SENT	?
I	PP	I
slammed	VBD	slam
on	IN	on
the	DT	the
brakes	NNS	brake
.	SENT	.
I	PP	I
felt	VBD	feel
the	DT	the
ABS	NP	ABS
kick	NN	kick
in	IN	in
,	,	,
and	CC	and
the	DT	the
car	NN	car
is	VBZ	be
still	RB	still
going	VBG	go
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
not	RB	not
going	VBG	go
to	TO	to
stop	VB	stop
,	,	,
and	CC	and
I	PP	I
know	VBP	know
it	PP	it
'	''	'
s	NNS	<unknown>
not	RB	not
going	VBG	go
to	TO	to
stop	VB	stop
,	,	,
and	CC	and
the	DT	the
air	NN	air
bag	NN	bag
deploys	VBZ	deploy
,	,	,
the	DT	the
car	NN	car
is	VBZ	be
totaled	VBN	total
,	,	,
and	CC	and
fortunately	RB	fortunately
,	,	,
no	DT	no
one	CD	one
was	VBD	be
hurt	VBN	hurt
.	SENT	.
But	CC	but
I	PP	I
had	VBD	have
no	DT	no
idea	NN	idea
that	IN	that
car	NN	car
was	VBD	be
stopping	VBG	stop
,	,	,
and	CC	and
I	PP	I
think	VBP	think
we	PP	we
can	MD	can
do	VB	do
a	DT	a
lot	NN	lot
better	RBR	well
than	IN	than
that	DT	that
.	SENT	.
I	PP	I
think	VBP	think
we	PP	we
can	MD	can
transform	VB	transform
the	DT	the
driving	VBG	drive
experience	NN	experience
by	IN	by
letting	VBG	let
our	PP$	our
cars	NNS	car
talk	VB	talk
to	TO	to
each	DT	each
other	JJ	other
.	SENT	.
I	PP	I
just	RB	just
want	VBP	want
you	PP	you
to	TO	to
think	VB	think
a	DT	a
little	JJ	little
bit	NN	bit
about	IN	about
what	WP	what
the	DT	the
experience	NN	experience
of	IN	of
driving	NN	driving
is	VBZ	be
like	IN	like
now	RB	now
.	SENT	.
Get	VB	get
into	IN	into
your	PP$	your
car	NN	car
.	SENT	.
Close	VB	close
the	DT	the
door	NN	door
.	SENT	.
You	PP	you
'	POS	'
re	NN	re
in	IN	in
a	DT	a
glass	NN	glass
bubble	NN	bubble
.	SENT	.
You	PP	you
can	MD	can
'	''	'
t	NN	t
really	RB	really
directly	RB	directly
sense	VBP	sense
the	DT	the
world	NN	world
around	IN	around
you	PP	you
.	SENT	.
You	PP	you
'	POS	'
re	NN	re
in	IN	in
this	DT	this
extended	JJ	extended
body	NN	body
.	SENT	.
You	PP	you
'	POS	'
re	NN	re
tasked	VBD	task
with	IN	with
navigating	VBG	navigate
it	PP	it
down	RP	down
partially-seen	NN	<unknown>
roadways	NNS	roadway
,	,	,
in	IN	in
and	CC	and
amongst	IN	amongst
other	JJ	other
metal	NN	metal
giants	NNS	giant
,	,	,
at	IN	at
super-human	NN	super-human
speeds	NNS	speed
.	SENT	.
Okay	JJ	okay
?	SENT	?
And	CC	and
all	RB	all
you	PP	you
have	VBP	have
to	TO	to
guide	VB	guide
you	PP	you
are	VBP	be
your	PP$	your
two	CD	two
eyes	NNS	eye
.	SENT	.
Okay	RB	okay
,	,	,
so	RB	so
that	RB	that
'	''	'
s	NNS	<unknown>
all	RB	all
you	PP	you
have	VBP	have
,	,	,
eyes	VBZ	eye
that	IN	that
weren	NNS	<unknown>
'	POS	'
t	NN	t
really	RB	really
designed	VBN	design
for	IN	for
this	DT	this
task	NN	task
,	,	,
but	CC	but
then	RB	then
people	NNS	people
ask	VBP	ask
you	PP	you
to	TO	to
do	VB	do
things	NNS	thing
like	IN	like
,	,	,
you	PP	you
want	VBP	want
to	TO	to
make	VB	make
a	DT	a
lane	JJ	lane
change	NN	change
,	,	,
what	WP	what
'	POS	'
s	NN	S
the	DT	the
first	JJ	first
thing	NN	thing
they	PP	they
ask	VBP	ask
you	PP	you
do	VBP	do
?	SENT	?
Take	VB	take
your	PP$	your
eyes	NNS	eye
off	IN	off
the	DT	the
road	NN	road
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
right	NN	right
.	SENT	.
Stop	VB	stop
looking	VBG	look
where	WRB	where
you	PP	you
'	POS	'
re	NN	re
going	VBG	go
,	,	,
turn	VB	turn
,	,	,
check	VB	check
your	PP$	your
blind	JJ	blind
spot	NN	spot
,	,	,
and	CC	and
drive	VB	drive
down	RP	down
the	DT	the
road	NN	road
without	IN	without
looking	VBG	look
where	WRB	where
you	PP	you
'	POS	'
re	NN	re
going	VBG	go
.	SENT	.
You	PP	you
and	CC	and
everyone	NN	everyone
else	RB	else
.	SENT	.
This	DT	this
is	VBZ	be
the	DT	the
safe	JJ	safe
way	NN	way
to	TO	to
drive	VB	drive
.	SENT	.
Why	WRB	why
do	VBP	do
we	PP	we
do	VBP	do
this	DT	this
?	SENT	?
Because	IN	because
we	PP	we
have	VBP	have
to	TO	to
,	,	,
we	PP	we
have	VBP	have
to	TO	to
make	VB	make
a	DT	a
choice	NN	choice
,	,	,
do	VBP	do
I	PP	I
look	VBP	look
here	RB	here
or	CC	or
do	VBP	do
I	PP	I
look	VBP	look
here	RB	here
?	SENT	?
What	WP	what
'	POS	'
s	NNS	<unknown>
more	RBR	more
important	JJ	important
?	SENT	?
And	CC	and
usually	RB	usually
we	PP	we
do	VBP	do
a	DT	a
fantastic	JJ	fantastic
job	NN	job
picking	VBG	pick
and	CC	and
choosing	VBG	choose
what	WP	what
we	PP	we
attend	VBP	attend
to	TO	to
on	IN	on
the	DT	the
road	NN	road
.	SENT	.
But	CC	but
occasionally	RB	occasionally
we	PP	we
miss	VBP	miss
something	NN	something
.	SENT	.
Occasionally	RB	occasionally
we	PP	we
sense	VBP	sense
something	NN	something
wrong	JJ	wrong
or	CC	or
too	RB	too
late	JJ	late
.	SENT	.
In	IN	in
countless	JJ	countless
accidents	NNS	accident
,	,	,
the	DT	the
driver	NN	driver
says	VBZ	say
,	,	,
"	``	"
I	PP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
see	VBP	see
it	PP	it
coming	VBG	come
.	SENT	.
"	``	"
And	CC	and
I	PP	I
believe	VBP	believe
that	RB	that
.	SENT	.
I	PP	I
believe	VBP	believe
that	RB	that
.	SENT	.
We	PP	we
can	MD	can
only	RB	only
watch	VB	watch
so	RB	so
much	RB	much
.	SENT	.
But	CC	but
the	DT	the
technology	NN	technology
exists	VBZ	exist
now	RB	now
that	WDT	that
can	MD	can
help	VB	help
us	PP	us
improve	VB	improve
that	DT	that
.	SENT	.
In	IN	in
the	DT	the
future	NN	future
,	,	,
with	IN	with
cars	NNS	car
exchanging	VBG	exchange
data	NNS	datum
with	IN	with
each	DT	each
other	JJ	other
,	,	,
we	PP	we
will	MD	will
be	VB	be
able	JJ	able
to	TO	to
see	VB	see
not	RB	not
just	RB	just
three	CD	three
cars	NNS	car
ahead	RB	ahead
and	CC	and
three	CD	three
cars	NNS	car
behind	RB	behind
,	,	,
to	TO	to
the	DT	the
right	NN	right
and	CC	and
left	VBD	leave
,	,	,
all	RB	all
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
,	,	,
bird	NN	bird
'	POS	'
s	JJ	<unknown>
eye	NN	eye
view	NN	view
,	,	,
we	PP	we
will	MD	will
actually	RB	actually
be	VB	be
able	JJ	able
to	TO	to
see	VB	see
into	IN	into
those	DT	those
cars	NNS	car
.	SENT	.
We	PP	we
will	MD	will
be	VB	be
able	JJ	able
to	TO	to
see	VB	see
the	DT	the
velocity	NN	velocity
of	IN	of
the	DT	the
car	NN	car
in	IN	in
front	NN	front
of	IN	of
us	PP	us
,	,	,
to	TO	to
see	VB	see
how	WRB	how
fast	RB	fast
that	DT	that
guy	NN	guy
'	POS	'
s	NN	S
going	VBG	go
or	CC	or
stopping	VBG	stop
.	SENT	.
If	IN	if
that	DT	that
guy	NN	guy
'	POS	'
s	NNS	<unknown>
going	VBG	go
down	RP	down
to	TO	to
zero	VB	zero
,	,	,
I	PP	I
'	POS	'
ll	NNS	<unknown>
know	VBP	know
.	SENT	.
And	CC	and
with	IN	with
computation	NN	computation
and	CC	and
algorithms	NNS	algorithm
and	CC	and
predictive	JJ	predictive
models	NNS	model
,	,	,
we	PP	we
will	MD	will
be	VB	be
able	JJ	able
to	TO	to
see	VB	see
the	DT	the
future	NN	future
.	SENT	.
You	PP	you
may	MD	may
think	VB	think
that	RB	that
'	''	'
s	NNS	<unknown>
impossible	JJ	impossible
.	SENT	.
How	WRB	how
can	MD	can
you	PP	you
predict	VB	predict
the	DT	the
future	NN	future
?	SENT	?
That	IN	that
'	POS	'
s	NN	S
really	RB	really
hard	RB	hard
.	SENT	.
Actually	RB	actually
,	,	,
no	UH	no
.	SENT	.
With	IN	with
cars	NNS	car
,	,	,
it	PP	it
'	POS	'
s	NN	S
not	RB	not
impossible	JJ	impossible
.	SENT	.
Cars	NNS	car
are	VBP	be
three-dimensional	JJ	three-dimensional
objects	NNS	object
that	WDT	that
have	VBP	have
a	DT	a
fixed	VBN	fix
position	NN	position
and	CC	and
velocity	NN	velocity
.	SENT	.
They	PP	they
travel	VBP	travel
down	RP	down
roads	NNS	road
.	SENT	.
Often	RB	often
they	PP	they
travel	VBP	travel
on	IN	on
pre-published	JJ	pre-published
routes	NNS	route
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
really	RB	really
not	RB	not
that	IN	that
hard	JJ	hard
to	TO	to
make	VB	make
reasonable	JJ	reasonable
predictions	NNS	prediction
about	RB	about
where	WRB	where
a	DT	a
car	NN	car
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
be	VB	be
in	IN	in
the	DT	the
near	JJ	near
future	NN	future
.	SENT	.
Even	RB	even
if	IN	if
,	,	,
when	WRB	when
you	PP	you
'	POS	'
re	NN	re
in	IN	in
your	PP$	your
car	NN	car
and	CC	and
some	DT	some
motorcyclist	NN	motorcyclist
comes	VBZ	come
—	:	-
bshoom	NN	<unknown>
!	SENT	!
—	:	-
85	CD	@card@
miles	NNS	mile
an	DT	an
