Diana	NP	Diana
Reiss	NP	Reiss
:	:	:
You	PP	you
may	MD	may
think	VB	think
you	PP	you
'	POS	'
re	NN	re
looking	VBG	look
through	IN	through
a	DT	a
window	NN	window
at	IN	at
a	DT	a
dolphin	NN	dolphin
spinning	VBG	spin
playfully	RB	playfully
,	,	,
but	CC	but
what	WP	what
you	PP	you
'	POS	'
re	NN	re
actually	RB	actually
looking	VBG	look
through	IN	through
is	VBZ	be
a	DT	a
two-way	JJ	two-way
mirror	NN	mirror
at	IN	at
a	DT	a
dolphin	NN	dolphin
looking	VBG	look
at	IN	at
itself	PP	itself
spinning	VBG	spin
playfully	RB	playfully
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
dolphin	NN	dolphin
that	WDT	that
is	VBZ	be
self-aware	JJ	self-aware
.	SENT	.
This	DT	this
dolphin	NN	dolphin
has	VBZ	have
self-awareness	NN	self-awareness
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
a	DT	a
young	JJ	young
dolphin	NN	dolphin
named	VBN	name
Bayley	NP	Bayley
.	SENT	.
I	NP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
very	RB	very
interested	JJ	interested
in	IN	in
understanding	VBG	understand
the	DT	the
nature	NN	nature
of	IN	of
the	DT	the
intelligence	NN	intelligence
of	IN	of
dolphins	NNS	dolphin
for	IN	for
the	DT	the
past	JJ	past
30	CD	@card@
years	NNS	year
.	SENT	.
How	WRB	how
do	VBP	do
we	PP	we
explore	VB	explore
intelligence	NN	intelligence
in	IN	in
this	DT	this
animal	NN	animal
that	RB	that
'	POS	'
s	NN	S
so	RB	so
different	JJ	different
from	IN	from
us	PP	us
?	SENT	?
And	CC	and
what	WP	what
I	PP	I
'	POS	'
ve	NN	ve
used	VBN	use
is	VBZ	be
a	DT	a
very	RB	very
simple	JJ	simple
research	NN	research
tool	NN	tool
,	,	,
a	DT	a
mirror	NN	mirror
,	,	,
and	CC	and
we	PP	we
'	POS	'
ve	NN	ve
gained	VBD	gain
great	JJ	great
information	NN	information
,	,	,
reflections	NNS	reflection
of	IN	of
these	DT	these
animal	JJ	animal
minds	NNS	mind
.	SENT	.
Dolphins	NNS	dolphin
aren	NNS	<unknown>
'	POS	'
t	NN	t
the	DT	the
only	JJ	only
animals	NNS	animal
,	,	,
the	DT	the
only	JJ	only
non-human	NN	non-human
animals	NNS	animal
,	,	,
to	TO	to
show	VB	show
mirror	NN	mirror
self-recognition	NN	self-recognition
.	SENT	.
We	PP	we
used	VBD	use
to	TO	to
think	VB	think
this	DT	this
was	VBD	be
a	DT	a
uniquely	RB	uniquely
human	JJ	human
ability	NN	ability
,	,	,
but	CC	but
we	PP	we
learned	VBD	learn
that	IN	that
the	DT	the
great	JJ	great
apes	NNS	ape
,	,	,
our	PP$	our
closest	JJS	close
relatives	NNS	relative
,	,	,
also	RB	also
show	VBP	show
this	DT	this
ability	NN	ability
.	SENT	.
Then	RB	then
we	PP	we
showed	VBD	show
it	PP	it
in	IN	in
dolphins	NNS	dolphin
,	,	,
and	CC	and
then	RB	then
later	RBR	later
in	IN	in
elephants	NNS	elephant
.	SENT	.
We	PP	we
did	VBD	do
this	DT	this
work	NN	work
in	IN	in
my	PP$	my
lab	NN	lab
with	IN	with
the	DT	the
dolphins	NNS	dolphin
and	CC	and
elephants	NNS	elephant
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	RB	<unknown>
been	VBN	be
recently	RB	recently
shown	VBN	show
in	IN	in
the	DT	the
magpie	NN	magpie
.	SENT	.
Now	RB	now
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
interesting	JJ	interesting
,	,	,
because	IN	because
we	PP	we
'	POS	'
ve	NN	ve
embraced	VBD	embrace
this	DT	this
Darwinian	JJ	Darwinian
view	NN	view
of	IN	of
a	DT	a
continuity	NN	continuity
in	IN	in
physical	JJ	physical
evolution	NN	evolution
,	,	,
this	DT	this
physical	JJ	physical
continuity	NN	continuity
.	SENT	.
But	CC	but
we	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
much	RB	much
more	JJR	more
reticent	JJ	reticent
,	,	,
much	RB	much
slower	JJR	slow
at	IN	at
recognizing	VBG	recognize
this	DT	this
continuity	NN	continuity
in	IN	in
cognition	NN	cognition
,	,	,
in	IN	in
emotion	NN	emotion
,	,	,
in	IN	in
consciousness	NN	consciousness
in	IN	in
other	JJ	other
animals	NNS	animal
.	SENT	.
Other	JJ	other
animals	NNS	animal
are	VBP	be
conscious	JJ	conscious
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
emotional	JJ	emotional
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
aware	JJ	aware
.	SENT	.
There	EX	there
have	VBP	have
been	VBN	be
multitudes	NNS	multitude
of	IN	of
studies	NNS	study
with	IN	with
many	JJ	many
species	NNS	specie
over	IN	over
the	DT	the
years	NNS	year
that	WDT	that
have	VBP	have
given	VBN	give
us	PP	us
exquisite	JJ	exquisite
evidence	NN	evidence
for	IN	for
thinking	NN	thinking
and	CC	and
consciousness	NN	consciousness
in	IN	in
other	JJ	other
animals	NNS	animal
,	,	,
other	JJ	other
animals	NNS	animal
that	WDT	that
are	VBP	be
quite	RB	quite
different	JJ	different
than	IN	than
we	PP	we
are	VBP	be
in	IN	in
form	NN	form
.	SENT	.
We	PP	we
are	VBP	be
not	RB	not
alone	RB	alone
.	SENT	.
We	PP	we
are	VBP	be
not	RB	not
alone	RB	alone
in	IN	in
these	DT	these
abilities	NNS	ability
.	SENT	.
And	CC	and
I	PP	I
hope	VBP	hope
,	,	,
and	CC	and
one	CD	one
of	IN	of
my	PP$	my
biggest	JJS	big
dreams	NNS	dream
,	,	,
is	VBZ	be
that	IN	that
,	,	,
with	IN	with
our	PP$	our
growing	VBG	grow
awareness	NN	awareness
about	IN	about
