Martin	NP	Martin
Luther	NP	Luther
King	NP	King
did	VBD	do
not	RB	not
say	VB	say
,	,	,
"	``	"
I	PP	I
have	VBP	have
a	DT	a
nightmare	NN	nightmare
,	,	,
"	``	"
when	WRB	when
he	PP	he
inspired	VBD	inspire
the	DT	the
civil	JJ	civil
rights	NNS	right
movements	NNS	movement
.	SENT	.
He	PP	he
said	VBD	say
,	,	,
"	``	"
I	PP	I
have	VBP	have
a	DT	a
dream	NN	dream
.	SENT	.
"	``	"
And	CC	and
I	PP	I
have	VBP	have
a	DT	a
dream	NN	dream
.	SENT	.
I	PP	I
have	VBP	have
a	DT	a
dream	NN	dream
that	IN	that
we	PP	we
can	MD	can
stop	VB	stop
thinking	VBG	think
that	IN	that
the	DT	the
future	NN	future
will	MD	will
be	VB	be
a	DT	a
nightmare	NN	nightmare
,	,	,
and	CC	and
this	DT	this
is	VBZ	be
going	VBG	go
to	TO	to
be	VB	be
a	DT	a
challenge	NN	challenge
,	,	,
because	RB	because
,	,	,
if	IN	if
you	PP	you
think	VBP	think
of	IN	of
every	DT	every
major	JJ	major
blockbusting	NN	blockbusting
film	NN	film
of	IN	of
recent	JJ	recent
times	NNS	time
,	,	,
nearly	RB	nearly
all	DT	all
of	IN	of
its	PP$	its
visions	NNS	vision
for	IN	for
humanity	NN	humanity
are	VBP	be
apocalyptic	JJ	apocalyptic
.	SENT	.
I	PP	I
think	VBP	think
this	DT	this
film	NN	film
is	VBZ	be
one	CD	one
of	IN	of
the	DT	the
hardest	JJS	hard
watches	NNS	watch
of	IN	of
modern	JJ	modern
times	NNS	time
,	,	,
"	''	"
The	DT	the
Road	NP	Road
.	SENT	.
"	``	"
It	PP	it
'	POS	'
s	NN	S
a	DT	a
beautiful	JJ	beautiful
piece	NN	piece
of	IN	of
filmmaking	VBG	filmmak
,	,	,
but	CC	but
everything	NN	everything
is	VBZ	be
desolate	JJ	desolate
,	,	,
everything	NN	everything
is	VBZ	be
dead	JJ	dead
.	SENT	.
And	CC	and
just	RB	just
a	DT	a
father	NN	father
and	CC	and
son	NN	son
trying	VBG	try
to	TO	to
survive	VB	survive
,	,	,
walking	VBG	walk
along	IN	along
the	DT	the
road	NN	road
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
the	DT	the
environmental	JJ	environmental
movement	NN	movement
of	IN	of
which	WDT	which
I	PP	I
am	VBP	be
a	DT	a
part	NN	part
of	IN	of
has	VBZ	have
been	VBN	be
complicit	JJ	complicit
in	IN	in
creating	VBG	create
this	DT	this
vision	NN	vision
of	IN	of
the	DT	the
future	NN	future
.	SENT	.
For	IN	for
too	RB	too
long	JJ	long
,	,	,
we	PP	we
have	VBP	have
peddled	VBN	peddle
a	DT	a
nightmarish	JJ	nightmarish
vision	NN	vision
of	IN	of
what	WP	what
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
happen	VB	happen
.	SENT	.
We	PP	we
have	VBP	have
focused	VBN	focus
on	IN	on
the	DT	the
worst-case	JJ	worst-case
scenario	NN	scenario
.	SENT	.
We	PP	we
have	VBP	have
focused	VBN	focus
on	IN	on
the	DT	the
problems	NNS	problem
.	SENT	.
And	CC	and
we	PP	we
have	VBP	have
not	RB	not
thought	VBN	think
enough	RB	enough
about	IN	about
the	DT	the
solutions	NNS	solution
.	SENT	.
We	PP	we
'	POS	'
ve	NN	ve
used	VBD	use
fear	NN	fear
,	,	,
if	IN	if
you	PP	you
like	VBP	like
,	,	,
to	TO	to
grab	VB	grab
people	NNS	people
'	POS	'
s	NN	S
attention	NN	attention
.	SENT	.
And	CC	and
any	DT	any
psychologist	NN	psychologist
will	MD	will
tell	VB	tell
you	PP	you
that	DT	that
fear	NN	fear
in	IN	in
the	DT	the
organism	NN	organism
is	VBZ	be
linked	VBN	link
to	TO	to
flight	NN	flight
mechanism	NN	mechanism
.	SENT	.
It	PP	it
'	POS	'
s	JJ	<unknown>
part	NN	part
of	IN	of
the	DT	the
fight	NN	fight
and	CC	and
flight	NN	flight
mechanism	NN	mechanism
,	,	,
that	IN	that
when	WRB	when
an	DT	an
animal	NN	animal
is	VBZ	be
frightened	VBN	frighten
—	:	-
think	VBP	think
of	IN	of
a	DT	a
deer	NN	deer
.	SENT	.
A	DT	a
deer	NN	deer
freezes	VBZ	freeze
very	RB	very
,	,	,
very	RB	very
still	RB	still
,	,	,
poised	VBN	poise
to	TO	to
run	VB	run
away	RB	away
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
that	DT	that
'	''	'
s	NNS	<unknown>
what	WP	what
we	PP	we
'	''	'
re	IN	re
doing	VBG	do
when	WRB	when
we	PP	we
'	POS	'
re	NN	re
asking	VBG	ask
people	NNS	people
to	TO	to
engage	VB	engage
with	IN	with
our	PP$	our
agenda	NN	agenda
around	IN	around
environmental	JJ	environmental
degradation	NN	degradation
and	CC	and
climate	NN	climate
change	NN	change
.	SENT	.
People	NNS	people
are	VBP	be
freezing	VBG	freeze
and	CC	and
running	VBG	run
away	RB	away
because	IN	because
we	PP	we
'	POS	'
re	NN	re
using	VBG	use
fear	NN	fear
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
the	DT	the
environmental	JJ	environmental
movement	NN	movement
