Ladies	NNS	lady
and	CC	and
gentlemen	NNS	gentleman
,	,	,
at	IN	at
TED	VB	ted
we	PP	we
talk	VB	talk
a	DT	a
lot	NN	lot
about	IN	about
leadership	NN	leadership
and	CC	and
how	WRB	how
to	TO	to
make	VB	make
a	DT	a
movement	NN	movement
.	SENT	.
So	RB	so
let	VB	let
'	''	'
s	NNS	<unknown>
watch	VBP	watch
a	DT	a
movement	NN	movement
happen	VBP	happen
,	,	,
start	VBP	start
to	TO	to
finish	VB	finish
,	,	,
in	IN	in
under	IN	under
three	CD	three
minutes	NNS	minute
and	CC	and
dissect	VB	dissect
some	DT	some
lessons	NNS	lesson
from	IN	from
it	PP	it
.	SENT	.
First	RB	first
,	,	,
of	IN	of
course	NN	course
you	PP	you
know	VBP	know
,	,	,
a	DT	a
leader	NN	leader
needs	VBZ	need
the	DT	the
guts	NNS	gut
to	TO	to
stand	VB	stand
out	RP	out
and	CC	and
be	VB	be
ridiculed	VBN	ridicule
.	SENT	.
What	WP	what
he	PP	he
'	POS	'
s	NN	S
doing	VBG	do
is	VBZ	be
so	RB	so
easy	JJ	easy
to	TO	to
follow	VB	follow
.	SENT	.
Here	RB	here
'	''	'
s	VBG	<unknown>
his	PP$	his
first	JJ	first
follower	NN	follower
with	IN	with
a	DT	a
crucial	JJ	crucial
role	NN	role
;	:	;
he	PP	he
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
show	VB	show
everyone	NN	everyone
else	RB	else
how	WRB	how
to	TO	to
follow	VB	follow
.	SENT	.
Now	RB	now
,	,	,
notice	VBP	notice
that	IN	that
the	DT	the
leader	NN	leader
embraces	VBZ	embrace
him	PP	him
as	IN	as
an	DT	an
equal	JJ	equal
.	SENT	.
Now	RB	now
it	PP	it
'	POS	'
s	NN	S
not	RB	not
about	IN	about
the	DT	the
leader	NN	leader
anymore	RB	anymore
;	:	;
it	PP	it
'	POS	'
s	NN	S
about	IN	about
them	PP	them
,	,	,
plural	JJ	plural
.	SENT	.
Now	RB	now
,	,	,
there	EX	there
he	PP	he
is	VBZ	be
calling	VBG	call
to	TO	to
his	PP$	his
friends	NNS	friend
.	SENT	.
Now	RB	now
,	,	,
if	IN	if
you	PP	you
notice	VBP	notice
that	IN	that
the	DT	the
first	JJ	first
follower	NN	follower
is	VBZ	be
actually	RB	actually
an	DT	an
underestimated	VBN	underestimate
form	NN	form
of	IN	of
leadership	NN	leadership
in	IN	in
itself	PP	itself
.	SENT	.
