Let	NP	Let
'	POS	'
s	NNS	<unknown>
pretend	VBP	pretend
right	RB	right
here	RB	here
we	PP	we
have	VBP	have
a	DT	a
machine	NN	machine
.	SENT	.
A	DT	a
big	JJ	big
machine	NN	machine
,	,	,
a	DT	a
cool	JJ	cool
,	,	,
TED-ish	JJ	<unknown>
machine	NN	machine
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
time	NN	time
machine	NN	machine
.	SENT	.
And	CC	and
everyone	NN	everyone
in	IN	in
this	DT	this
room	NN	room
has	VBZ	have
to	TO	to
get	VB	get
into	IN	into
it	PP	it
.	SENT	.
And	CC	and
you	PP	you
can	MD	can
go	VB	go
backwards	RB	backwards
,	,	,
you	PP	you
can	MD	can
go	VB	go
forwards	RB	forwards
;	:	;
you	PP	you
cannot	MD	can
stay	VB	stay
where	WRB	where
you	PP	you
are	VBP	be
.	SENT	.
And	CC	and
I	PP	I
wonder	VBP	wonder
what	WP	what
you	PP	you
'	POS	'
d	NN	d
choose	VB	choose
,	,	,
because	IN	because
I	PP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
asking	VBG	ask
my	PP$	my
friends	NNS	friend
this	DT	this
question	NN	question
a	DT	a
lot	NN	lot
lately	RB	lately
and	CC	and
they	PP	they
all	RB	all
want	VBP	want
to	TO	to
go	VB	go
back	RB	back
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
.	SENT	.
They	PP	they
want	VBP	want
to	TO	to
go	VB	go
back	RB	back
before	IN	before
there	EX	there
were	VBD	be
automobiles	NNS	automobile
or	CC	or
Twitter	NN	twitter
or	CC	or
"	``	"
American	NP	American
Idol	NP	Idol
.	SENT	.
"	``	"
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
convinced	VBD	convince
that	IN	that
there	EX	there
'	''	'
s	VBG	<unknown>
some	DT	some
sort	NN	sort
of	IN	of
pull	NN	pull
to	TO	to
nostalgia	NN	nostalgia
,	,	,
to	TO	to
wishful	JJ	wishful
thinking	NN	thinking
.	SENT	.
And	CC	and
I	PP	I
understand	VBP	understand
that	RB	that
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
not	RB	not
part	NN	part
of	IN	of
that	DT	that
crowd	NN	crowd
,	,	,
I	PP	I
have	VBP	have
to	TO	to
say	VB	say
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
want	VBP	want
to	TO	to
go	VB	go
back	RB	back
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
not	RB	not
because	IN	because
I	PP	I
'	POS	'
m	NN	m
adventurous	JJ	adventurous
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
because	IN	because
possibilities	NNS	possibility
on	IN	on
this	DT	this
planet	NN	planet
,	,	,
they	PP	they
don	VBP	don
'	''	'
t	NN	t
go	VB	go
back	RB	back
,	,	,
they	PP	they
go	VBP	go
forward	RB	forward
.	SENT	.
So	RB	so
I	PP	I
want	VBP	want
to	TO	to
get	VB	get
in	IN	in
the	DT	the
machine	NN	machine
,	,	,
and	CC	and
I	PP	I
want	VBP	want
to	TO	to
go	VB	go
forward	RB	forward
.	SENT	.
This	DT	this
is	VBZ	be
the	DT	the
greatest	JJS	great
time	NN	time
there	EX	there
'	''	'
s	RB	<unknown>
ever	RB	ever
been	VBN	be
on	IN	on
this	DT	this
planet	NN	planet
by	IN	by
any	DT	any
measure	NN	measure
that	IN	that
you	PP	you
wish	VBP	wish
to	TO	to
choose	VB	choose
:	:	:
health	NN	health
,	,	,
wealth	NN	wealth
,	,	,
mobility	NN	mobility
,	,	,
opportunity	NN	opportunity
,	,	,
declining	VBG	decline
rates	NNS	rate
of	IN	of
disease	NN	disease
.	SENT	.
.	SENT	.
.	SENT	.
There	EX	there
'	''	'
s	RB	<unknown>
never	RB	never
been	VBN	be
a	DT	a
time	NN	time
like	IN	like
this	DT	this
.	SENT	.
My	PP$	my
great-	NN	<unknown>
grandparents	NNS	grandparent
died	VBD	die
,	,	,
all	RB	all
of	IN	of
them	PP	them
,	,	,
by	IN	by
the	DT	the
time	NN	time
they	PP	they
were	VBD	be
60	CD	@card@
.	SENT	.
My	PP$	my
grandparents	NNS	grandparent
pushed	VBD	push
that	DT	that
number	NN	number
to	TO	to
70	CD	@card@
.	SENT	.
My	PP$	my
parents	NNS	parent
are	VBP	be
closing	VBG	close
in	IN	in
on	IN	on
80	CD	@card@
.	SENT	.
So	RB	so
there	RB	there
better	RBR	well
be	VB	be
a	DT	a
nine	CD	nine
at	IN	at
the	DT	the
beginning	NN	beginning
of	IN	of
my	PP$	my
death	NN	death
number	NN	number
.	SENT	.
But	CC	but
it	PP	it
'	POS	'
s	NN	S
not	RB	not
even	RB	even
about	IN	about
people	NNS	people
like	IN	like
us	PP	us
,	,	,
because	IN	because
this	DT	this
is	VBZ	be
a	DT	a
bigger	JJR	big
deal	NN	deal
than	IN	than
that	DT	that
.	SENT	.
A	DT	a
kid	NN	kid
born	VBN	bear
in	IN	in
New	NP	New
Delhi	NP	Delhi
today	NN	today
can	MD	can
expect	VB	expect
to	TO	to
live	VB	live
as	RB	as
long	RB	long
as	IN	as
the	DT	the
richest	JJS	rich
man	NN	man
in	IN	in
the	DT	the
world	NN	world
did	VBD	do
100	CD	@card@
years	NNS	year
ago	RB	ago
.	SENT	.
Think	VB	think
about	RB	about
that	WDT	that
,	,	,
it	PP	it
'	POS	'
s	NN	S
an	DT	an
incredible	JJ	incredible
fact	NN	fact
.	SENT	.
And	CC	and
why	WRB	why
is	VBZ	be
it	PP	it
true	JJ	true
?	SENT	?
Smallpox	NN	smallpox
.	SENT	.
Smallpox	NN	smallpox
killed	VBD	kill
billions	NNS	billion
of	IN	of
people	NNS	people
on	IN	on
this	DT	this
planet	NN	planet
.	SENT	.
It	PP	it
reshaped	VBD	reshape
the	DT	the
demography	NN	demography
of	IN	of
the	DT	the
globe	NN	globe
in	IN	in
a	DT	a
way	NN	way
that	IN	that
no	DT	no
war	NN	war
ever	RB	ever
has	VBZ	have
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
gone	VBN	go
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
vanished	VBD	vanish
.	SENT	.
We	PP	we
vanquished	VBD	vanquish
it	PP	it
.	SENT	.
Puff	NN	puff
.	SENT	.
In	IN	in
the	DT	the
rich	JJ	rich
world	NN	world
,	,	,
diseases	NNS	disease
that	WDT	that
threatened	VBD	threaten
millions	NNS	million
of	IN	of
us	PP	us
just	RB	just
a	DT	a
generation	NN	generation
ago	RB	ago
no	RB	no
longer	RBR	longer
exist	VB	exist
,	,	,
hardly	RB	hardly
.	SENT	.
Diphtheria	NN	diphtheria
,	,	,
rubella	NN	rubella
,	,	,
polio	NN	polio
.	SENT	.
.	SENT	.
.	SENT	.
does	VBZ	do
anyone	NN	anyone
even	RB	even
know	VBP	know
what	WP	what
those	DT	those
things	NNS	thing
are	VBP	be
?	SENT	?
Vaccines	NNS	vaccine
,	,	,
modern	JJ	modern
medicine	NN	medicine
,	,	,
our	PP$	our
ability	NN	ability
to	TO	to
feed	VB	feed
billions	NNS	billion
of	IN	of
people	NNS	people
,	,	,
those	DT	those
are	VBP	be
triumphs	NNS	triumph
of	IN	of
the	DT	the
scientific	JJ	scientific
method	NN	method
.	SENT	.
And	CC	and
to	TO	to
my	PP$	my
mind	NN	mind
,	,	,
the	DT	the
scientific	JJ	scientific
method	NN	method
—	:	-
trying	VBG	try
stuff	NN	stuff
out	RP	out
,	,	,
seeing	VBG	see
if	IN	if
it	PP	it
works	VBZ	work
,	,	,
changing	VBG	change
it	PP	it
when	WRB	when
it	PP	it
doesn	NP	<unknown>
'	POS	'
t	NN	t
—	:	-
is	VBZ	be
one	CD	one
of	IN	of
the	DT	the
great	JJ	great
accomplishments	NNS	accomplishment
of	IN	of
humanity	NN	humanity
.	SENT	.
So	IN	so
that	DT	that
'	''	'
s	VBG	<unknown>
the	DT	the
good	JJ	good
news	NN	news
.	SENT	.
Unfortunately	RB	unfortunately
,	,	,
that	IN	that
'	POS	'
s	VBG	<unknown>
all	PDT	all
the	DT	the
good	JJ	good
news	NN	news
because	IN	because
there	EX	there
are	VBP	be
some	DT	some
other	JJ	other
problems	NNS	problem
,	,	,
and	CC	and
they	PP	they
'	POS	'
ve	RB	<unknown>
been	VBN	be
mentioned	VBN	mention
many	JJ	many
times	NNS	time
.	SENT	.
And	CC	and
one	CD	one
of	IN	of
them	PP	them
is	VBZ	be
that	IN	that
despite	IN	despite
all	PDT	all
our	PP$	our
accomplishments	NNS	accomplishment
,	,	,
a	DT	a
billion	NN	billion
people	NNS	people
go	VBP	go
to	TO	to
bed	VB	bed
hungry	JJ	hungry
in	IN	in
this	DT	this
world	NN	world
every	DT	every
day	NN	day
.	SENT	.
That	DT	that
number	NN	number
'	POS	'
s	NN	S
rising	VBG	rise
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
rising	VBG	rise
really	RB	really
rapidly	RB	rapidly
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
disgraceful	JJ	disgraceful
.	SENT	.
And	CC	and
not	RB	not
only	RB	only
that	IN	that
,	,	,
we	PP	we
'	POS	'
ve	NN	ve
used	VBD	use
our	PP$	our
imagination	NN	imagination
to	TO	to
thoroughly	RB	thoroughly
trash	VB	trash
this	DT	this
globe	NN	globe
.	SENT	.
Potable	JJ	potable
water	NN	water
,	,	,
arable	JJ	arable
land	NN	land
,	,	,
rainforests	NNS	rainforest
,	,	,
oil	NN	oil
,	,	,
gas	NN	gas
:	:	:
they	PP	they
'	POS	'
re	NN	re
going	VBG	go
away	RP	away
,	,	,
and	CC	and
they	PP	they
'	POS	'
re	NN	re
going	VBG	go
away	RB	away
soon	RB	soon
,	,	,
and	CC	and
unless	IN	unless
we	PP	we
innovate	VBP	innovate
our	PP$	our
way	NN	way
out	RP	out
of	IN	of
this	DT	this
mess	NN	mess
,	,	,
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
away	RB	away
too	RB	too
.	SENT	.
So	IN	so
the	DT	the
question	NN	question
is	VBZ	be
:	:	:
Can	MD	can
we	PP	we
do	VB	do
that	DT	that
?	SENT	?
And	CC	and
I	PP	I
think	VBP	think
we	PP	we
can	MD	can
.	SENT	.
I	PP	I
think	VBP	think
it	PP	it
'	''	'
s	NNS	<unknown>
clear	VBP	clear
that	IN	that
we	PP	we
can	MD	can
make	VB	make
food	NN	food
that	WDT	that
will	MD	will
feed	VB	feed
billions	NNS	billion
of	IN	of
people	NNS	people
without	IN	without
raping	VBG	rape
the	DT	the
land	NN	land
that	IN	that
they	PP	they
live	VBP	live
on	IN	on
.	SENT	.
I	PP	I
think	VBP	think
we	PP	we
can	MD	can
power	VB	power
this	DT	this
world	NN	world
with	IN	with
energy	NN	energy
that	IN	that
doesn	NP	<unknown>
'	POS	'
t	NN	t
also	RB	also
destroy	VB	destroy
it	PP	it
.	SENT	.
I	PP	I
really	RB	really
do	VBP	do
believe	VBP	believe
that	IN	that
,	,	,
and	CC	and
,	,	,
no	UH	no
,	,	,
it	PP	it
ain	NN	ain
'	POS	'
t	NN	t
wishful	JJ	wishful
thinking	NN	thinking
.	SENT	.
But	CC	but
here	RB	here
'	''	'
s	VBG	<unknown>
the	DT	the
thing	NN	thing
that	WDT	that
keeps	VBZ	keep
me	PP	me
up	RP	up
at	IN	at
night	NN	night
—	:	-
one	CD	one
of	IN	of
the	DT	the
things	NNS	thing
that	WDT	that
keeps	VBZ	keep
me	PP	me
up	RP	up
at	IN	at
night	NN	night
:	:	:
We	PP	we
'	POS	'
ve	NN	ve
never	RB	never
needed	VBN	need
progress	NN	progress
in	IN	in
science	NN	science
more	RBR	more
than	IN	than
we	PP	we
need	VBP	need
it	PP	it
right	RB	right
now	RB	now
.	SENT	.
Never	RB	never
.	SENT	.
And	CC	and
we	PP	we
'	POS	'
ve	NN	ve
also	RB	also
never	RB	never
been	VBN	be
in	IN	in
a	DT	a
position	NN	position
to	TO	to
deploy	VB	deploy
it	PP	it
properly	RB	properly
in	IN	in
the	DT	the
way	NN	way
that	IN	that
we	PP	we
can	MD	can
today	NN	today
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
on	IN	on
the	DT	the
verge	NN	verge
of	IN	of
amazing	JJ	amazing
,	,	,
amazing	JJ	amazing
events	NNS	event
in	IN	in
many	JJ	many
fields	NNS	field
,	,	,
and	CC	and
yet	RB	yet
I	PP	I
actually	RB	actually
think	VBP	think
we	PP	we
'	''	'
d	SYM	d
have	VB	have
to	TO	to
go	VB	go
back	JJ	back
hundreds	NNS	hundred
,	,	,
300	CD	@card@
years	NNS	year
,	,	,
before	IN	before
the	DT	the
Enlightenment	NN	enlightenment
,	,	,
to	TO	to
find	VB	find
a	DT	a
time	NN	time
when	WRB	when
we	PP	we
battled	VBD	battle
progress	NN	progress
