Sometimes	RB	sometimes
I	PP	I
go	VB	go
browsing	NN	browsing
[	SYM	[
through	RB	through
]	SYM	]
a	DT	a
very	RB	very
old	JJ	old
magazine	NN	magazine
.	SENT	.
I	PP	I
found	VBD	find
this	DT	this
observation	NN	observation
test	NN	test
about	IN	about
the	DT	the
story	NN	story
of	IN	of
the	DT	the
ark	NN	ark
.	SENT	.
And	CC	and
the	DT	the
artist	NN	artist
that	WDT	that
drew	VBD	draw
this	DT	this
observation	NN	observation
test	NN	test
did	VBD	do
some	DT	some
errors	NNS	error
,	,	,
had	VBD	have
some	DT	some
mistakes	NNS	mistake
â	NP	<unknown>
there	EX	there
are	VBP	be
more	JJR	more
or	CC	or
less	JJR	less
12	CD	@card@
mistakes	NNS	mistake
.	SENT	.
Some	DT	some
of	IN	of
them	PP	them
are	VBP	be
very	RB	very
easy	JJ	easy
.	SENT	.
There	EX	there
is	VBZ	be
a	DT	a
funnel	NN	funnel
,	,	,
an	DT	an
aerial	JJ	aerial
part	NN	part
,	,	,
a	DT	a
lamp	NN	lamp
and	CC	and
clockwork	NN	clockwork
key	NN	key
on	IN	on
the	DT	the
ark	NN	ark
.	SENT	.
Some	DT	some
of	IN	of
them	PP	them
are	VBP	be
about	RB	about
the	DT	the
animals	NNS	animal
,	,	,
the	DT	the
number	NN	number
.	SENT	.
But	CC	but
there	EX	there
is	VBZ	be
a	DT	a
much	RB	much
more	RBR	more
fundamental	JJ	fundamental
mistake	NN	mistake
in	IN	in
the	DT	the
overall	JJ	overall
story	NN	story
of	IN	of
the	DT	the
ark	NN	ark
that	RB	that
'	POS	'
s	NN	S
not	RB	not
reported	VBD	report
here	RB	here
.	SENT	.
And	CC	and
this	DT	this
problem	NN	problem
is	VBZ	be
:	:	:
where	WRB	where
are	VBP	be
the	DT	the
plants	NNS	plant
?	SENT	?
So	RB	so
now	RB	now
we	PP	we
have	VB	have
God	NP	God
that	WDT	that
is	VBZ	be
going	VBG	go
to	TO	to
submerge	VB	submerge
Earth	NN	earth
permanently	RB	permanently
or	CC	or
at	IN	at
least	JJS	least
for	IN	for
a	DT	a
very	RB	very
long	JJ	long
period	NN	period
,	,	,
and	CC	and
no	DT	no
one	CD	one
is	VBZ	be
taking	VBG	take
care	NN	care
of	IN	of
plants	NNS	plant
.	SENT	.
Noah	NP	Noah
needed	VBD	need
to	TO	to
take	VB	take
two	CD	two
of	IN	of
every	DT	every
kind	NN	kind
of	IN	of
bird	NN	bird
,	,	,
of	IN	of
every	DT	every
kind	NN	kind
of	IN	of
animal	NN	animal
,	,	,
of	IN	of
every	DT	every
kind	NN	kind
of	IN	of
creature	NN	creature
that	IN	that
moves	NNS	move
,	,	,
but	CC	but
no	DT	no
mention	NN	mention
about	IN	about
plants	NNS	plant
.	SENT	.
Why	WRB	why
?	SENT	?
In	IN	in
another	DT	another
part	NN	part
of	IN	of
the	DT	the
same	JJ	same
story	NN	story
,	,	,
all	PDT	all
the	DT	the
living	NN	living
creatures	NNS	creature
are	VBP	be
just	RB	just
the	DT	the
living	VBG	live
creatures	NNS	creature
that	WDT	that
came	VBD	come
out	RP	out
from	IN	from
the	DT	the
ark	NN	ark
,	,	,
so	RB	so
birds	NNS	bird
,	,	,
livestock	NN	livestock
and	CC	and
wild	JJ	wild
animals	NNS	animal
.	SENT	.
Plants	NNS	plant
are	VBP	be
not	RB	not
living	VBG	live
creatures	NNS	creature
â	NP	<unknown>
this	DT	this
is	VBZ	be
the	DT	the
point	NN	point
.	SENT	.
That	DT	that
is	VBZ	be
a	DT	a
point	NN	point
that	WDT	that
is	VBZ	be
not	RB	not
coming	VBG	come
out	RP	out
from	IN	from
the	DT	the
Bible	NN	Bible
,	,	,
but	CC	but
it	PP	it
'	POS	'
s	JJ	<unknown>
something	NN	something
that	IN	that
really	RB	really
accompanied	VBN	accompany
humanity	NN	humanity
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	<unknown>
have	VBP	have
a	DT	a
look	NN	look
at	IN	at
this	DT	this
nice	JJ	nice
code	NN	code
that	WDT	that
is	VBZ	be
coming	VBG	come
from	IN	from
a	DT	a
Renaissance	NP	Renaissance
book	NN	book
.	SENT	.
Here	RB	here
we	PP	we
have	VBP	have
the	DT	the
description	NN	description
of	IN	of
the	DT	the
order	NN	order
of	IN	of
nature	NN	nature
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
a	DT	a
nice	JJ	nice
description	NN	description
because	IN	because
it	PP	it
'	POS	'
s	NNS	<unknown>
starting	VBG	start
from	IN	from
left	JJ	left
â	NP	<unknown>
you	PP	you
have	VBP	have
the	DT	the
stones	NNS	stone
â	NP	<unknown>
immediately	RB	immediately
