Last	JJ	last
year	NN	year
here	RB	here
at	IN	at
TED	VB	ted
I	PP	I
asked	VBD	ask
you	PP	you
to	TO	to
give	VB	give
me	PP	me
your	PP$	your
data	NNS	datum
,	,	,
to	TO	to
put	VB	put
your	PP$	your
data	NNS	datum
on	IN	on
the	DT	the
web	NN	web
,	,	,
on	IN	on
the	DT	the
basis	NN	basis
that	IN	that
if	IN	if
people	NNS	people
put	VBD	put
data	NNS	datum
onto	IN	onto
the	DT	the
web	NN	web
â	NP	<unknown>
government	NN	government
data	NNS	datum
,	,	,
scientific	JJ	scientific
data	NNS	datum
,	,	,
community	NN	community
data	NNS	datum
,	,	,
whatever	WDT	whatever
it	PP	it
is	VBZ	be
â	NP	<unknown>
it	PP	it
will	MD	will
be	VB	be
used	VBN	use
by	IN	by
other	JJ	other
people	NNS	people
to	TO	to
do	VB	do
wonderful	JJ	wonderful
things	NNS	thing
,	,	,
in	IN	in
ways	NNS	way
that	IN	that
they	PP	they
never	RB	never
could	MD	could
have	VB	have
imagined	VBN	imagine
.	SENT	.
So	RB	so
,	,	,
today	NN	today
I	NP	I
'	POS	'
m	NN	m
back	RB	back
just	RB	just
to	TO	to
show	VB	show
you	PP	you
a	DT	a
few	JJ	few
things	NNS	thing
,	,	,
to	TO	to
show	VB	show
you	PP	you
,	,	,
in	IN	in
fact	NN	fact
,	,	,
there	EX	there
is	VBZ	be
an	DT	an
open	JJ	open
data	NN	data
movement	NN	movement
afoot	RB	afoot
,	,	,
now	RB	now
,	,	,
around	IN	around
the	DT	the
world	NN	world
.	SENT	.
The	DT	the
cry	NN	cry
of	IN	of
"	``	"
Raw	NP	Raw
data	NNS	datum
now	RB	now
!	SENT	!
"	''	"
which	WDT	which
I	PP	I
made	VBD	make
people	NNS	people
make	VB	make
in	IN	in
the	DT	the
auditorium	NN	auditorium
,	,	,
was	VBD	be
heard	VBN	hear
around	IN	around
the	DT	the
world	NN	world
.	SENT	.
So	RB	so
,	,	,
let	VBP	let
'	POS	'
s	NNS	<unknown>
roll	VBP	roll
the	DT	the
video	NN	video
.	SENT	.
A	DT	a
classic	JJ	classic
story	NN	story
,	,	,
the	DT	the
first	JJ	first
one	CD	one
which	WDT	which
lots	NNS	lot
of	IN	of
people	NNS	people
picked	VBN	pick
up	RP	up
,	,	,
was	VBD	be
when	WRB	when
in	IN	in
March	NP	March
â	NP	<unknown>
on	IN	on
March	NP	March
10th	JJ	10th
in	IN	in
fact	NN	fact
,	,	,
soon	RB	soon
after	IN	after
TED	VB	ted
â	NP	<unknown>
Paul	NP	Paul
Clarke	NP	Clarke
,	,	,
in	IN	in
the	DT	the
U	NP	U
.	SENT	.
K	NP	K
.	SENT	.
government	NN	government
,	,	,
blogged	VBD	blog
,	,	,
"	``	"
Oh	UH	oh
,	,	,
I	PP	I
'	POS	'
ve	NN	ve
just	RB	just
got	VBD	get
some	DT	some
raw	JJ	raw
data	NNS	datum
.	SENT	.
Here	RB	here
it	PP	it
is	VBZ	be
,	,	,
it	PP	it
'	POS	'
s	NN	S
about	IN	about
bicycle	NN	bicycle
accidents	NNS	accident
.	SENT	.
"	''	"
Two	CD	two
days	NNS	day
it	PP	it
took	VBD	take
the	DT	the
Times	NP	Times
Online	JJ	online
to	TO	to
make	VB	make
a	DT	a
map	NN	map
,	,	,
a	DT	a
mashable	JJ	<unknown>
map	NN	map
â	NP	<unknown>
we	PP	we
call	VBP	call
these	DT	these
things	NNS	thing
mash-ups	NNS	<unknown>
â	NP	<unknown>
a	DT	a
mashed-up	JJ	<unknown>
user	NN	user
interface	NN	interface
that	WDT	that
allows	VBZ	allow
you	PP	you
to	TO	to
go	VB	go
in	IN	in
there	RB	there
and	CC	and
have	VB	have
a	DT	a
look	NN	look
and	CC	and
find	VB	find
out	RP	out
whether	IN	whether
your	PP$	your
bicycle	NN	bicycle
route	NN	route
to	TO	to
work	VB	work
was	VBD	be
affected	VBN	affect
.	SENT	.
Here	RB	here
'	''	'
s	VBG	<unknown>
more	JJR	more
data	NNS	datum
,	,	,
traffic	NN	traffic
survey	NN	survey
data	NNS	datum
,	,	,
again	RB	again
,	,	,
put	VBD	put
out	RP	out
by	IN	by
the	DT	the
U	NP	U
.	SENT	.
K	NP	K
.	SENT	.
government	NN	government
,	,	,
and	CC	and
because	IN	because
they	PP	they
put	VBP	put
it	PP	it
up	RP	up
using	VBG	use
the	DT	the
Linked	VBN	link
Data	NP	Data
