Lindsay	NP	Lindsay
Levin	NP	Levin
:	:	:
We	PP	we
'	POS	'
ve	NN	ve
just	RB	just
heard	VBN	hear
from	IN	from
Maersk	NP	Maersk
,	,	,
just	RB	just
one	CD	one
of	IN	of
the	DT	the
players	NNS	player
that	WDT	that
you	PP	you
deal	VBP	deal
with	IN	with
.	SENT	.
Why	WRB	why
is	VBZ	be
a	DT	a
center	NN	center
like	IN	like
yours	PP	yours
needed	VBD	need
?	SENT	?
Bo	NP	Bo
Cerup-Simonsen	NP	Cerup-Simonsen
:	:	:
Because	IN	because
we	PP	we
'	POS	'
re	NN	re
looking	VBG	look
at	IN	at
a	DT	a
massive	JJ	massive
systemic	JJ	systemic
change	NN	change
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
huge	JJ	huge
,	,	,
and	CC	and
it	PP	it
needs	VBZ	need
to	TO	to
happen	VB	happen
fast	RB	fast
.	SENT	.
No	DT	no
country	NN	country
,	,	,
no	DT	no
company	NN	company
,	,	,
no	DT	no
matter	NN	matter
how	WRB	how
large	JJ	large
and	CC	and
powerful	JJ	powerful
,	,	,
can	MD	can
do	VB	do
this	DT	this
alone	RB	alone
.	SENT	.
So	IN	so
collaboration	NN	collaboration
is	VBZ	be
going	VBG	go
to	TO	to
need	VB	need
to	TO	to
be	VB	be
a	DT	a
part	NN	part
of	IN	of
the	DT	the
solution	NN	solution
.	SENT	.
And	CC	and
our	PP$	our
center	NN	center
is	VBZ	be
all	RB	all
about	RB	about
that	RB	that
.	SENT	.
It	PP	it
is	VBZ	be
all	DT	all
about	RB	about
collaborating	VBG	collaborate
across	IN	across
the	DT	the
ecosystem	NN	ecosystem
,	,	,
across	IN	across
the	DT	the
value	NN	value
chain	NN	chain
in	IN	in
order	NN	order
to	TO	to
accelerate	VB	accelerate
the	DT	the
transition	NN	transition
.	SENT	.
What	WP	what
Maersk	NP	Maersk
is	VBZ	be
doing	VBG	do
is	VBZ	be
absolutely	RB	absolutely
exemplary	JJ	exemplary
,	,	,
but	CC	but
few	JJ	few
companies	NNS	company
have	VBP	have
the	DT	the
resources	NNS	resource
and	CC	and
have	VBP	have
the	DT	the
courage	NN	courage
to	TO	to
do	VB	do
what	WP	what
Maersk	NP	Maersk
is	VBZ	be
doing	VBG	do
.	SENT	.
So	RB	so
you	PP	you
can	MD	can
say	VB	say
it	PP	it
'	POS	'
s	NN	S
moving	VBG	move
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
scaling	VBG	scale
too	RB	too
slowly	RB	slowly
,	,	,
when	WRB	when
you	PP	you
look	VBP	look
at	IN	at
the	DT	the
industry-wide	JJ	industry-wide
perspective	NN	perspective
.	SENT	.
So	RB	so
what	WP	what
we	PP	we
really	RB	really
need	VBP	need
to	TO	to
do	VB	do
is	VBZ	be
to	TO	to
turn	VB	turn
those	DT	those
first-mover	NN	first-mover
activities	NNS	activity
,	,	,
those	DT	those
leading	VBG	lead
activities	NNS	activity
,	,	,
into	IN	into
industry-wide	JJ	industry-wide
practices	NNS	practice
.	SENT	.
And	CC	and
so	RB	so
this	DT	this
is	VBZ	be
what	WP	what
we	PP	we
'	POS	'
re	NN	re
doing	VBG	do
in	IN	in
our	PP$	our
center	NN	center
,	,	,
this	DT	this
is	VBZ	be
what	WP	what
we	PP	we
'	POS	'
re	NN	re
aiming	VBG	aim
to	TO	to
do	VB	do
.	SENT	.
And	CC	and
when	WRB	when
the	DT	the
center	NN	center
was	VBD	be
established	VBN	establish
,	,	,
about	RB	about
three	CD	three
years	NNS	year
ago	RB	ago
,	,	,
with	IN	with
a	DT	a
large	JJ	large
philanthropic	JJ	philanthropic
donation	NN	donation
from	IN	from
the	DT	the
A	NP	A
.	SENT	.
P	NN	P
.	SENT	.
Moller	NP	Moller
Foundation	NP	Foundation
,	,	,
