Yordanos	NP	Yordanos
Eyoel	NP	<unknown>
:	:	:
It	PP	it
'	POS	'
s	VBG	<unknown>
my	PP$	my
absolute	JJ	absolute
pleasure	NN	pleasure
to	TO	to
be	VB	be
here	RB	here
with	IN	with
Bret	NP	Bret
.	SENT	.
As	IN	as
we	PP	we
all	RB	all
know	VBP	know
,	,	,
we	PP	we
are	VBP	be
living	VBG	live
in	IN	in
a	DT	a
highly	RB	highly
polarized	VBN	polarize
time	NN	time
where	WRB	where
even	RB	even
the	DT	the
topic	NN	topic
of	IN	of
democracy	NN	democracy
has	VBZ	have
become	VBN	become
a	DT	a
highly	RB	highly
divisive	JJ	divisive
issue	NN	issue
.	SENT	.
I	PP	I
also	RB	also
believe	VBP	believe
that	IN	that
there	EX	there
'	''	'
s	VBG	<unknown>
this	DT	this
pernicious	JJ	pernicious
sentiment	NN	sentiment
,	,	,
both	CC	both
in	IN	in
the	DT	the
US	NP	US
and	CC	and
globally	RB	globally
,	,	,
that	IN	that
democracy	NN	democracy
is	VBZ	be
only	RB	only
functional	JJ	functional
when	WRB	when
we	PP	we
agree	VBP	agree
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
what	WP	what
democracy	NN	democracy
requires	VBZ	require
us	PP	us
is	VBZ	be
to	TO	to
continually	RB	continually
live	VB	live
with	IN	with
our	PP$	our
differences	NNS	difference
and	CC	and
manage	VB	manage
those	DT	those
differences	NNS	difference
for	IN	for
the	DT	the
collective	JJ	collective
good	NN	good
.	SENT	.
We	PP	we
won	VBD	win
'	''	'
t	NN	t
always	RB	always
have	VBP	have
consensus	NN	consensus
,	,	,
but	CC	but
we	PP	we
will	MD	will
always	RB	always
need	VB	need
to	TO	to
productively	RB	productively
manage	VB	manage
our	PP$	our
differences	NNS	difference
.	SENT	.
I	PP	I
also	RB	also
believe	VBP	believe
that	IN	that
in	IN	in
an	DT	an
inclusive	JJ	inclusive
democracy	NN	democracy
,	,	,
we	PP	we
need	VBP	need
systems	NNS	system
and	CC	and
norms	NNS	norm
and	CC	and
a	DT	a
culture	NN	culture
that	WDT	that
supports	VBZ	support
vibrant	JJ	vibrant
,	,	,
multiethnic	JJ	multiethnic
,	,	,
multiracial	JJ	multiracial
,	,	,
multi-religious	JJ	multi-religious
society	NN	society
as	RB	as
well	RB	well
as	IN	as
ideological	JJ	ideological
diversity	NN	diversity
.	SENT	.
Among	IN	among
many	JJ	many
things	NNS	thing
,	,	,
this	DT	this
requires	VBZ	require
us	PP	us
to	TO	to
be	VB	be
adept	JJ	adept
at	IN	at
having	VBG	have
difficult	JJ	difficult
conversations	NNS	conversation
and	CC	and
also	RB	also
to	TO	to
listen	VB	listen
when	WRB	when
we	PP	we
disagree	VBP	disagree
.	SENT	.
So	IN	so
Bret	NP	Bret
and	CC	and
I	PP	I
come	VBP	come
to	TO	to
the	DT	the
stage	NN	stage
with	IN	with
very	RB	very
different	JJ	different
life	NN	life
experiences	NNS	experience
,	,	,
but	CC	but
we	PP	we
also	RB	also
have	VBP	have
a	DT	a
lot	NN	lot
in	IN	in
common	JJ	common
.	SENT	.
We	PP	we
both	CC	both
have	VB	have
lived	VBN	live
in	IN	in
different	JJ	different
cultures	NNS	culture
,	,	,
we	PP	we
'	POS	'
re	NN	re
multilingual	JJ	multilingual
.	SENT	.
And	CC	and
,	,	,
more	RBR	more
salient	JJ	salient
for	IN	for
this	DT	this
conversation	NN	conversation
,	,	,
we	PP	we
both	CC	both
believe	VBP	believe
that	IN	that
we	PP	we
have	VBP	have
a	DT	a
crisis	NN	crisis
of	IN	of
democracy	NN	democracy
,	,	,
but	CC	but
we	PP	we
'	POS	'
re	NN	re
also	RB	also
hopeful	JJ	hopeful
.	SENT	.
We	PP	we
believe	VBP	believe
that	IN	that
we	PP	we
collectively	RB	collectively
,	,	,
not	RB	not
only	RB	only
can	MD	can
defend	VB	defend
democracy	NN	democracy
but	CC	but
also	RB	also
strengthen	VB	strengthen
it	PP	it
to	TO	to
become	VB	become
more	RBR	more
pluralistic	JJ	pluralistic
.	SENT	.
So	RB	so
,	,	,
Bret	NP	Bret
,	,	,
I	NP	I
'	POS	'
m	NN	m
excited	VBN	excite
to	TO	to
be	VB	be
in	IN	in
this	DT	this
conversation	NN	conversation
with	IN	with
you	PP	you
and	CC	and
would	MD	would
love	VB	love
to	TO	to
start	VB	start
with	IN	with
a	DT	a
more	RBR	more
personal	JJ	personal
question	NN	question
.	SENT	.
I	PP	I
know	VBP	know
both	DT	both
of	IN	of
us	PP	us
draw	VBP	draw
inspiration	NN	inspiration
from	IN	from
our	PP$	our
life	NN	life
experiences	NNS	experience
,	,	,
and	CC	and
I	PP	I
know	VBP	know
you	PP	you
'	''	'
re	IN	re
passionate	JJ	passionate
about	IN	about
democracy	NN	democracy
,	,	,
but	CC	but
where	WRB	where
does	VBZ	do
that	IN	that
come	VBN	come
from	IN	from
?	SENT	?
What	WP	what
in	IN	in
your	PP$	your
background	NN	background
makes	VBZ	make
you	PP	you
passionate	JJ	passionate
about	IN	about
democracy	NN	democracy
,	,	,
and	CC	and
why	WRB	why
are	VBP	be
you	PP	you
worried	VBN	worry
?	SENT	?
Bret	NP	Bret
Stephens	NP	Stephens
:	:	:
I	PP	I
think	VBP	think
a	DT	a
lot	NN	lot
has	VBZ	have
to	TO	to
do	VB	do
with	IN	with
my	PP$	my
background	NN	background
.	SENT	.
In	IN	in
1917	CD	@card@
,	,	,
my	PP$	my
great	JJ	great
grandparents	NNS	grandparent
were	VBD	be
living	VBG	live
in	IN	in
Moscow	NP	Moscow
.	SENT	.
And	CC	and
there	EX	there
was	VBD	be
a	DT	a
brief	JJ	brief
experiment	NN	experiment
with	IN	with
democracy	NN	democracy
between	IN	between
March	NP	March
and	CC	and
October	NP	October
of	IN	of
that	DT	that
year	NN	year
.	SENT	.
It	PP	it
ended	VBD	end
badly	RB	badly
.	SENT	.
My	PP$	my
great	JJ	great
grandfather	NN	grandfather
was	VBD	be
arrested	VBN	arrest
and	CC	and
he	PP	he
disappeared	VBD	disappear
,	,	,
and	CC	and
it	PP	it
sent	VBD	send
my	PP$	my
great	JJ	great
grandmother	NN	grandmother
and	CC	and
her	PP$	her
four	CD	four
children	NNS	child
into	IN	into
exile	NN	exile
.	SENT	.
They	PP	they
ended	VBD	end
up	RP	up
in	IN	in
Germany	NP	Germany
up	RB	up
until	IN	until
1933	CD	@card@
,	,	,
when	WRB	when
the	DT	the
rise	NN	rise
of	IN	of
Adolf	NP	Adolf
Hitler	NP	Hitler
sent	VBD	send
them	PP	them
into	IN	into
exile	NN	exile
again	RB	again
.	SENT	.
They	PP	they
were	VBD	be
a	DT	a
Jewish	JJ	Jewish
family	NN	family
.	SENT	.
They	PP	they
went	VBD	go
to	TO	to
Italy	NP	Italy
,	,	,
where	WRB	where
my	PP$	my
mother	NN	mother
was	VBD	be
born	VBN	bear
.	SENT	.
My	PP$	my
mother	NN	mother
was	VBD	be
born	VBN	bear
and	CC	and
spent	VBN	spend
the	DT	the
first	JJ	first
five	CD	five
years	NNS	year
as	IN	as
a	DT	a
hidden	JJ	hidden
child	NN	child
in	IN	in
Nazi-occupied	JJ	Nazi-occupied
Europe	NP	Europe
,	,	,
and	CC	and
then	RB	then
her	PP$	her
next	JJ	next
five	CD	five
years	NNS	year
as	IN	as
a	DT	a
stateless	JJ	stateless
person	NN	person
,	,	,
a	DT	a
person	NN	person
without	IN	without
a	DT	a
passport	NN	passport
.	SENT	.
And	CC	and
it	PP	it
was	VBD	be
only	RB	only
because	IN	because
Harry	NP	Harry
Truman	NP	Truman
pushed	VBD	push
through	IN	through
the	DT	the
Displaced	VBN	displace
Persons	NP	Persons
Act	NP	Act
in	IN	in
the	DT	the
late	JJ	late
1940s	NNS	1940s
that	IN	that
my	PP$	my
mother	NN	mother
was	VBD	be
able	JJ	able
to	TO	to
arrive	VB	arrive
here	RB	here
with	IN	with
seven	CD	seven
dollars	NNS	dollar
as	IN	as
a	DT	a
refugee	NN	refugee
.	SENT	.
So	IN	so
the	DT	the
idea	NN	idea
of	IN	of
the	DT	the
open	JJ	open
society	NN	society
is	VBZ	be
not	RB	not
an	DT	an
abstraction	NN	abstraction
for	IN	for
my	PP$	my
family	NN	family
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
for	IN	for
