What	WP	what
first	RB	first
pops	VBZ	pop
into	IN	into
your	PP$	your
mind	NN	mind
when	WRB	when
you	PP	you
hear	VBP	hear
the	DT	the
word	NN	word
"	``	"
midlife	NN	midlife
"	''	"
?	SENT	?
"	''	"
Crisis	NN	crisis
,	,	,
"	``	"
yes	UH	yes
.	SENT	.
The	DT	the
dreaded	JJ	dreaded
midlife	NN	midlife
crisis	NN	crisis
is	VBZ	be
the	DT	the
butt	NN	butt
of	IN	of
all	DT	all
kinds	NNS	kind
of	IN	of
jokes	NNS	joke
,	,	,
but	CC	but
it	PP	it
'	POS	'
s	NN	S
also	RB	also
a	DT	a
serious	JJ	serious
matter	NN	matter
.	SENT	.
After	IN	after
I	PP	I
lost	VBD	lose
a	DT	a
few	JJ	few
friends	NNS	friend
to	TO	to
midlife	NN	midlife
suicide	NN	suicide
,	,	,
I	PP	I
decided	VBD	decide
to	TO	to
create	VB	create
an	DT	an
alternative	JJ	alternative
narrative	NN	narrative
to	TO	to
the	DT	the
awful	JJ	awful
way	NN	way
we	PP	we
tend	VBP	tend
to	TO	to
think	VB	think
of	IN	of
our	PP$	our
40s	JJ	<unknown>
,	,	,
50s	JJ	<unknown>
and	CC	and
60s	JJ	<unknown>
,	,	,
and	CC	and
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
share	VB	share
that	IN	that
with	IN	with
you	PP	you
over	IN	over
the	DT	the
next	JJ	next
three	CD	three
minutes	NNS	minute
.	SENT	.
Midlife	NN	Midlife
is	VBZ	be
one	CD	one
of	IN	of
the	DT	the
three	CD	three
life	NN	life
stages	NNS	stage
that	WDT	that
sprouted	VBD	sprout
in	IN	in
the	DT	the
20th	JJ	20th
century	NN	century
.	SENT	.
Adolescence	NN	adolescence
didn	NN	<unknown>
'	POS	'
t	NN	t
even	RB	even
exist	VBP	exist
until	IN	until
1904	CD	@card@
,	,	,
when	WRB	when
society	NN	society
realized	VBD	realize
that	IN	that
just	RB	just
because	IN	because
you	PP	you
hit	VBD	hit
puberty	NN	puberty
didn	NN	<unknown>
'	POS	'
t	NN	t
mean	VBP	mean
you	PP	you
were	VBD	be
an	DT	an
adult	NN	adult
.	SENT	.
Retirement	NN	retirement
was	VBD	be
popularized	VBN	popularize
nearly	RB	nearly
a	DT	a
century	NN	century
ago	RB	ago
,	,	,
with	IN	with
pensions	NNS	pension
and	CC	and
social	JJ	social
security	NN	security
,	,	,
and	CC	and
then	RB	then
25	CD	@card@
years	NNS	year
later	RBR	later
,	,	,
with	IN	with
the	DT	the
advent	NN	advent
of	IN	of
AARP	NP	AARP
--	:	--
I	PP	I
hope	VBP	hope
you	PP	you
have	VB	have
your	PP$	your
card	NN	card
--	:	--
and	CC	and
retirement	NN	retirement
communities	NNS	community
.	SENT	.
Those	DT	those
two	CD	two
life	NN	life
stages	NNS	stage
got	VBD	get
a	DT	a
whole	JJ	whole
lot	NN	lot
of	IN	of
love	NN	love
,	,	,
but	CC	but
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
life	NN	life
stage	NN	stage
in	IN	in
the	DT	the
middle	NN	middle
that	IN	that
didn	NP	<unknown>
'	POS	'
t	NN	t
get	VB	get
much	JJ	much
respect	NN	respect
.	SENT	.
Midlife	NN	Midlife
is	VBZ	be
the	DT	the
natural	JJ	natural
outgrowth	NN	outgrowth
of	IN	of
the	DT	the
three	CD	three
decades	NNS	decade
of	IN	of
additional	JJ	additional
longevity	NN	longevity
we	PP	we
were	VBD	be
granted	VBN	grant
in	IN	in
the	DT	the
20th	JJ	20th
century	NN	century
.	SENT	.
But	CC	but
all	RB	all
it	PP	it
got	VBD	get
was	VBD	be
a	DT	a
bad	JJ	bad
brand	NN	brand
,	,	,
the	DT	the
"	``	"
midlife	NN	midlife
crisis	NN	crisis
,	,	,
"	''	"
which	WDT	which
was	VBD	be
coined	VBN	coin
in	IN	in
1965	CD	@card@
.	SENT	.
Yet	RB	yet
research	NN	research
on	IN	on
how	WRB	how
happiness	NN	happiness
evolves	VBZ	evolve
as	IN	as
we	PP	we
age	NN	age
shows	VBZ	show
that	IN	that
from	IN	from
about	IN	about
age	NN	age
22	CD	@card@
or	CC	or
23	CD	@card@
,	,	,
all	PDT	all
the	DT	the
way	NN	way
to	TO	to
45	CD	@card@
to	TO	to
50	CD	@card@
,	,	,
there	EX	there
is	VBZ	be
a	DT	a
long	JJ	long
,	,	,
slow	JJ	slow
decline	NN	decline
in	IN	in
life	NN	life
satisfaction	NN	satisfaction
.	SENT	.
It	PP	it
bottoms	VBZ	bottom
out	RP	out
around	IN	around
45	CD	@card@
to	TO	to
50	CD	@card@
,	,	,
although	IN	although
your	PP$	your
