Sherrell	NP	Sherrell
Dorsey	NP	Dorsey
:	:	:
Melonie	NP	Melonie
,	,	,
I	NP	I
'	POS	'
m	NN	m
so	RB	so
honored	VBN	honor
to	TO	to
be	VB	be
sitting	VBG	sit
and	CC	and
sharing	VBG	share
the	DT	the
stage	NN	stage
with	IN	with
you	PP	you
.	SENT	.
Melonie	NP	Melonie
D	NP	D
.	SENT	.
Parker	NP	Parker
:	:	:
I	PP	I
couldn	NNS	<unknown>
'	POS	'
t	NN	t
wait	NN	wait
for	IN	for
today	NN	today
to	TO	to
have	VB	have
our	PP$	our
conversation	NN	conversation
joined	VBD	join
with	IN	with
all	PDT	all
these	DT	these
lovely	JJ	lovely
women	NNS	woman
.	SENT	.
SD	NN	SD
:	:	:
There	EX	there
'	''	'
s	NNS	<unknown>
so	RB	so
much	RB	much
to	TO	to
cover	VB	cover
.	SENT	.
To	TO	to
be	VB	be
at	IN	at
this	DT	this
experience	NN	experience
,	,	,
to	TO	to
be	VB	be
celebrating	VBG	celebrate
the	DT	the
power	NN	power
,	,	,
the	DT	the
voice	NN	voice
,	,	,
the	DT	the
ideas	NNS	idea
of	IN	of
women	NNS	woman
.	SENT	.
There	EX	there
'	POS	'
s	NN	S
also	RB	also
some	DT	some
really	RB	really
grappling	VBG	grapple
and	CC	and
gripping	VBG	grip
conversations	NNS	conversation
that	IN	that
we	PP	we
have	VBP	have
to	TO	to
have	VB	have
,	,	,
particularly	RB	particularly
around	IN	around
diversity	NN	diversity
,	,	,
this	DT	this
idea	NN	idea
of	IN	of
equity	NN	equity
,	,	,
as	RB	as
well	RB	well
as	IN	as
inclusion	NN	inclusion
.	SENT	.
And	CC	and
your	PP$	your
work	NN	work
,	,	,
even	RB	even
beyond	IN	beyond
your	PP$	your
title	NN	title
,	,	,
has	VBZ	have
been	VBN	be
extremely	RB	extremely
massive	JJ	massive
.	SENT	.
But	CC	but
we	PP	we
also	RB	also
have	VB	have
to	TO	to
look	VB	look
at	IN	at
what	WP	what
the	DT	the
last	JJ	last
few	JJ	few
years	NNS	year
has	VBZ	have
entailed	VBN	entail
and	CC	and
what	WP	what
commitments	NNS	commitment
have	VBP	have
been	VBN	be
made	VBN	make
from	IN	from
corporate	JJ	corporate
entities	NNS	entity
.	SENT	.
And	CC	and
so	RB	so
I	PP	I
want	VBP	want
to	TO	to
dive	VB	dive
in	IN	in
today	NN	today
,	,	,
with	IN	with
you	PP	you
this	DT	this
morning	NN	morning
,	,	,
about	RB	about
where	WRB	where
we	PP	we
sort	VBP	sort
of	IN	of
were	VBD	be
and	CC	and
where	WRB	where
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
.	SENT	.
But	CC	but
maybe	RB	maybe
let	VB	let
'	''	'
s	NNS	<unknown>
start	VBP	start
with	IN	with
this	DT	this
commitment	NN	commitment
,	,	,
particularly	RB	particularly
that	IN	that
Google	NP	<unknown>
made	VBD	make
right	RB	right
out	RB	out
of	IN	of
the	DT	the
gate	NN	gate
,	,	,
particularly	RB	particularly
when	WRB	when
we	PP	we
think	VBP	think
about	IN	about
2020	CD	@card@
,	,	,
the	DT	the
murder	NN	murder
of	IN	of
George	NP	George
Floyd	NP	Floyd
and	CC	and
the	DT	the
sort	NN	sort
of	IN	of
subsequent	JJ	subsequent
reckonings	NNS	reckoning
that	IN	that
our	PP$	our
country	NN	country
,	,	,
that	IN	that
the	DT	the
world	NN	world
has	VBZ	have
had	VBN	have
