Chris	NP	Chris
Anderson	NP	Anderson
:	:	:
Shane	NP	Shane
,	,	,
give	VBP	give
us	PP	us
a	DT	a
snapshot	NN	snapshot
of	IN	of
you	PP	you
growing	VBG	grow
up	RB	up
and	CC	and
what	WP	what
on	IN	on
Earth	NP	Earth
led	VBD	lead
you	PP	you
to	TO	to
get	VB	get
interested	JJ	interested
in	IN	in
artificial	JJ	artificial
intelligence	NN	intelligence
?	SENT	?
Shane	NP	Shane
Legg	NP	Legg
:	:	:
Well	UH	well
,	,	,
I	PP	I
got	VBD	get
my	PP$	my
first	JJ	first
home	NN	home
computer	NN	computer
on	IN	on
my	PP$	my
10th	JJ	10th
birthday	NN	birthday
,	,	,
and	CC	and
I	PP	I
--	:	--
this	DT	this
was	VBD	be
before	IN	before
the	DT	the
internet	NN	Internet
and	CC	and
everything	NN	everything
.	SENT	.
So	IN	so
you	PP	you
couldn	NN	<unknown>
'	POS	'
t	NN	t
just	RB	just
go	VB	go
and	CC	and
surf	VB	surf
the	DT	the
web	NN	web
and	CC	and
so	RB	so
on	IN	on
.	SENT	.
You	PP	you
had	VBD	have
to	TO	to
actually	RB	actually
make	VB	make
stuff	NN	stuff
yourself	PP	yourself
and	CC	and
program	NN	program
.	SENT	.
And	CC	and
so	RB	so
I	PP	I
started	VBD	start
programming	NN	programming
,	,	,
and	CC	and
I	PP	I
discovered	VBD	discover
that	IN	that
in	IN	in
this	DT	this
computer	NN	computer
there	EX	there
was	VBD	be
a	DT	a
world	NN	world
,	,	,
I	PP	I
could	MD	could
create	VB	create
a	DT	a
world	NN	world
,	,	,
I	PP	I
could	MD	could
create	VB	create
little	JJ	little
agents	NNS	agent
that	WDT	that
would	MD	would
run	VB	run
around	RP	around
and	CC	and
chase	VB	chase
each	DT	each
other	JJ	other
and	CC	and
do	VB	do
things	NNS	thing
and	CC	and
so	RB	so
on	IN	on
.	SENT	.
And	CC	and
I	PP	I
could	MD	could
sort	VB	sort
of	IN	of
,	,	,
bring	VB	bring
this	DT	this
whole	JJ	whole
universe	NN	universe
to	TO	to
life	NN	life
.	SENT	.
