Right	RB	right
when	WRB	when
I	PP	I
was	VBD	be
15	CD	@card@
was	VBD	be
when	WRB	when
I	PP	I
first	RB	first
got	VBD	get
interested	JJ	interested
in	IN	in
solar	JJ	solar
energy	NN	energy
.	SENT	.
My	PP$	my
family	NN	family
had	VBD	have
moved	VBN	move
from	IN	from
Fort	NP	Fort
Lee	NP	Lee
,	,	,
New	NP	New
Jersey	NP	Jersey
to	TO	to
California	NP	California
,	,	,
from	IN	from
the	DT	the
snow	NN	snow
to	TO	to
lots	NNS	lot
of	IN	of
heat	NN	heat
,	,	,
and	CC	and
gas	NN	gas
lines	NNS	line
.	SENT	.
There	EX	there
was	VBD	be
gas	NN	gas
rationing	VBG	ration
in	IN	in
1973	CD	@card@
.	SENT	.
The	DT	the
energy	NN	energy
crisis	NN	crisis
was	VBD	be
in	IN	in
full	JJ	full
bore	NN	bore
.	SENT	.
I	PP	I
started	VBD	start
reading	VBG	read
"	``	"
Popular	NP	Popular
Science	NP	Science
"	''	"
magazine	NN	magazine
,	,	,
and	CC	and
I	PP	I
got	VBD	get
really	RB	really
excited	VBN	excite
about	IN	about
the	DT	the
potential	NN	potential
of	IN	of
solar	JJ	solar
energy	NN	energy
to	TO	to
try	VB	try
and	CC	and
solve	VB	solve
that	DT	that
crisis	NN	crisis
.	SENT	.
I	PP	I
had	VBD	have
just	RB	just
taken	VBN	take
trigonometry	NN	trigonometry
in	IN	in
high	JJ	high
school	NN	school
,	,	,
I	PP	I
learned	VBD	learn
about	IN	about
the	DT	the
parabola	NN	parabola
and	CC	and
how	WRB	how
it	PP	it
could	MD	could
concentrate	VB	concentrate
rays	NNS	ray
of	IN	of
light	NN	light
to	TO	to
a	DT	a
single	JJ	single
focus	NN	focus
.	SENT	.
That	IN	that
got	VBN	get
me	PP	me
very	RB	very
excited	JJ	excited
.	SENT	.
And	CC	and
I	PP	I
really	RB	really
felt	VBD	feel
that	IN	that
there	EX	there
would	MD	would
be	VB	be
potential	JJ	potential
to	TO	to
build	VB	build
some	DT	some
kind	NN	kind
of	IN	of
thing	NN	thing
that	WDT	that
could	MD	could
concentrate	VB	concentrate
light	NN	light
.	SENT	.
So	RB	so
,	,	,
I	PP	I
started	VBD	start
this	DT	this
company	NN	company
called	VBN	call
Solar	NP	Solar
Devices	NPS	Devices
.	SENT	.
And	CC	and
this	DT	this
was	VBD	be
a	DT	a
company	NN	company
where	WRB	where
I	PP	I
built	VBD	build
parabolas	NNS	parabola
,	,	,
I	PP	I
took	VBD	take
metal	NN	metal
shop	NN	shop
,	,	,
and	CC	and
I	PP	I
remember	VBP	remember
walking	VBG	walk
into	IN	into
metal	NN	metal
shop	NN	shop
building	NN	building
parabolas	NNS	parabola
and	CC	and
Stirling	NP	Stirling
engines	NNS	engine
.	SENT	.
And	CC	and
I	PP	I
was	VBD	be
building	VBG	build
a	DT	a
Stirling	NP	Stirling
engine	NN	engine
over	IN	over
on	IN	on
the	DT	the
lathe	NN	lathe
,	,	,
and	CC	and
all	PDT	all
the	DT	the
motorcycle	NN	motorcycle
guys	NNS	guy
said	VBD	say
,	,	,
"	``	"
You	PP	you
'	''	'
re	IN	re
building	VBG	build
a	DT	a
bong	NN	bong
,	,	,
aren	NNS	<unknown>
'	POS	'
t	NN	t
you	PP	you
?	SENT	?
"	``	"
And	CC	and
I	PP	I
said	VBD	say
,	,	,
"	``	"
No	UH	no
,	,	,
it	PP	it
'	POS	'
s	NN	S
a	DT	a
Stirling	NP	Stirling
engine	NN	engine
.	SENT	.
"	``	"
But	CC	but
they	PP	they
didn	NP	<unknown>
'	POS	'
t	NN	t
believe	VBP	believe
me	PP	me
.	SENT	.
I	PP	I
sold	VBD	sell
the	DT	the
plans	NNS	plan
for	IN	for
this	DT	this
engine	NN	engine
and	CC	and
for	IN	for
this	DT	this
dish	NN	dish
in	IN	in
the	DT	the
back	NN	back
of	IN	of
"	``	"
Popular	NP	Popular
Science	NP	Science
"	''	"
magazine	NN	magazine
,	,	,
for	IN	for
four	CD	four
dollars	NNS	dollar
each	DT	each
.	SENT	.
And	CC	and
I	PP	I
earned	VBD	earn
enough	JJ	enough
money	NN	money
to	TO	to
pay	VB	pay
for	IN	for
my	PP$	my
first	JJ	first
year	NN	year
of	IN	of
Caltech	NP	Caltech
.	SENT	.
It	PP	it
was	VBD	be
a	DT	a
really	RB	really
big	JJ	big
excitement	NN	excitement
for	IN	for
me	PP	me
to	TO	to
get	VB	get
into	IN	into
Caltech	NP	Caltech
.	SENT	.
And	CC	and
at	IN	at
my	PP$	my
first	JJ	first
year	NN	year
at	IN	at
Caltech	NP	Caltech
,	,	,
I	PP	I
continued	VBD	continue
the	DT	the
business	NN	business
.	SENT	.
But	CC	but
then	RB	then
,	,	,
in	IN	in
the	DT	the
second	JJ	second
year	NN	year
of	IN	of
Caltech	NP	Caltech
,	,	,
they	PP	they
started	VBD	start
grading	VBG	grade
.	SENT	.
The	DT	the
whole	JJ	whole
first	JJ	first
year	NN	year
was	VBD	be
pass	NN	pass
/	SYM	/
fail	VB	fail
,	,	,
but	CC	but
the	DT	the
second	JJ	second
year	NN	year
was	VBD	be
graded	VBN	grade
.	SENT	.
I	NP	I
wasn	NP	<unknown>
'	POS	'
t	NN	t
able	JJ	able
to	TO	to
keep	VB	keep
up	RP	up
with	IN	with
the	DT	the
business	NN	business
,	,	,
and	CC	and
I	PP	I
ended	VBD	end
up	RP	up
with	IN	with
a	DT	a
25-year	JJ	<unknown>
detour	NN	detour
.	SENT	.
My	PP$	my
dream	NN	dream
had	VBD	have
been	VBN	be
to	TO	to
convert	VB	convert
solar	JJ	solar
energy	NN	energy
at	IN	at
a	DT	a
very	RB	very
practical	JJ	practical
cost	NN	cost
,	,	,
but	CC	but
then	RB	then
I	PP	I
had	VBD	have
this	DT	this
big	JJ	big
detour	NN	detour
.	SENT	.
First	RB	first
,	,	,
the	DT	the
coursework	NN	coursework
at	IN	at
Caltech	NP	Caltech
.	SENT	.
Then	RB	then
,	,	,
when	WRB	when
I	PP	I
graduated	VBD	graduate
from	IN	from
Caltech	NP	Caltech
,	,	,
the	DT	the
IBM	NP	IBM
PC	NN	PC
came	VBD	come
out	RP	out
,	,	,
and	CC	and
I	PP	I
got	VBD	get
addicted	VBN	addict
to	TO	to
the	DT	the
IBM	NP	IBM
PC	NN	PC
in	IN	in
1981	CD	@card@
.	SENT	.
And	CC	and
then	RB	then
in	IN	in
1983	CD	@card@
,	,	,
Lotus	NP	Lotus
1-2-3	CD	@card@
came	VBD	come
out	RP	out
,	,	,
and	CC	and
I	PP	I
was	VBD	be
completely	RB	completely
blown	VBN	blow
away	RB	away
by	IN	by
Lotus	NP	Lotus
1-2-3	CD	@card@
.	SENT	.
I	PP	I
began	VBD	begin
operating	VBG	operate
my	PP$	my
business	NN	business
with	IN	with
1-2-3	CD	@card@
,	,	,
began	VBD	begin
writing	VBG	write
add-ins	NNS	<unknown>
for	IN	for
1-2-3	CD	@card@
,	,	,
wrote	VBD	write
a	DT	a
natural	JJ	natural
language	NN	language
interface	NN	interface
to	TO	to
1-2-3	CD	@card@
.	SENT	.
I	PP	I
started	VBD	start
an	DT	an
educational	JJ	educational
software	NN	software
company	NN	company
after	IN	after
I	PP	I
joined	VBD	join
Lotus	NP	Lotus
,	,	,
and	CC	and
then	RB	then
I	PP	I
started	VBD	start
Idealab	NP	<unknown>
so	IN	so
I	PP	I
could	MD	could
have	VB	have
a	DT	a
roof	NN	roof
under	IN	under
which	WDT	which
I	PP	I
could	MD	could
build	VB	build
multiple	JJ	multiple
companies	NNS	company
in	IN	in
succession	NN	succession
.	SENT	.
Much	RB	much
later	RBR	later
—	:	-
in	IN	in
2000	CD	@card@
,	,	,
very	RB	very
recently	RB	recently
—	:	-
the	DT	the
new	JJ	new
California	NP	California
energy	NN	energy
crisis	NN	crisis
—	:	-
what	WP	what
was	VBD	be
purported	VBN	purport
to	TO	to
be	VB	be
a	DT	a
big	JJ	big
energy	NN	energy
crisis	NN	crisis
—	:	-
was	VBD	be
coming	VBG	come
.	SENT	.
And	CC	and
I	PP	I
was	VBD	be
trying	VBG	try
to	TO	to
figure	VB	figure
out	RP	out
if	IN	if
we	PP	we
could	MD	could
build	VB	build
something	NN	something
that	WDT	that
would	MD	would
capitalize	VB	capitalize
on	IN	on
that	DT	that
and	CC	and
get	VB	get
people	NNS	people
backup	JJ	backup
energy	NN	energy
,	,	,
in	IN	in
case	NN	case
the	DT	the
crisis	NN	crisis
really	RB	really
came	VBD	come
.	SENT	.
And	CC	and
I	PP	I
started	VBD	start
looking	VBG	look
at	IN	at
how	WRB	how
we	PP	we
could	MD	could
build	VB	build
battery	NN	battery
backup	NN	backup
systems	NNS	system
that	WDT	that
could	MD	could
give	VB	give
people	NNS	people
five	CD	five
hours	NNS	hour
,	,	,
10	CD	@card@
hours	NNS	hour
,	,	,
maybe	RB	maybe
even	RB	even
a	DT	a
full	JJ	full
day	NN	day
,	,	,
or	CC	or
three	CD	three
days	NNS	day
'	POS	'
worth	NN	worth
of	IN	of
backup	JJ	backup
power	NN	power
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
glad	NN	glad
you	PP	you
heard	VBD	hear
earlier	JJR	early
today	NN	today
,	,	,
batteries	NNS	battery
are	VBP	be
unbelievably	RB	unbelievably
—	:	-
lack	NN	lack
density	NN	density
compared	VBN	compare
to	TO	to
fuel	VB	fuel
.	SENT	.
So	RB	so
much	RB	much
more	JJR	more
energy	NN	energy
can	MD	can
