Thank	VB	thank
you	PP	you
very	RB	very
much	RB	much
,	,	,
Chris	NP	Chris
.	SENT	.
Everybody	NN	everybody
who	WP	who
came	VBD	come
up	RP	up
here	RB	here
said	VBD	say
they	PP	they
were	VBD	be
scared	VBN	scare
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
if	IN	if
I	PP	I
'	POS	'
m	NN	m
scared	VBD	scare
,	,	,
but	CC	but
this	DT	this
is	VBZ	be
my	PP$	my
first	JJ	first
time	NN	time
of	IN	of
addressing	VBG	address
an	DT	an
audience	NN	audience
like	IN	like
this	DT	this
.	SENT	.
And	CC	and
I	PP	I
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
any	DT	any
smart	JJ	smart
technology	NN	technology
for	IN	for
you	PP	you
to	TO	to
look	VB	look
at	IN	at
.	SENT	.
There	EX	there
are	VBP	be
no	DT	no
slides	NNS	slide
,	,	,
so	IN	so
you	PP	you
'	POS	'
ll	NNS	<unknown>
just	RB	just
have	VB	have
to	TO	to
be	VB	be
content	JJ	content
with	IN	with
me	PP	me
.	SENT	.
What	WP	what
I	PP	I
want	VBP	want
to	TO	to
do	VB	do
this	DT	this
morning	NN	morning
is	VBZ	be
share	NN	share
with	IN	with
you	PP	you
a	DT	a
couple	NN	couple
of	IN	of
stories	NNS	story
and	CC	and
talk	NN	talk
about	IN	about
a	DT	a
different	JJ	different
Africa	NP	Africa
.	SENT	.
Already	RB	already
this	DT	this
morning	NN	morning
there	EX	there
were	VBD	be
some	DT	some
allusions	NNS	allusion
to	TO	to
the	DT	the
Africa	NP	Africa
that	IN	that
you	PP	you
hear	VBP	hear
about	IN	about
all	PDT	all
the	DT	the
time	NN	time
:	:	:
the	DT	the
Africa	NP	Africa
of	IN	of
HIV	NP	HIV
/	SYM	/
AIDS	NP	AIDS
,	,	,
the	DT	the
Africa	NP	Africa
of	IN	of
malaria	NN	malaria
,	,	,
the	DT	the
Africa	NP	Africa
of	IN	of
poverty	NN	poverty
,	,	,
the	DT	the
Africa	NP	Africa
of	IN	of
conflict	NN	conflict
,	,	,
and	CC	and
the	DT	the
Africa	NP	Africa
of	IN	of
disasters	NNS	disaster
.	SENT	.
While	IN	while
it	PP	it
is	VBZ	be
true	JJ	true
that	IN	that
those	DT	those
things	NNS	thing
are	VBP	be
going	VBG	go
on	IN	on
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
an	DT	an
Africa	NP	Africa
that	IN	that
you	PP	you
don	VB	don
'	''	'
t	NN	t
hear	VBP	hear
about	RB	about
very	RB	very
much	JJ	much
.	SENT	.
And	CC	and
sometimes	RB	sometimes
I	NP	I
'	POS	'
m	NN	m
puzzled	VBD	puzzle
,	,	,
and	CC	and
I	PP	I
ask	VBP	ask
myself	PP	myself
why	WRB	why
.	SENT	.
This	DT	this
is	VBZ	be
the	DT	the
Africa	NP	Africa
that	WDT	that
is	VBZ	be
changing	VBG	change
,	,	,
that	IN	that
Chris	NP	Chris
alluded	VBD	allude
to	TO	to
.	SENT	.
This	DT	this
is	VBZ	be
the	DT	the
Africa	NP	Africa
of	IN	of
opportunity	NN	opportunity
.	SENT	.
This	DT	this
is	VBZ	be
the	DT	the
Africa	NP	Africa
where	WRB	where
people	NNS	people
want	VBP	want
to	TO	to
take	VB	take
charge	NN	charge
of	IN	of
their	PP$	their
own	JJ	own
futures	NNS	future
and	CC	and
their	PP$	their
own	JJ	own
destinies	NNS	destiny
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
the	DT	the
Africa	NP	Africa
where	WRB	where
people	NNS	people
are	VBP	be
looking	VBG	look
for	IN	for
partnerships	NNS	partnership
to	TO	to
do	VB	do
this	DT	this
.	SENT	.
That	IN	that
'	POS	'
s	VBG	<unknown>
what	WP	what
I	PP	I
want	VBP	want
to	TO	to
talk	VB	talk
about	IN	about
today	NN	today
.	SENT	.
And	CC	and
I	PP	I
want	VBP	want
to	TO	to
start	VB	start
by	IN	by
telling	VBG	tell
you	PP	you
a	DT	a
story	NN	story
about	IN	about
that	DT	that
change	NN	change
in	IN	in
Africa	NP	Africa
.	SENT	.
On	IN	on
15th	JJ	15th
of	IN	of
September	NP	September
2005	CD	@card@
,	,	,
Mr	NP	Mr
.	SENT	.
Diepreye	NP	<unknown>
Alamieyeseigha	NP	<unknown>
,	,	,
a	DT	a
governor	NN	governor
of	IN	of
one	CD	one
of	IN	of
the	DT	the
oil-	NN	oil-
rich	JJ	rich
states	NNS	state
of	IN	of
Nigeria	NP	Nigeria
,	,	,
was	VBD	be
arrested	VBN	arrest
by	IN	by
the	DT	the
London	NP	London
Metropolitan	NP	Metropolitan
Police	NP	Police
on	IN	on
a	DT	a
visit	NN	visit
to	TO	to
London	NP	London
.	SENT	.
He	PP	he
was	VBD	be
arrested	VBN	arrest
because	IN	because
there	EX	there
were	VBD	be
transfers	NNS	transfer
of	IN	of
eight	CD	eight
million	CD	million
dollars	NNS	dollar
that	WDT	that
went	VBD	go
into	IN	into
some	DT	some
dormant	JJ	dormant
accounts	NNS	account
that	WDT	that
belonged	VBD	belong
to	TO	to
him	PP	him
and	CC	and
his	PP$	his
family	NN	family
.	SENT	.
This	DT	this
arrest	NN	arrest
occurred	VBD	occur
because	IN	because
there	EX	there
was	VBD	be
cooperation	NN	cooperation
between	IN	between
the	DT	the
London	NP	London
Metropolitan	NP	Metropolitan
Police	NP	Police
and	CC	and
the	DT	the
Economic	NP	Economic
and	CC	and
Financial	NP	Financial
Crimes	NP	Crimes
Commission	NP	Commission
of	IN	of
Nigeria	NP	Nigeria
—	:	-
led	VBN	lead
by	IN	by
one	CD	one
of	IN	of
our	PP$	our
most	RBS	most
able	JJ	able
and	CC	and
courageous	JJ	courageous
people	NNS	people
:	:	:
Mr	NP	Mr
.	SENT	.
Nuhu	NP	<unknown>
Ribadu	NP	<unknown>
.	SENT	.
Alamieyeseigha	NP	<unknown>
was	VBD	be
arraigned	VBN	arraign
in	IN	in
London	NP	London
.	SENT	.
Due	JJ	due
to	TO	to
some	DT	some
slip-ups	NNS	slip-up
,	,	,
he	PP	he
managed	VBD	manage
to	TO	to
escape	VB	escape
dressed	VBN	dress
as	IN	as
a	DT	a
woman	NN	woman
and	CC	and
ran	VBD	run
from	IN	from
London	NP	London
back	RB	back
to	TO	to
Nigeria	NP	Nigeria
where	WRB	where
,	,	,
according	VBG	accord
to	TO	to
our	PP$	our
constitution	NN	constitution
,	,	,
those	DT	those
in	IN	in
office	NN	office
as	IN	as
governors	NNS	governor
,	,	,
president	NN	president
—	:	-
as	RB	as
in	IN	in
many	JJ	many
countries	NNS	country
—	:	-
have	VB	have
immunity	NN	immunity
and	CC	and
cannot	MD	can
be	VB	be
prosecuted	VBN	prosecute
.	SENT	.
But	CC	but
what	WP	what
happened	VBD	happen
:	:	:
people	NNS	people
were	VBD	be
so	RB	so
outraged	VBN	outrage
by	IN	by
this	DT	this
behavior	NN	behavior
that	IN	that
it	PP	it
was	VBD	be
possible	JJ	possible
for	IN	for
his	PP$	his
state	NN	state
legislature	NN	legislature
to	TO	to
impeach	VB	impeach
him	PP	him
and	CC	and
get	VB	get
him	PP	him
out	RP	out
of	IN	of
office	NN	office
.	SENT	.
Today	NN	today
,	,	,
Alams	NP	<unknown>
—	:	-
as	IN	as
we	PP	we
call	VBP	call
him	PP	him
for	IN	for
short	JJ	short
—	:	-
is	VBZ	be
in	IN	in
jail	NN	jail
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
story	NN	story
about	IN	about
the	DT	the
fact	NN	fact
that	IN	that
people	NNS	people
in	IN	in
Africa	NP	Africa
are	VBP	be
no	RB	no
longer	RBR	longer
willing	JJ	willing
to	TO	to
tolerate	VB	tolerate
corruption	NN	corruption
from	IN	from
their	PP$	their
leaders	NNS	leader
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
story	NN	story
about	IN	about
the	DT	the
fact	NN	fact
that	IN	that
people	NNS	people
want	VBP	want
their	PP$	their
resources	NNS	resource
managed	VBD	manage
properly	RB	properly
for	IN	for
their	PP$	their
good	JJ	good
,	,	,
and	CC	and
not	RB	not
taken	VBN	take
out	RP	out
to	TO	to
places	NNS	place
where	WRB	where
they	PP	they
'	POS	'
ll	NNS	<unknown>
benefit	VBP	benefit
just	RB	just
a	DT	a
few	JJ	few
of	IN	of
the	DT	the
elite	NN	elite
.	SENT	.
And	CC	and
therefore	RB	therefore
,	,	,
when	WRB	when
you	PP	you
hear	VBP	hear
about	IN	about
the	DT	the
corrupt	JJ	corrupt
Africa	NP	Africa
—	:	-
corruption	NN	corruption
all	PDT	all
the	DT	the
time	NN	time
—	:	-
I	PP	I
want	VBP	want
you	PP	you
to	TO	to
know	VB	know
that	IN	that
the	DT	the
people	NNS	people
and	CC	and
the	DT	the
governments	NNS	government
are	VBP	be
trying	VBG	try
hard	RB	hard
to	TO	to
fight	VB	fight
this	DT	this
in	IN	in
some	DT	some
of	IN	of
the	DT	the
countries	NNS	country
,	,	,
and	CC	and
that	IN	that
some	DT	some
successes	NNS	success
