About	IN	about
two	CD	two
and	CC	and
a	DT	a
half	NN	half
years	NNS	year
ago	RB	ago
,	,	,
I	PP	I
watched	VBD	watch
this	DT	this
movie	NN	movie
called	VBN	call
"	``	"
Her	NP	Her
.	SENT	.
"	``	"
And	CC	and
it	PP	it
features	VBZ	feature
Samantha	NP	Samantha
,	,	,
a	DT	a
superintelligent	JJ	superintelligent
form	NN	form
of	IN	of
AI	NN	ai
that	WDT	that
cannot	MD	can
take	VB	take
physical	JJ	physical
form	NN	form
.	SENT	.
And	CC	and
because	IN	because
she	PP	she
can	MD	can
'	''	'
t	NN	t
appear	VBP	appear
in	IN	in
photographs	NNS	photograph
,	,	,
Samantha	NP	Samantha
decides	VBZ	decide
to	TO	to
write	VB	write
a	DT	a
piece	NN	piece
of	IN	of
music	NN	music
that	WDT	that
will	MD	will
capture	VB	capture
a	DT	a
moment	NN	moment
of	IN	of
her	PP$	her
life	NN	life
just	RB	just
like	IN	like
a	DT	a
photograph	NN	photograph
would	MD	would
.	SENT	.
As	IN	as
a	DT	a
musician	NN	musician
and	CC	and
an	DT	an
engineer	NN	engineer
,	,	,
and	CC	and
someone	NN	someone
raised	VBN	raise
in	IN	in
a	DT	a
family	NN	family
of	IN	of
artists	NNS	artist
,	,	,
I	PP	I
thought	VBD	think
that	IN	that
this	DT	this
idea	NN	idea
of	IN	of
musical	JJ	musical
photographs	NNS	photograph
was	VBD	be
really	RB	really
powerful	JJ	powerful
.	SENT	.
And	CC	and
I	PP	I
decided	VBD	decide
to	TO	to
create	VB	create
an	DT	an
AI	NN	ai
composer	NN	composer
.	SENT	.
Her	PP$	her
name	NN	name
is	VBZ	be
AIVA	NP	<unknown>
,	,	,
and	CC	and
she	PP	she
'	POS	'
s	NN	S
an	DT	an
artificial	JJ	artificial
intelligence	NN	intelligence
that	WDT	that
has	VBZ	have
learned	VBN	learn
the	DT	the
art	NN	art
of	IN	of
music	NN	music
composition	NN	composition
by	IN	by
reading	NN	reading
over	IN	over
30	CD	@card@
,	,	,
000	CD	@card@
scores	NNS	score
of	IN	of
history	NN	history
'	POS	'
s	JJ	<unknown>
greatest	JJS	great
.	SENT	.
So	RB	so
here	RB	here
'	''	'
s	NNS	<unknown>
what	WP	what
one	PP	one
score	VBP	score
looks	VBZ	look
like	IN	like
to	TO	to
the	DT	the
algorithm	NN	algorithm
in	IN	in
a	DT	a
matrix-like	JJ	<unknown>
representation	NN	representation
.	SENT	.
And	CC	and
here	RB	here
'	''	'
s	VBG	<unknown>
what	WP	what
30	CD	@card@
,	,	,
000	CD	@card@
scores	NNS	score
,	,	,
written	VBN	write
by	IN	by
the	DT	the
likes	NN	likes
of	IN	of
Mozart	NP	Mozart
and	CC	and
Beethoven	NP	Beethoven
,	,	,
look	NN	look
like	IN	like
in	IN	in
a	DT	a
single	JJ	single
frame	NN	frame
.	SENT	.
So	RB	so
,	,	,
using	VBG	use
deep	JJ	deep
neural	JJ	neural
networks	NNS	network
,	,	,
AIVA	NP	<unknown>
looks	VBZ	look
for	IN	for
patterns	NNS	pattern
in	IN	in
the	DT	the
