Let	NP	Let
'	POS	'
s	NNS	<unknown>
play	VBP	play
a	DT	a
game	NN	game
.	SENT	.
Imagine	VB	imagine
that	IN	that
you	PP	you
are	VBP	be
in	IN	in
Las	NP	Las
Vegas	NP	Vegas
,	,	,
in	IN	in
a	DT	a
casino	NN	casino
,	,	,
and	CC	and
you	PP	you
decide	VBP	decide
to	TO	to
play	VB	play
a	DT	a
game	NN	game
on	IN	on
one	CD	one
of	IN	of
the	DT	the
casino	NN	casino
'	POS	'
s	NN	S
computers	NNS	computer
,	,	,
just	RB	just
like	IN	like
you	PP	you
might	MD	might
play	VB	play
solitaire	NN	solitaire
or	CC	or
chess	NN	chess
.	SENT	.
The	DT	the
computer	NN	computer
can	MD	can
make	VB	make
moves	NNS	move
in	IN	in
the	DT	the
game	NN	game
,	,	,
just	RB	just
like	IN	like
a	DT	a
human	JJ	human
player	NN	player
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
coin	NN	coin
game	NN	game
.	SENT	.
It	PP	it
starts	VBZ	start
with	IN	with
a	DT	a
coin	NN	coin
showing	VBG	show
heads	NNS	head
,	,	,
and	CC	and
the	DT	the
computer	NN	computer
will	MD	will
play	VB	play
first	JJ	first
.	SENT	.
It	PP	it
can	MD	can
choose	VB	choose
to	TO	to
flip	VB	flip
the	DT	the
coin	NN	coin
or	CC	or
not	RB	not
,	,	,
but	CC	but
you	PP	you
don	VBP	don
'	''	'
t	NN	t
get	VBP	get
to	TO	to
see	VB	see
the	DT	the
outcome	NN	outcome
.	SENT	.
Next	RB	next
,	,	,
it	PP	it
'	POS	'
s	VBG	<unknown>
your	PP$	your
turn	NN	turn
.	SENT	.
You	PP	you
can	MD	can
also	RB	also
choose	VB	choose
to	TO	to
flip	VB	flip
the	DT	the
coin	NN	coin
or	CC	or
not	RB	not
,	,	,
and	CC	and
your	PP$	your
move	NN	move
will	MD	will
not	RB	not
be	VB	be
revealed	VBN	reveal
to	TO	to
your	PP$	your
opponent	NN	opponent
,	,	,
the	DT	the
computer	NN	computer
.	SENT	.
Finally	RB	finally
,	,	,
the	DT	the
computer	NN	computer
plays	VBZ	play
again	RB	again
,	,	,
and	CC	and
can	MD	can
flip	VB	flip
the	DT	the
coin	NN	coin
or	CC	or
not	RB	not
,	,	,
and	CC	and
after	IN	after
these	DT	these
three	CD	three
rounds	NNS	round
,	,	,
the	DT	the
coin	NN	coin
is	VBZ	be
revealed	VBN	reveal
,	,	,
and	CC	and
if	IN	if
it	PP	it
is	VBZ	be
heads	NNS	head
,	,	,
the	DT	the
computer	NN	computer
wins	VBZ	win
,	,	,
if	IN	if
it	PP	it
'	POS	'
s	NN	S
tails	NNS	tail
,	,	,
you	PP	you
win	VBP	win
.	SENT	.
So	IN	so
it	PP	it
'	POS	'
s	NN	S
a	DT	a
pretty	RB	pretty
simple	JJ	simple
game	NN	game
,	,	,
and	CC	and
if	IN	if
everybody	NN	everybody
plays	NNS	play
honestly	RB	honestly
,	,	,
and	CC	and
the	DT	the
coin	NN	coin
is	VBZ	be
fair	JJ	fair
,	,	,
then	RB	then
you	PP	you
have	VBP	have
a	DT	a
50	CD	@card@
percent	NN	percent
chance	NN	chance
of	IN	of
winning	VBG	win
this	DT	this
game	NN	game
.	SENT	.
And	CC	and
to	TO	to
confirm	VB	confirm
that	IN	that
,	,	,
I	PP	I
asked	VBD	ask
my	PP$	my
students	NNS	student
to	TO	to
play	VB	play
this	DT	this
game	NN	game
on	IN	on
our	PP$	our
computers	NNS	computer
,	,	,
and	CC	and
after	IN	after
many	JJ	many
,	,	,
many	JJ	many
tries	NNS	try
,	,	,
their	PP$	their
winning	JJ	winning
rate	NN	rate
ended	VBD	end
up	RP	up
being	VBG	be
50	CD	@card@
percent	NN	percent
,	,	,
or	CC	or
close	VB	close
to	TO	to
50	CD	@card@
percent	NN	percent
,	,	,
as	RB	as
expected	VBN	expect
.	SENT	.
Sounds	NNS	sound
like	IN	like
a	DT	a
boring	JJ	boring
game	NN	game
,	,	,
right	RB	right
?	SENT	?
But	CC	but
what	WP	what
if	IN	if
you	PP	you
could	MD	could
play	VB	play
this	DT	this
game	NN	game
on	IN	on
a	DT	a
quantum	NN	quantum
computer	NN	computer
?	SENT	?
Now	RB	now
,	,	,
Las	NP	Las
Vegas	NP	Vegas
casinos	NNS	casino
do	VBP	do
not	RB	not
have	VB	have
quantum	NN	quantum
computers	NNS	computer
,	,	,
as	RB	as
far	RB	far
as	IN	as
I	PP	I
know	VBP	know
,	,	,
but	CC	but
IBM	NP	IBM
has	VBZ	have
built	VBN	build
a	DT	a
working	VBG	work
quantum	NN	quantum
computer	NN	computer
.	SENT	.
Here	RB	here
it	PP	it
is	VBZ	be
.	SENT	.
But	CC	but
what	WP	what
is	VBZ	be
a	DT	a
quantum	NN	quantum
computer	NN	computer
?	SENT	?
Well	RB	well
,	,	,
quantum	NN	quantum
physics	NN	physics
describes	VBZ	describe
the	DT	the
behavior	NN	behavior
of	IN	of
atoms	NNS	atom
and	CC	and
fundamental	JJ	fundamental
particles	NNS	particle
,	,	,
like	IN	like
electrons	NNS	electron
and	CC	and
photons	NNS	photon
.	SENT	.
So	IN	so
a	DT	a
quantum	NN	quantum
computer	NN	computer
operates	VBZ	operate
by	IN	by
controlling	VBG	control
the	DT	the
behavior	NN	behavior
of	IN	of
these	DT	these
particles	NNS	particle
,	,	,
but	CC	but
in	IN	in
a	DT	a
way	NN	way
that	WDT	that
is	VBZ	be
completely	RB	completely
different	JJ	different
from	IN	from
our	PP$	our
regular	JJ	regular
computers	NNS	computer
.	SENT	.
So	IN	so
a	DT	a
quantum	NN	quantum
computer	NN	computer
is	VBZ	be
not	RB	not
just	RB	just
a	DT	a
more	RBR	more
powerful	JJ	powerful
version	NN	version
of	IN	of
our	PP$	our
current	JJ	current
computers	NNS	computer
,	,	,
just	RB	just
like	IN	like
a	DT	a
light	JJ	light
bulb	NN	bulb
is	VBZ	be
not	RB	not
a	DT	a
more	RBR	more
powerful	JJ	powerful
candle	NN	candle
.	SENT	.
You	PP	you
cannot	MD	can
build	VB	build
a	DT	a
light	JJ	light
bulb	NN	bulb
by	IN	by
building	VBG	build
better	JJR	good
and	CC	and
better	JJR	good
candles	NNS	candle
.	SENT	.
A	DT	a
light	JJ	light
bulb	NN	bulb
is	VBZ	be
a	DT	a
different	JJ	different
technology	NN	technology
,	,	,
based	VBN	base
on	IN	on
deeper	JJR	deep
scientific	JJ	scientific
understanding	NN	understanding
.	SENT	.
Similarly	RB	similarly
,	,	,
a	DT	a
quantum	NN	quantum
computer	NN	computer
is	VBZ	be
a	DT	a
new	JJ	new
kind	NN	kind
of	IN	of
device	NN	device
,	,	,
based	VBN	base
on	IN	on
the	DT	the
science	NN	science
of	IN	of
quantum	NN	quantum
physics	NNS	physic
,	,	,
and	CC	and
just	RB	just
like	IN	like
a	DT	a
light	JJ	light
bulb	NN	bulb
transformed	VBN	transform
society	NN	society
,	,	,
quantum	NN	quantum
computers	NNS	computer
have	VBP	have
the	DT	the
potential	NN	potential
to	TO	to
impact	NN	impact
so	IN	so
many	JJ	many
aspects	NNS	aspect
of	IN	of
our	PP$	our
lives	NNS	life
,	,	,
including	VBG	include
our	PP$	our
security	NN	security
needs	VBZ	need
,	,	,
our	PP$	our
health	NN	health
care	NN	care
and	CC	and
even	RB	even
the	DT	the
internet	NN	Internet
.	SENT	.
So	RB	so
companies	NNS	company
all	RB	all
around	IN	around
the	DT	the
world	NN	world
are	VBP	be
working	VBG	work
to	TO	to
build	VB	build
these	DT	these
devices	NNS	device
,	,	,
and	CC	and
to	TO	to
see	VB	see
what	WP	what
the	DT	the
excitement	NN	excitement
is	VBZ	be
all	RB	all
about	RB	about
,	,	,
let	VBP	let
'	POS	'
s	NNS	<unknown>
play	VBP	play
our	PP$	our
game	NN	game
on	IN	on
a	DT	a
quantum	NN	quantum
computer	NN	computer
.	SENT	.
So	RB	so
I	PP	I
can	MD	can
log	VB	log
into	IN	into
IBM	NP	IBM
'	POS	'
s	JJ	<unknown>
quantum	NN	quantum
computer	NN	computer
from	IN	from
right	NN	right
here	RB	here
,	,	,
which	WDT	which
means	VBZ	mean
I	PP	I
can	MD	can
play	VB	play
the	DT	the
game	NN	game
remotely	RB	remotely
,	,	,
and	CC	and
so	RB	so
can	MD	can
you	PP	you
.	SENT	.
To	TO	to
make	VB	make
this	DT	this
happen	VB	happen
,	,	,
you	PP	you
may	MD	may
remember	VB	remember
getting	VBG	get
an	DT	an
email	NN	<unknown>
ahead	RB	ahead
of	IN	of
time	NN	time
,	,	,
from	IN	from
TED	VB	ted
,	,	,
asking	VBG	ask
you	PP	you
whether	IN	whether
you	PP	you
would	MD	would
choose	VB	choose
to	TO	to
flip	VB	flip
the	DT	the
coin	NN	coin
or	CC	or
not	RB	not
,	,	,
if	IN	if
you	PP	you
played	VBD	play
the	DT	the
game	NN	game
.	SENT	.
Well	RB	well
,	,	,
actually	RB	actually
,	,	,
we	PP	we
asked	VBD	ask
you	PP	you
to	TO	to
choose	VB	choose
between	IN	between
a	DT	a
circle	NN	circle
or	CC	or
a	DT	a
square	NN	square
.	SENT	.
You	PP	you
didn	NP	<unknown>
'	POS	'
t	NN	t
know	VBP	know
it	PP	it
,	,	,
but	CC	but
your	PP$	your
choice	NN	choice
of	IN	of
circle	NN	circle
meant	VBN	mean
"	``	"
flip	VB	flip
the	DT	the
coin	NN	coin
,	,	,
"	''	"
and	CC	and
your	PP$	your
choice	NN	choice
of	IN	of
square	NN	square
was	VBD	be
"	``	"
don	VB	don
'	''	'
t	NN	t
flip	NN	flip
.	SENT	.
"	''	"
We	PP	we
received	VBD	receive
372	CD	@card@
responses	NNS	response
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
That	DT	that
means	VBZ	mean
we	PP	we
can	MD	can
play	VB	play
372	CD	@card@
games	NNS	game
against	IN	against
the	DT	the
quantum	NN	quantum
computer	NN	computer
using	VBG	use
your	PP$	your
choices	NNS	choice
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
a	DT	a
pretty	RB	pretty
fast	JJ	fast
game	NN	game
to	TO	to
play	VB	play
,	,	,
so	RB	so
I	PP	I
can	MD	can
show	VB	show
you	PP	you
the	DT	the
results	NNS	result
right	RB	right
here	RB	here
.	SENT	.
Unfortunately	RB	unfortunately
,	,	,
you	PP	you
didn	NNS	<unknown>
'	POS	'
t	NN	t
do	VBP	do
very	RB	very
well	RB	well
.	SENT	.
The	DT	the
quantum	NN	quantum
computer	NN	computer
won	VBD	win
almost	RB	almost
every	DT	every
game	NN	game
.	SENT	.
It	PP	it
lost	VBD	lose
a	DT	a
few	JJ	few
only	RB	only
because	IN	because
of	IN	of
operational	JJ	operational
errors	NNS	error
in	IN	in
the	DT	the
computer	NN	computer
.	SENT	.
So	RB	so
how	WRB	how
did	VBD	do
it	PP	it
achieve	VB	achieve
this	DT	this
amazing	JJ	amazing
winning	JJ	winning
streak	NN	streak
?	SENT	?
It	PP	it
seems	VBZ	seem
like	IN	like
magic	NN	magic
or	CC	or
cheating	NN	cheating
,	,	,
but	CC	but
actually	RB	actually
,	,	,
it	PP	it
'	POS	'
s	NN	S
just	RB	just
quantum	NN	quantum
physics	NNS	physic
in	IN	in
action	NN	action
.	SENT	.
Here	RB	here
'	POS	'
s	NN	S
how	WRB	how
it	PP	it
works	VBZ	work
.	SENT	.
A	DT	a
regular	JJ	regular
computer	NN	computer
simulates	VBZ	simulate
heads	NNS	head
or	CC	or
tails	NNS	tail
of	IN	of
a	DT	a
coin	NN	coin
as	IN	as
a	DT	a
bit	NN	bit
,	,	,
a	DT	a
zero	NN	zero
or	CC	or
a	DT	a
one	CD	one
,	,	,
or	CC	or
a	DT	a
current	JJ	current
flipping	VBG	flip
on	RP	on
and	CC	and
off	RP	off
inside	IN	inside
your	PP$	your
computer	NN	computer
chip	NN	chip
.	SENT	.
A	DT	a
quantum	NN	quantum
computer	NN	computer
is	VBZ	be
completely	RB	completely
different	JJ	different
.	SENT	.
A	DT	a
quantum	NN	quantum
bit	NN	bit
has	VBZ	have
a	DT	a
more	RBR	more
fluid	JJ	fluid
,	,	,
nonbinary	JJ	nonbinary
identity	NN	identity
.	SENT	.
It	PP	it
can	MD	can
exist	VB	exist
in	IN	in
a	DT	a
superposition	NN	superposition
,	,	,
or	CC	or
a	DT	a
combination	NN	combination
of	IN	of
zero	CD	zero
and	CC	and
one	CD	one
,	,	,
with	IN	with
some	DT	some
probability	NN	probability
of	IN	of
being	VBG	be
zero	NN	zero
and	CC	and
some	DT	some
probability	NN	probability
of	IN	of
being	VBG	be
one	CD	one
.	SENT	.
In	IN	in
other	JJ	other
words	NNS	word
,	,	,
its	PP$	its
identity	NN	identity
is	VBZ	be
on	IN	on
a	DT	a
spectrum	NN	spectrum
.	SENT	.
For	IN	for
example	NN	example
,	,	,
it	PP	it
could	MD	could
have	VB	have
a	DT	a
70	CD	@card@
percent	NN	percent
chance	NN	chance
of	IN	of
