Bryn	NP	Bryn
Freedman	NP	Freedman
:	:	:
So	RB	so
you	PP	you
said	VBD	say
that	IN	that
in	IN	in
the	DT	the
20th	JJ	20th
century	NN	century
,	,	,
global	JJ	global
power	NN	power
was	VBD	be
in	IN	in
the	DT	the
hands	NNS	hand
of	IN	of
government	NN	government
.	SENT	.
At	IN	at
the	DT	the
beginning	NN	beginning
of	IN	of
this	DT	this
digital	JJ	digital
century	NN	century
,	,	,
it	PP	it
really	RB	really
moved	VBD	move
to	TO	to
corporations	NNS	corporation
and	CC	and
that	IN	that
in	IN	in
the	DT	the
future	NN	future
,	,	,
it	PP	it
would	MD	would
move	VB	move
to	TO	to
individuals	NNS	individual
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
ve	NN	ve
interviewed	VBD	interview
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
,	,	,
and	CC	and
they	PP	they
say	VBP	say
you	PP	you
'	''	'
re	IN	re
wrong	JJ	wrong
,	,	,
and	CC	and
they	PP	they
are	VBP	be
betting	VBG	bet
on	IN	on
the	DT	the
companies	NNS	company
.	SENT	.
So	RB	so
why	WRB	why
are	VBP	be
you	PP	you
right	JJ	right
,	,	,
and	CC	and
why	WRB	why
are	VBP	be
individuals	NNS	individual
going	VBG	go
to	TO	to
win	VB	win
out	RP	out
?	SENT	?
Fadi	NP	Fadi
Chehad��	NP	<unknown>
:	:	:
Because	IN	because
companies	NNS	company
cater	VBP	cater
to	TO	to
individuals	NNS	individual
,	,	,
and	CC	and
we	PP	we
as	RB	as
the	DT	the
citizenry	NN	citizenry
need	VBP	need
to	TO	to
start	VB	start
understanding	NN	understanding
that	IN	that
we	PP	we
have	VBP	have
a	DT	a
big	JJ	big
role	NN	role
in	IN	in
shaping	VBG	shape
how	WRB	how
the	DT	the
world	NN	world
will	MD	will
be	VB	be
governed	VBN	govern
,	,	,
moving	VBG	move
forward	RB	forward
.	SENT	.
Yes	UH	yes
,	,	,
indeed	RB	indeed
,	,	,
the	DT	the
tug	NN	tug
of	IN	of
war	NN	war
right	NN	right
now	RB	now
is	VBZ	be
between	IN	between
governments	NNS	government
,	,	,
who	WP	who
lost	VBD	lose
much	RB	much
of	IN	of
their	PP$	their
power	NN	power
to	TO	to
companies	NNS	company
because	IN	because
the	DT	the
internet	NN	Internet
is	VBZ	be
not	RB	not
built	VBN	build
around	IN	around
the	DT	the
nation-state	NN	nation-state
system	NN	system
around	IN	around
which	WDT	which
governments	NNS	government
have	VBP	have
power	NN	power
.	SENT	.
The	DT	the
internet	NN	Internet
is	VBZ	be
transnational	JJ	transnational
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
international	JJ	international
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
not	RB	not
national	JJ	national
,	,	,
and	CC	and
therefore	RB	therefore
the	DT	the
companies	NNS	company
became	VBD	become
very	RB	very
powerful	JJ	powerful
.	SENT	.
They	PP	they
shape	VBP	shape
our	PP$	our
economy	NN	economy
.	SENT	.
They	PP	they
shape	VBP	shape
our	PP$	our
society	NN	society
.	SENT	.
Governments	NNS	government
don	NN	don
'	POS	'
t	NN	t
know	VBP	know
what	WP	what
to	TO	to
do	VB	do
.	SENT	.
Right	RB	right
now	RB	now
,	,	,
they	PP	they
'	POS	'
re	NN	re
reacting	VBG	react
.	SENT	.
