Everybody	NN	everybody
has	VBZ	have
that	DT	that
one	CD	one
friend	NN	friend
â	NP	<unknown>
you	PP	you
know	VBP	know
,	,	,
the	DT	the
single-minded	JJ	single-minded
one	CD	one
,	,	,
the	DT	the
one	CD	one
who	WP	who
,	,	,
no	DT	no
matter	NN	matter
what	WP	what
the	DT	the
question	NN	question
is	VBZ	be
,	,	,
always	RB	always
finds	VBZ	find
a	DT	a
way	NN	way
to	TO	to
make	VB	make
the	DT	the
answer	NN	answer
whatever	WDT	whatever
it	PP	it
is	VBZ	be
she	PP	she
'	POS	'
s	NNS	<unknown>
single-minded	JJ	single-minded
about	RB	about
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
that	IN	that
friend	NN	friend
.	SENT	.
And	CC	and
the	DT	the
thing	NN	thing
that	IN	that
I	NP	I
'	POS	'
m	NN	m
single-minded	JJ	single-minded
about	RB	about
is	VBZ	be
racism	NN	racism
.	SENT	.
If	IN	if
someone	NN	someone
were	VBD	be
to	TO	to
ask	VB	ask
me	PP	me
,	,	,
"	''	"
So	RB	so
,	,	,
Janet	NP	Janet
,	,	,
got	VBD	get
any	DT	any
plans	NNS	plan
for	IN	for
the	DT	the
4th	JJ	4th
of	IN	of
July	NP	July
?	SENT	?
"	''	"
I	NP	I
'	POS	'
m	NN	m
subject	NN	subject
to	TO	to
answer	VB	answer
,	,	,
"	''	"
Yeah	RB	yeah
,	,	,
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
binge-watch	NN	binge-watch
'	POS	'
Roots	NP	Roots
.	SENT	.
'	''	'
"	``	"
Or	CC	or
if	IN	if
they	PP	they
said	VBD	say
,	,	,
"	``	"
Janet	NP	Janet
,	,	,
I	NP	I
'	POS	'
ve	NN	ve
got	VBD	get
a	DT	a
joke	NN	joke
for	IN	for
you	PP	you
:	:	:
Why	WRB	why
'	POS	'
d	NN	d
the	DT	the
chicken	NN	chicken
cross	VBP	cross
the	DT	the
road	NN	road
?	SENT	?
"	''	"
"	``	"
Uh	UH	uh
,	,	,
was	VBD	be
it	PP	it
a	DT	a
black	JJ	black
chicken	NN	chicken
?	SENT	?
Probably	RB	probably
gentrification	NN	gentrification
.	SENT	.
"	''	"
But	CC	but
for	IN	for
me	PP	me
,	,	,
single-mindedness	NN	single-mindedness
is	VBZ	be
not	RB	not
just	RB	just
caring	JJ	caring
about	IN	about
something	NN	something
.	SENT	.
It	PP	it
'	POS	'
s	JJ	<unknown>
caring	NN	caring
about	IN	about
something	NN	something
enough	RB	enough
to	TO	to
do	VB	do
something	NN	something
about	IN	about
it	PP	it
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
just	RB	just
thinking	VBG	think
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
doing	VBG	do
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
just	RB	just
praying	VBG	pray
,	,	,
it	PP	it
is	VBZ	be
moving	VBG	move
your	PP$	your
feet	NNS	foot
.	SENT	.
And	CC	and
the	DT	the
reason	NN	reason
I	PP	I
'	POS	'
m	NN	m
single-minded	JJ	single-minded
about	IN	about
racism	NN	racism
is	VBZ	be
because	IN	because
I	PP	I
know	VBP	know
single-mindedness	NN	single-mindedness
can	MD	can
destroy	VB	destroy
it	PP	it
.	SENT	.
I	PP	I
learned	VBD	learn
that	IN	that
many	JJ	many
,	,	,
many	JJ	many
years	NNS	year
ago	RB	ago
.	SENT	.
Back	RB	back
in	IN	in
1984	CD	@card@
,	,	,
I	PP	I
was	VBD	be
a	DT	a
junior	NN	junior
at	IN	at
Davidson	NP	Davidson
College	NP	College
in	IN	in
Davidson	NP	Davidson
,	,	,
North	NP	North
Carolina	NP	Carolina
.	SENT	.
Now	RB	now
,	,	,
Davidson	NP	Davidson
is	VBZ	be
a	DT	a
little-bitty	JJ	little-bitty
town	NN	town
,	,	,
Southern	JJ	Southern
town	NN	town
,	,	,
split	VBN	split
by	IN	by
railroad	NN	railroad
tracks	NNS	track
,	,	,
with	IN	with
white	JJ	white
Davidson	NP	Davidson
on	IN	on
one	CD	one
side	NN	side
,	,	,
black	JJ	black
Davidson	NP	Davidson
on	IN	on
the	DT	the
other	JJ	other
side	NN	side
,	,	,
and	CC	and
,	,	,
as	IN	as
black	JJ	black
students	NNS	student
lived	VBN	live
on	IN	on
the	DT	the
white	JJ	white
side	NN	side
of	IN	of
the	DT	the
tracks	NNS	track
,	,	,
we	PP	we
got	VBD	get
used	VBN	use
to	TO	to
being	VBG	be
stopped	VBN	stop
in	IN	in
downtown	NN	downtown
and	CC	and
asked	VBD	ask
for	IN	for
ID	NN	id
,	,	,
until	IN	until
the	DT	the
police	NN	police
memorized	VBD	memorize
our	PP$	our
faces	NNS	face
.	SENT	.
But	CC	but
fortunately	RB	fortunately
,	,	,
that	DT	that
didn	NN	<unknown>
'	POS	'
t	NN	t
take	VB	take
too	RB	too
long	RB	long
,	,	,
because	IN	because
out	RB	out
of	IN	of
1	CD	@card@
,	,	,
200	CD	@card@
students	NNS	student
,	,	,
only	RB	only
52	CD	@card@
of	IN	of
us	PP	us
were	VBD	be
black	JJ	black
.	SENT	.
There	EX	there
was	VBD	be
one	CD	one
black	JJ	black
professor	NN	professor
and	CC	and
one	CD	one
black	JJ	black
assistant	JJ	assistant
dean	NN	dean
.	SENT	.
Things	NNS	thing
weren	NNS	<unknown>
'	POS	'
t	NN	t
a	DT	a
lot	NN	lot
better	RBR	well
on	IN	on
campus	NN	campus
.	SENT	.
Well	RB	well
,	,	,
I	NP	I
wasn	NP	<unknown>
'	POS	'
t	NN	t
OK	JJ	OK
with	IN	with
this	DT	this
.	SENT	.
And	CC	and
so	RB	so
,	,	,
I	PP	I
started	VBD	start
writing	VBG	write
things	NNS	thing
.	SENT	.
And	CC	and
then	RB	then
I	PP	I
started	VBD	start
yelling	VBG	yell
things	NNS	thing
.	SENT	.
And	CC	and
after	IN	after
about	RB	about
three	CD	three
years	NNS	year
of	IN	of
that	DT	that
,	,	,
I	PP	I
got	VBD	get
tired	JJ	tired
.	SENT	.
So	RB	so
I	PP	I
decided	VBD	decide
to	TO	to
write	VB	write
one	CD	one
more	JJR	more
thing	NN	thing
;	:	;
I	PP	I
wrote	VBD	write
something	NN	something
called	VBD	call
"	``	"
Project	NP	Project
'	POS	'
87	CD	@card@
.	SENT	.
"	``	"
Project	NN	project
'	''	'
87	CD	@card@
was	VBD	be
really	RB	really
just	RB	just
a	DT	a
challenge	NN	challenge
to	TO	to
Davidson	NP	Davidson
:	:	:
in	IN	in
three	CD	three
years	NNS	year
,	,	,
by	IN	by
1987	CD	@card@
,	,	,
enroll	VBP	enroll
100	CD	@card@
black	JJ	black
students	NNS	student
,	,	,
hire	VB	hire
10	CD	@card@
