People	NNS	people
don	NN	don
'	POS	'
t	NN	t
realize	VBP	realize
that	IN	that
red	JJ	red
light	JJ	light
and	CC	and
benign	JJ	benign
near-infrared	JJ	near-infrared
light	NN	light
go	VB	go
right	RB	right
through	IN	through
your	PP$	your
hand	NN	hand
,	,	,
just	RB	just
like	IN	like
this	DT	this
.	SENT	.
This	DT	this
fact	NN	fact
could	MD	could
enable	VB	enable
better	JJR	good
,	,	,
faster	JJR	fast
and	CC	and
cheaper	JJR	cheap
health	NN	health
care	NN	care
.	SENT	.
Our	PP$	our
translucence	NN	translucence
is	VBZ	be
key	JJ	key
here	RB	here
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
show	VB	show
you	PP	you
how	WRB	how
we	PP	we
use	VBP	use
this	DT	this
key	NN	key
and	CC	and
a	DT	a
couple	NN	couple
of	IN	of
other	JJ	other
keys	NNS	key
to	TO	to
see	VB	see
deep	JJ	deep
inside	IN	inside
our	PP$	our
bodies	NNS	body
and	CC	and
brains	NNS	brain
.	SENT	.
OK	UH	OK
,	,	,
so	RB	so
first	RB	first
up	RP	up
.	SENT	.
.	SENT	.
.	SENT	.
You	PP	you
see	VBP	see
this	DT	this
laser	NN	laser
pointer	NN	pointer
and	CC	and
the	DT	the
spot	NN	spot
it	PP	it
makes	VBZ	make
on	IN	on
my	PP$	my
hand	NN	hand
?	SENT	?
The	DT	the
light	NN	light
goes	VBZ	go
right	RB	right
through	IN	through
my	PP$	my
hand	NN	hand
—	:	-
if	IN	if
we	PP	we
could	MD	could
bring	VB	bring
the	DT	the
lights	NNS	light
down	RB	down
,	,	,
please	UH	please
—	:	-
as	IN	as
I	PP	I
'	POS	'
ve	NN	ve
already	RB	already
shown	VBN	show
.	SENT	.
But	CC	but
you	PP	you
can	MD	can
no	RB	no
longer	RBR	longer
see	VB	see
that	DT	that
laser	NN	laser
spot	NN	spot
.	SENT	.
You	PP	you
see	VBP	see
my	PP$	my
hand	NN	hand
glow	NN	glow
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
because	IN	because
the	DT	the
light	NN	light
spreads	VBZ	spread
out	RP	out
,	,	,
it	PP	it
scatters	VBZ	scatter
.	SENT	.
I	PP	I
need	VBP	need
you	PP	you
to	TO	to
understand	VB	understand
what	WP	what
scattering	NN	scattering
is	VBZ	be
,	,	,
so	RB	so
I	PP	I
can	MD	can
show	VB	show
you	PP	you
how	WRB	how
we	PP	we
get	VBP	get
rid	JJ	rid
of	IN	of
it	PP	it
and	CC	and
see	VB	see
deep	JJ	deep
inside	IN	inside
our	PP$	our
bodies	NNS	body
and	CC	and
brains	NNS	brain
.	SENT	.
So	RB	so
,	,	,
I	PP	I
'	POS	'
ve	NN	ve
got	VBD	get
a	DT	a
