Bryn	NP	Bryn
Freedman	NP	Freedman
:	:	:
You	PP	you
'	POS	'
re	NN	re
a	DT	a
guy	NN	guy
whose	WP$	whose
company	NN	company
funds	NNS	fund
these	DT	these
AI	VBP	ai
programs	NNS	program
and	CC	and
invests	VBZ	invest
.	SENT	.
So	RB	so
why	WRB	why
should	MD	should
we	PP	we
trust	VB	trust
you	PP	you
to	TO	to
not	RB	not
have	VB	have
a	DT	a
bias	NN	bias
and	CC	and
tell	VB	tell
us	PP	us
something	NN	something
really	RB	really
useful	JJ	useful
for	IN	for
the	DT	the
rest	NN	rest
of	IN	of
us	PP	us
about	IN	about
the	DT	the
future	NN	future
of	IN	of
work	NN	work
?	SENT	?
Roy	NP	Roy
Bahat	NP	<unknown>
:	:	:
Yes	UH	yes
,	,	,
I	PP	I
am	VBP	be
.	SENT	.
And	CC	and
when	WRB	when
you	PP	you
wake	VBP	wake
up	RP	up
in	IN	in
the	DT	the
morning	NN	morning
and	CC	and
you	PP	you
read	VBP	read
the	DT	the
newspaper	NN	newspaper
and	CC	and
it	PP	it
says	VBZ	say
,	,	,
"	``	"
The	DT	the
robots	NNS	robot
are	VBP	be
coming	VBG	come
,	,	,
they	PP	they
may	MD	may
take	VB	take
all	PDT	all
our	PP$	our
jobs	NNS	job
,	,	,
"	''	"
as	IN	as
a	DT	a
start-up	JJ	start-up
investor	NN	investor
focused	VBN	focus
on	IN	on
the	DT	the
future	NN	future
of	IN	of
work	NN	work
,	,	,
our	PP$	our
fund	NN	fund
was	VBD	be
the	DT	the
first	JJ	first
one	CD	one
to	TO	to
say	VB	say
artificial	JJ	artificial
intelligence	NN	intelligence
should	MD	should
be	VB	be
a	DT	a
focus	NN	focus
for	IN	for
us	PP	us
.	SENT	.
So	RB	so
I	PP	I
woke	VBD	wake
up	RP	up
one	CD	one
morning	NN	morning
and	CC	and
read	VBD	read
that	IN	that
and	CC	and
said	VBD	say
,	,	,
"	``	"
Oh	UH	oh
,	,	,
my	PP$	my
gosh	NN	gosh
,	,	,
they	PP	they
'	POS	'
re	NN	re
talking	VBG	talk
about	IN	about
me	PP	me
.	SENT	.
That	IN	that
'	''	'
s	VBZ	<unknown>
me	PP	me
who	WP	who
'	POS	'
s	NN	S
doing	VBG	do
that	DT	that
.	SENT	.
"	''	"
And	CC	and
then	RB	then
I	PP	I
thought	VBD	think
:	:	:
wait	VB	wait
a	DT	a
minute	NN	minute
.	SENT	.
If	IN	if
things	NNS	thing
continue	VBP	continue
,	,	,
then	RB	then
maybe	RB	maybe
not	RB	not
only	RB	only
will	MD	will
the	DT	the
start-ups	NNS	start-up
in	IN	in
which	WDT	which
we	PP	we
invest	VBP	invest
struggle	NN	struggle
because	IN	because
there	RB	there
won	VBN	win
'	''	'
t	NN	t
be	VB	be
people	NNS	people
to	TO	to
have	VB	have
jobs	NNS	job
to	TO	to
pay	VB	pay
for	IN	for
the	DT	the
things	NNS	thing
that	IN	that
they	PP	they
make	VB	make
and	CC	and
buy	VB	buy
them	PP	them
,	,	,
but	CC	but
our	PP$	our
economy	NN	economy
and	CC	and
society	NN	society
might	MD	might
struggle	VB	struggle
,	,	,
too	RB	too
.	SENT	.
And	CC	and
look	VB	look
,	,	,
I	PP	I
should	MD	should
be	VB	be
the	DT	the
guy	NN	guy
who	WP	who
sits	VBZ	sit
here	RB	here
