Look	VB	look
all	DT	all
around	IN	around
you	PP	you
.	SENT	.
Whether	IN	whether
you	PP	you
'	POS	'
re	NN	re
in	IN	in
a	DT	a
subway	NN	subway
,	,	,
a	DT	a
park	NN	park
,	,	,
an	DT	an
airport	NN	airport
,	,	,
a	DT	a
restaurant	NN	restaurant
,	,	,
even	RB	even
at	IN	at
this	DT	this
conference	NN	conference
,	,	,
all	RB	all
of	IN	of
you	PP	you
have	VBP	have
a	DT	a
phone	NN	phone
in	IN	in
your	PP$	your
hands	NNS	hand
or	CC	or
maybe	RB	maybe
in	IN	in
your	PP$	your
pockets	NNS	pocket
.	SENT	.
How	WRB	how
many	JJ	many
of	IN	of
you	PP	you
have	VBP	have
a	DT	a
book	NN	book
?	SENT	?
Very	RB	very
few	JJ	few
,	,	,
right	RB	right
?	SENT	?
This	DT	this
is	VBZ	be
the	DT	the
sight	NN	sight
that	WDT	that
used	VBD	use
to	TO	to
greet	VB	greet
me	PP	me
every	DT	every
time	NN	time
I	PP	I
walked	VBD	walk
out	RP	out
of	IN	of
my	PP$	my
office	NN	office
block	NN	block
.	SENT	.
I	PP	I
was	VBD	be
surrounded	VBN	surround
by	IN	by
a	DT	a
sea	NN	sea
of	IN	of
20-something	JJ	<unknown>
professionals	NNS	professional
glued	VBN	glue
to	TO	to
their	PP$	their
phones	NNS	phone
.	SENT	.
And	CC	and
not	RB	not
a	DT	a
single	NN	single
one	PP	one
had	VBD	have
a	DT	a
book	NN	book
in	IN	in
their	PP$	their
hands	NNS	hand
.	SENT	.
And	CC	and
this	DT	this
used	VBN	use
to	TO	to
make	VB	make
me	PP	me
very	RB	very
,	,	,
very	RB	very
frustrated	VBN	frustrate
.	SENT	.
I	PP	I
was	VBD	be
a	DT	a
bookworm	NN	bookworm
all	DT	all
my	PP$	my
life	NN	life
.	SENT	.
Books	NNS	book
formed	VBD	form
the	DT	the
milestones	NNS	milestone
of	IN	of
my	PP$	my
life	NN	life
.	SENT	.
The	DT	the
first	JJ	first
man	NN	man
I	PP	I
fell	VBD	fall
in	IN	in
love	NN	love
with	IN	with
was	VBD	be
Mr	NP	Mr
.	SENT	.
Darcy	NP	Darcy
.	SENT	.
I	PP	I
first	RB	first
read	VBP	read
"	``	"
Harry	NP	Harry
Potter	NP	Potter
"	''	"
when	WRB	when
I	PP	I
was	VBD	be
21	CD	@card@
,	,	,
on	IN	on
a	DT	a
summer	NN	summer
break	NN	break
from	IN	from
college	NN	college
.	SENT	.
And	CC	and
I	PP	I
remember	VBP	remember
the	DT	the
first	JJ	first
night	NN	night
I	PP	I
spent	VBD	spend
in	IN	in
a	DT	a
little	JJ	little
flat	NN	flat
I	PP	I
bought	VBD	buy
in	IN	in
my	PP$	my
mid-20s	NNS	<unknown>
,	,	,
very	RB	very
proudly	RB	proudly
,	,	,
and	CC	and
I	PP	I
spent	VBD	spend
the	DT	the
