When	WRB	when
I	PP	I
was	VBD	be
in	IN	in
high	JJ	high
school	NN	school
at	IN	at
the	DT	the
age	NN	age
of	IN	of
17	CD	@card@
â	NP	<unknown>
I	NP	I
graduated	VBD	graduate
from	IN	from
high	JJ	high
school	NN	school
in	IN	in
Decatur	NP	Decatur
,	,	,
Georgia	NP	Georgia
,	,	,
as	IN	as
valedictorian	NN	<unknown>
of	IN	of
my	PP$	my
high	JJ	high
school	NN	school
â	NP	<unknown>
I	NP	I
was	VBD	be
very	RB	very
proud	JJ	proud
of	IN	of
myself	PP	myself
.	SENT	.
I	PP	I
was	VBD	be
from	IN	from
a	DT	a
low-income	JJ	low-income
community	NN	community
,	,	,
I	PP	I
had	VBD	have
grown	VBN	grow
up	RP	up
in	IN	in
Mississippi	NP	Mississippi
,	,	,
we	PP	we
'	POS	'
d	NN	d
moved	VBD	move
from	IN	from
Mississippi	NP	Mississippi
to	TO	to
Georgia	NP	Georgia
so	IN	so
my	PP$	my
parents	NNS	parent
could	MD	could
pursue	VB	pursue
their	PP$	their
degrees	NNS	degree
as	IN	as
United	NP	United
Methodist	NP	Methodist
ministers	NNS	minister
.	SENT	.
We	PP	we
were	VBD	be
poor	JJ	poor
,	,	,
but	CC	but
they	PP	they
didn	NP	<unknown>
'	POS	'
t	NN	t
think	VBP	think
we	PP	we
were	VBD	be
poor	JJ	poor
enough	RB	enough
,	,	,
so	RB	so
they	PP	they
were	VBD	be
going	VBG	go
for	IN	for
permanent	JJ	permanent
poverty	NN	poverty
.	SENT	.
And	CC	and
so	RB	so
,	,	,
while	IN	while
they	PP	they
studied	VBD	study
at	IN	at
Emory	NP	Emory
,	,	,
I	PP	I
studied	VBD	study
at	IN	at
Avondale	NP	Avondale
,	,	,
and	CC	and
I	PP	I
became	VBD	become
valedictorian	JJ	<unknown>
.	SENT	.
Well	RB	well
,	,	,
one	CD	one
of	IN	of
the	DT	the
joys	NNS	joy
of	IN	of
being	VBG	be
valedictorian	JJ	<unknown>
in	IN	in
the	DT	the
state	NN	state
of	IN	of
Georgia	NP	Georgia
is	VBZ	be
that	IN	that
you	PP	you
get	VBP	get
invited	VBN	invite
to	TO	to
meet	VB	meet
the	DT	the
governor	NN	governor
of	IN	of
Georgia	NP	Georgia
.	SENT	.
I	PP	I
was	VBD	be
mildly	RB	mildly
interested	JJ	interested
in	IN	in
meeting	VBG	meet
him	PP	him
.	SENT	.
It	PP	it
was	VBD	be
kind	NN	kind
of	IN	of
cool	NN	cool
.	SENT	.
I	PP	I
was	VBD	be
more	RBR	more
intrigued	VBN	intrigue
by	IN	by
the	DT	the
fact	NN	fact
that	IN	that
he	PP	he
lived	VBD	live
in	IN	in
a	DT	a
mansion	NN	mansion
,	,	,
because	IN	because
I	PP	I
watched	VBD	watch
a	DT	a
lot	NN	lot
of	IN	of
"	``	"
General	NP	General
Hospital	NP	Hospital
"	''	"
