There	EX	there
are	VBP	be
three	CD	three
words	NNS	word
that	WDT	that
explain	VBP	explain
why	WRB	why
I	PP	I
am	VBP	be
here	RB	here
.	SENT	.
They	PP	they
are	VBP	be
"	``	"
Amy	NP	Amy
Krouse	NP	Krouse
Rosenthal	NP	Rosenthal
.	SENT	.
"	``	"
At	IN	at
the	DT	the
end	NN	end
of	IN	of
Amy	NP	Amy
'	POS	'
s	NN	S
life	NN	life
,	,	,
hyped	VBD	hyp
up	RP	up
on	IN	on
morphine	NN	morphine
and	CC	and
home	NN	home
in	IN	in
hospice	NN	hospice
,	,	,
the	DT	the
"	``	"
New	NP	New
York	NP	York
Times	NP	Times
"	``	"
published	VBD	publish
an	DT	an
article	NN	article
she	PP	she
wrote	VBD	write
for	IN	for
the	DT	the
"	``	"
Modern	NP	Modern
Love	NP	Love
"	''	"
column	NN	column
on	IN	on
March	NP	March
3	CD	@card@
,	,	,
2017	CD	@card@
.	SENT	.
It	PP	it
was	VBD	be
read	VBN	read
worldwide	RB	worldwide
by	IN	by
over	IN	over
five	CD	five
million	CD	million
people	NNS	people
.	SENT	.
The	DT	the
piece	NN	piece
was	VBD	be
unbearably	RB	unbearably
sad	JJ	sad
,	,	,
ironically	RB	ironically
funny	JJ	funny
and	CC	and
brutally	RB	brutally
honest	JJ	honest
.	SENT	.
While	IN	while
it	PP	it
was	VBD	be
certainly	RB	certainly
about	IN	about
our	PP$	our
life	NN	life
together	RB	together
,	,	,
the	DT	the
focus	NN	focus
of	IN	of
the	DT	the
piece	NN	piece
was	VBD	be
me	PP	me
.	SENT	.
It	PP	it
was	VBD	be
called	VBN	call
,	,	,
"	``	"
You	PP	you
May	NP	May
Want	NP	Want
to	TO	to
Marry	NP	Marry
My	NP	My
Husband	NP	Husband
.	SENT	.
"	``	"
It	PP	it
was	VBD	be
a	DT	a
creative	JJ	creative
play	NN	play
on	IN	on
a	DT	a
personal	JJ	personal
ad	NN	ad
for	IN	for
me	PP	me
.	SENT	.
Amy	NP	Amy
quite	RB	quite
literally	RB	literally
left	VBN	leave
an	DT	an
empty	JJ	empty
space	NN	space
for	IN	for
me	PP	me
to	TO	to
fill	VB	fill
with	IN	with
another	DT	another
love	NN	love
story	NN	story
.	SENT	.
Amy	NP	Amy
was	VBD	be
my	PP$	my
wife	NN	wife
for	IN	for
half	PDT	half
my	PP$	my
life	NN	life
.	SENT	.
She	PP	she
was	VBD	be
my	PP$	my
partner	NN	partner
in	IN	in
raising	VBG	raise
three	CD	three
wonderful	JJ	wonderful
,	,	,
now	RB	now
grown	VBN	grow
children	NNS	child
,	,	,
and	CC	and
really	RB	really
,	,	,
she	PP	she
was	VBD	be
my	PP$	my
girl	NN	girl
,	,	,
you	PP	you
know	VBP	know
?	SENT	?
We	PP	we
had	VBD	have
so	RB	so
much	RB	much
in	IN	in
common	JJ	common
.	SENT	.
We	PP	we
loved	VBD	love
the	DT	the
same	JJ	same
art	NN	art
,	,	,
the	DT	the
same	JJ	same
documentaries	NNS	documentary
,	,	,
the	DT	the
same	JJ	same
music	NN	music
.	SENT	.
Music	NN	music
was	VBD	be
a	DT	a
huge	JJ	huge
part	NN	part
of	IN	of
our	PP$	our
life	NN	life
together	RB	together
.	SENT	.
And	CC	and
we	PP	we
shared	VBD	share
the	DT	the
same	JJ	same
values	NNS	value
.	SENT	.
We	PP	we
were	VBD	be
in	IN	in
love	NN	love
,	,	,
and	CC	and
our	PP$	our
love	NN	love
grew	VBD	grow
stronger	JJR	strong
up	RB	up
until	IN	until
her	PP$	her
last	JJ	last
day	NN	day
.	SENT	.
Amy	NP	Amy
was	VBD	be
a	DT	a
prolific	JJ	prolific
author	NN	author
.	SENT	.
In	IN	in
addition	NN	addition
to	TO	to
two	CD	two
groundbreaking	JJ	groundbreaking
memoirs	NNS	memoir
,	,	,
she	PP	she
published	VBD	publish
over	IN	over
30	CD	@card@
children	NNS	child
'	POS	'
s	NN	S
books	NNS	book
.	SENT	.
Posthumously	RB	posthumously
,	,	,
the	DT	the
book	NN	book
she	PP	she
wrote	VBD	write
with	IN	with
our	PP$	our
daughter	NN	daughter
Paris	NP	Paris
,	,	,
called	VBD	call
"	``	"
Dear	NP	Dear
Girl	NN	girl
,	,	,
"	''	"
reached	VBD	reach
the	DT	the
number	NN	number
one	CD	one
position	NN	position
on	IN	on
the	DT	the
"	``	"
New	NP	New
York	NP	York
Times	NP	Times
"	''	"
bestseller	NN	bestseller
list	NN	list
.	SENT	.
She	PP	she
was	VBD	be
a	DT	a
self-described	VBN	self-describe
tiny	JJ	tiny
filmmaker	NN	filmmaker
.	SENT	.
She	PP	she
was	VBD	be
5	CD	@card@
'	POS	'
1	CD	@card@
"	``	"
and	CC	and
her	PP$	her
films	NNS	film
were	VBD	be
not	RB	not
that	DT	that
long	JJ	long
.	SENT	.
Her	PP$	her
films	NNS	film
exemplified	VBD	exemplify
her	PP$	her
natural	JJ	natural
ability	NN	ability
to	TO	to
gather	VB	gather
people	NNS	people
together	RB	together
.	SENT	.
She	PP	she
was	VBD	be
also	RB	also
a	DT	a
terrific	JJ	terrific
public	JJ	public
speaker	NN	speaker
,	,	,
talking	VBG	talk
with	IN	with
children	NNS	child
and	CC	and
adults	NNS	adult
of	IN	of
all	DT	all
ages	NNS	age
all	RB	all
over	IN	over
the	DT	the
world	NN	world
.	SENT	.
Now	RB	now
,	,	,
my	PP$	my
story	NN	story
of	IN	of
grief	NN	grief
is	VBZ	be
only	RB	only
unique	JJ	unique
in	IN	in
the	DT	the
sense	NN	sense
of	IN	of
it	PP	it
being	VBG	be
rather	RB	rather
public	JJ	public
.	SENT	.
However	RB	however
,	,	,
the	DT	the
grieving	VBG	grieve
process	NN	process
itself	PP	itself
was	VBD	be
not	RB	not
my	PP$	my
story	NN	story
alone	RB	alone
.	SENT	.
Amy	NP	Amy
gave	VBD	give
me	PP	me
permission	NN	permission
to	TO	to
move	VB	move
forward	RB	forward
,	,	,
and	CC	and
I	PP	I
'	POS	'
m	NN	m
so	RB	so
grateful	JJ	grateful
for	IN	for
that	DT	that
.	SENT	.
Now	RB	now
,	,	,
just	RB	just
a	DT	a
little	JJ	little
over	IN	over
a	DT	a
year	NN	year
into	IN	into
my	PP$	my
new	JJ	new
life	NN	life
,	,	,
I	PP	I
'	POS	'
ve	NN	ve
learned	VBD	learn
a	DT	a
few	JJ	few
things	NNS	thing
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
here	RB	here
to	TO	to
share	VB	share
with	IN	with
you	PP	you
part	NN	part
of	IN	of
the	DT	the
process	NN	process
of	IN	of
moving	VBG	move
forward	RB	forward
through	IN	through
and	CC	and
with	IN	with
grief	NN	grief
.	SENT	.
But	CC	but
before	IN	before
I	PP	I
do	VBP	do
that	IN	that
,	,	,
I	PP	I
think	VBP	think
it	PP	it
would	MD	would
be	VB	be
important	JJ	important
to	TO	to
talk	VB	talk
a	DT	a
little	JJ	little
bit	NN	bit
about	IN	about
the	DT	the
end	NN	end
of	IN	of
life	NN	life
,	,	,
because	IN	because
it	PP	it
forms	VBZ	form
how	WRB	how
I	PP	I
have	VBP	have
been	VBN	be
emotionally	RB	emotionally
since	IN	since
then	RB	then
.	SENT	.
Death	NN	death
is	VBZ	be
such	PDT	such
a	DT	a
taboo	JJ	taboo
subject	NN	subject
,	,	,
right	RB	right
?	SENT	?
Amy	NP	Amy
ate	VBD	eat
her	PP$	her
last	JJ	last
meal	NN	meal
on	IN	on
January	NP	January
9	CD	@card@
,	,	,
2017	CD	@card@
.	SENT	.
She	PP	she
somehow	RB	somehow
lived	VBD	live
an	DT	an
additional	JJ	additional
two	CD	two
months	NNS	month
without	IN	without
solid	JJ	solid
food	NN	food
.	SENT	.
Her	PP$	her
doctors	NNS	doctor
told	VBD	tell
us	PP	us
we	PP	we
could	MD	could
do	VB	do
hospice	NN	hospice
at	IN	at
home	NN	home
or	CC	or
in	IN	in
the	DT	the
hospital	NN	hospital
.	SENT	.
They	PP	they
did	VBD	do
not	RB	not
tell	VB	tell
us	PP	us
that	IN	that
Amy	NP	Amy
would	MD	would
shrink	VB	shrink
to	TO	to
half	PDT	half
her	PP$	her
body	NN	body
weight	NN	weight
,	,	,
that	WDT	that
she	PP	she
would	MD	would
never	RB	never
lay	VB	lay
with	IN	with
her	PP$	her
husband	NN	husband
again	RB	again
,	,	,
and	CC	and
that	IN	that
walking	VBG	walk
upstairs	RB	upstairs
to	TO	to
our	PP$	our
bedroom	NN	bedroom
would	MD	would
soon	RB	soon
feel	VB	feel
like	IN	like
running	VBG	run
a	DT	a
marathon	NN	marathon
.	SENT	.
Home	NN	home
hospice	NN	hospice
does	VBZ	do
have	VB	have
an	DT	an
aura	NN	aura
of	IN	of
being	VBG	be
a	DT	a
beautiful	JJ	beautiful
environment	NN	environment
to	TO	to
die	VB	die
in	IN	in
.	SENT	.
How	WRB	how
great	RB	great
that	IN	that
you	PP	you
don	VB	don
'	''	'
t	NN	t
have	VBP	have
the	DT	the
sounds	NNS	sound
of	IN	of
machines	NNS	machine
beeping	VBG	beep
and	CC	and
going	VBG	go
on	IN	on
and	CC	and
off	IN	off
all	PDT	all
the	DT	the
time	NN	time
,	,	,
no	DT	no
disruptions	NNS	disruption
for	IN	for
mandatory	JJ	mandatory
drug	NN	drug
administration	NN	administration
,	,	,
home	NN	home
