When	WRB	when
I	PP	I
was	VBD	be
in	IN	in
the	DT	the
sixth	JJ	sixth
grade	NN	grade
,	,	,
I	PP	I
got	VBD	get
into	IN	into
a	DT	a
fight	NN	fight
at	IN	at
school	NN	school
.	SENT	.
It	PP	it
wasn	NP	<unknown>
'	POS	'
t	NN	t
the	DT	the
first	JJ	first
time	NN	time
I	PP	I
'	''	'
d	SYM	d
been	VBN	be
in	IN	in
a	DT	a
fight	NN	fight
,	,	,
but	CC	but
it	PP	it
was	VBD	be
the	DT	the
first	JJ	first
time	NN	time
one	PP	one
happened	VBD	happen
at	IN	at
school	NN	school
.	SENT	.
It	PP	it
was	VBD	be
with	IN	with
a	DT	a
boy	NN	boy
who	WP	who
was	VBD	be
about	RB	about
a	DT	a
foot	NN	foot
taller	JJR	tall
than	IN	than
me	PP	me
,	,	,
who	WP	who
was	VBD	be
physically	RB	physically
stronger	JJR	strong
than	IN	than
me	PP	me
and	CC	and
who	WP	who
'	''	'
d	SYM	d
been	VBN	be
taunting	VBG	taunt
me	PP	me
for	IN	for
weeks	NNS	week
.	SENT	.
One	CD	one
day	NN	day
in	IN	in
PE	NN	pe
,	,	,
he	PP	he
stepped	VBD	step
on	IN	on
my	PP$	my
shoe	NN	shoe
and	CC	and
refused	VBD	refuse
to	TO	to
apologize	VB	apologize
.	SENT	.
So	RB	so
,	,	,
filled	VBN	fill
with	IN	with
anger	NN	anger
,	,	,
I	PP	I
grabbed	VBD	grab
him	PP	him
and	CC	and
I	PP	I
threw	VBD	throw
him	PP	him
to	TO	to
the	DT	the
ground	NN	ground
.	SENT	.
I	NP	I
'	POS	'
d	NN	d
had	VBD	have
some	DT	some
previous	JJ	previous
judo	NN	judo
training	NN	training
.	SENT	.
Our	PP$	our
fight	NN	fight
lasted	VBD	last
less	JJR	less
than	IN	than
two	CD	two
minutes	NNS	minute
,	,	,
but	CC	but
it	PP	it
was	VBD	be
a	DT	a
perfect	JJ	perfect
reflection	NN	reflection
of	IN	of
the	DT	the
hurricane	NN	hurricane
that	WDT	that
was	VBD	be
building	VBG	build
inside	RB	inside
of	IN	of
me	PP	me
as	IN	as
a	DT	a
young	JJ	young
survivor	NN	survivor
of	IN	of
sexual	JJ	sexual
assault	NN	assault
and	CC	and
as	IN	as
a	DT	a
girl	NN	girl
who	WP	who
was	VBD	be
grappling	VBG	grapple
with	IN	with
abandonment	NN	abandonment
and	CC	and
exposure	NN	exposure
to	TO	to
violence	NN	violence
in	IN	in
other	JJ	other
spaces	NNS	space
in	IN	in
my	PP$	my
life	NN	life
.	SENT	.
I	PP	I
was	VBD	be
fighting	VBG	fight
him	PP	him
,	,	,
but	CC	but
I	PP	I
was	VBD	be
also	RB	also
fighting	VBG	fight
the	DT	the
men	NNS	man
and	CC	and
boys	NNS	boy
that	WDT	that
had	VBD	have
assaulted	VBN	assault
my	PP$	my
body	NN	body
and	CC	and
