Hello	UH	hello
.	SENT	.
My	PP$	my
name	NN	name
is	VBZ	be
Simone	NP	Simone
.	SENT	.
You	PP	you
know	VBP	know
how	WRB	how
people	NNS	people
tell	VBP	tell
you	PP	you
if	IN	if
you	PP	you
get	VBP	get
nervous	JJ	nervous
when	WRB	when
onstage	NN	onstage
,	,	,
picture	NN	picture
people	NNS	people
in	IN	in
the	DT	the
audience	NN	audience
naked	JJ	naked
?	SENT	?
Like	IN	like
it	PP	it
'	POS	'
s	NNS	<unknown>
this	DT	this
thing	NN	thing
that	RB	that
'	POS	'
s	NNS	<unknown>
supposed	VBN	suppose
to	TO	to
make	VB	make
you	PP	you
feel	VB	feel
better	RBR	well
.	SENT	.
But	CC	but
I	PP	I
was	VBD	be
thinking	VBG	think
â	NP	<unknown>
picturing	VBG	picture
all	DT	all
of	IN	of
you	PP	you
naked	JJ	naked
in	IN	in
2018	CD	@card@
feels	VBZ	feel
kind	NN	kind
of	IN	of
weird	JJ	weird
and	CC	and
wrong	JJ	wrong
.	SENT	.
Like	IN	like
,	,	,
we	PP	we
'	POS	'
re	NN	re
working	VBG	work
really	RB	really
hard	JJ	hard
on	IN	on
moving	VBG	move
past	JJ	past
stuff	NN	stuff
like	IN	like
that	WDT	that
,	,	,
so	IN	so
we	PP	we
need	VBP	need
a	DT	a
new	JJ	new
method	NN	method
of	IN	of
dealing	VBG	deal
with	IN	with
if	IN	if
you	PP	you
get	VBP	get
nervous	JJ	nervous
onstage	NN	onstage
.	SENT	.
And	CC	and
I	PP	I
realized	VBD	realize
that	IN	that
what	WP	what
I	PP	I
'	POS	'
d	NN	d
really	RB	really
like	IN	like
is	VBZ	be
that	IN	that
I	PP	I
can	MD	can
look	VB	look
at	IN	at
you	PP	you
as	RB	as
much	RB	much
as	IN	as
you	PP	you
'	POS	'
re	NN	re
looking	VBG	look
at	IN	at
me	PP	me
â	NP	<unknown>
just	RB	just
to	TO	to
even	VB	even
things	NNS	thing
out	IN	out
a	DT	a
little	JJ	little
bit	NN	bit
.	SENT	.
So	RB	so
if	IN	if
I	PP	I
had	VBD	have
way	RB	way
more	JJR	more
eyeballs	NNS	eyeball
,	,	,
then	RB	then
we	PP	we
'	POS	'
d	NN	d
all	RB	all
be	VB	be
really	RB	really
comfortable	JJ	comfortable
,	,	,
right	RB	right
?	SENT	?
So	RB	so
in	IN	in
preparation	NN	preparation
for	IN	for
this	DT	this
talk	NN	talk
,	,	,
I	PP	I
made	VBD	make
myself	PP	myself
a	DT	a
shirt	NN	shirt
.	SENT	.
It	PP	it
'	POS	'
s	JJ	<unknown>
googly	NN	googly
eyes	NNS	eye
.	SENT	.
It	PP	it
took	VBD	take
me	PP	me
14	CD	@card@
hours	NNS	hour
and	CC	and
227	CD	@card@
googly	NN	googly
eyes	NNS	eye
to	TO	to
make	VB	make
this	DT	this
shirt	NN	shirt
.	SENT	.
And	CC	and
being	VBG	be
able	JJ	able
to	TO	to
look	VB	look
at	IN	at
you	PP	you
as	RB	as
much	RB	much
as	IN	as
you	PP	you
'	POS	'
re	NN	re
looking	VBG	look
at	IN	at
me	PP	me
is	VBZ	be
actually	RB	actually
only	JJ	only
half	NN	half
of	IN	of
the	DT	the
reason	NN	reason
I	PP	I
made	VBD	make
this	DT	this
.	SENT	.
The	DT	the
other	JJ	other
half	NN	half
is	VBZ	be
being	VBG	be
able	JJ	able
to	TO	to
do	VB	do
this	DT	this
.	SENT	.
