I	PP	I
want	VBP	want
to	TO	to
talk	VB	talk
to	TO	to
you	PP	you
tonight	RB	tonight
about	IN	about
the	DT	the
work	NN	work
that	WDT	that
makes	VBZ	make
all	DT	all
other	JJ	other
work	NN	work
possible	JJ	possible
,	,	,
about	IN	about
the	DT	the
millions	NNS	million
of	IN	of
women	NNS	woman
who	WP	who
go	VBP	go
to	TO	to
work	VB	work
in	IN	in
our	PP$	our
homes	NNS	home
every	DT	every
single	JJ	single
day	NN	day
,	,	,
caring	VBG	care
for	IN	for
children	NNS	child
as	IN	as
nannies	NNS	nanny
,	,	,
caring	VBG	care
for	IN	for
our	PP$	our
loved	VBN	love
ones	NNS	one
with	IN	with
disabilities	NNS	disability
and	CC	and
our	PP$	our
elders	NNS	elder
,	,	,
as	IN	as
home	NN	home
care	NN	care
workers	NNS	worker
,	,	,
maintaining	VBG	maintain
sanity	NN	sanity
in	IN	in
our	PP$	our
homes	NNS	home
as	IN	as
cleaners	NNS	cleaner
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
the	DT	the
work	NN	work
that	WDT	that
makes	VBZ	make
all	DT	all
other	JJ	other
work	NN	work
possible	JJ	possible
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
mostly	RB	mostly
done	VBN	do
by	IN	by
women	NNS	woman
,	,	,
more	JJR	more
than	IN	than
90	CD	@card@
percent	NN	percent
women	NNS	woman
,	,	,
disproportionately	RB	disproportionately
women	NNS	woman
of	IN	of
color	NN	color
.	SENT	.
And	CC	and
the	DT	the
work	NN	work
itself	PP	itself
is	VBZ	be
associated	VBN	associate
with	IN	with
work	NN	work
that	IN	that
women	NNS	woman
have	VBP	have
historically	RB	historically
done	VBN	do
,	,	,
work	VB	work
that	RB	that
'	''	'
s	RB	<unknown>
been	VBN	be
made	VBN	make
incredibly	RB	incredibly
invisible	JJ	invisible
and	CC	and
taken	VBN	take
for	IN	for
granted	VBN	grant
in	IN	in
our	PP$	our
culture	NN	culture
.	SENT	.
But	CC	but
it	PP	it
'	POS	'
s	NN	S
so	RB	so
fundamental	JJ	fundamental
to	TO	to
everything	NN	everything
else	RB	else
in	IN	in
our	PP$	our
world	NN	world
.	SENT	.
It	PP	it
makes	VBZ	make
it	PP	it
possible	JJ	possible
for	IN	for
all	DT	all
of	IN	of
us	PP	us
to	TO	to
go	VB	go
out	RP	out
and	CC	and
do	VB	do
what	WP	what
we	PP	we
do	VBP	do
in	IN	in
the	DT	the
world	NN	world
every	DT	every
single	JJ	single
day	NN	day
,	,	,
knowing	VBG	know
that	IN	that
the	DT	the
most	RBS	most
precious	JJ	precious
aspects	NNS	aspect
of	IN	of
our	PP$	our
lives	NNS	life
are	VBP	be
in	IN	in
good	JJ	good
hands	NNS	hand
.	SENT	.
But	CC	but
we	PP	we
don	VBP	don
'	''	'
t	NN	t
think	VBP	think
about	IN	about
it	PP	it
that	DT	that
way	NN	way
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
almost	RB	almost
defined	VBN	define
by	IN	by
its	PP$	its
invisibility	NN	invisibility
.	SENT	.
You	PP	you
could	MD	could
go	VB	go
into	IN	into
any	DT	any
neighborhood	NN	neighborhood
and	CC	and
not	RB	not
know	VB	know
