I	PP	I
want	VBP	want
to	TO	to
start	VB	start
out	RP	out
with	IN	with
quoting	VBG	quote
Helen	NP	Helen
Keller	NP	Keller
,	,	,
that	DT	that
great	JJ	great
woman	NN	woman
that	IN	that
we	PP	we
all	RB	all
admire	VBP	admire
.	SENT	.
And	CC	and
she	PP	she
had	VBD	have
a	DT	a
statement	NN	statement
that	WDT	that
is	VBZ	be
very	RB	very
profound	JJ	profound
,	,	,
and	CC	and
this	DT	this
statement	NN	statement
is	VBZ	be
that	IN	that
science	NN	science
has	VBZ	have
been	VBN	be
able	JJ	able
to	TO	to
find	VB	find
cures	NNS	cure
for	IN	for
many	JJ	many
evils	NNS	evil
,	,	,
but	CC	but
never	RB	never
the	DT	the
greatest	JJS	great
evil	NN	evil
of	IN	of
all	DT	all
in	IN	in
human	JJ	human
beings	NNS	being
,	,	,
and	CC	and
that	IN	that
evil	NN	evil
is	VBZ	be
apathy	NN	apathy
.	SENT	.
So	RB	so
,	,	,
we	PP	we
know	VBP	know
that	DT	that
apathy	NN	apathy
really	RB	really
costs	VBZ	cost
us	PP	us
a	DT	a
lot	NN	lot
,	,	,
especially	RB	especially
in	IN	in
our	PP$	our
democracy	NN	democracy
.	SENT	.
And	CC	and
when	WRB	when
we	PP	we
think	VBP	think
of	IN	of
why	WRB	why
people	NNS	people
do	VBP	do
not	RB	not
get	VB	get
involved	JJ	involved
,	,	,
why	WRB	why
they	PP	they
do	VBP	do
not	RB	not
become	VB	become
activists	NNS	activist
,	,	,
it	PP	it
'	POS	'
s	NN	S
often	RB	often
that	IN	that
people	NNS	people
are	VBP	be
so	RB	so
worn	VBN	wear
down	RP	down
with	IN	with
their	PP$	their
own	JJ	own
familial	JJ	familial
responsibilities	NNS	responsibility
,	,	,
and	CC	and
women	NNS	woman
especially	RB	especially
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
women	NNS	woman
,	,	,
they	PP	they
have	VBP	have
so	RB	so
many	JJ	many
inhibitions	NNS	inhibition
.	SENT	.
Many	JJ	many
of	IN	of
them	PP	them
have	VBP	have
suffered	VBN	suffer
so	RB	so
much	JJ	much
trauma	NN	trauma
in	IN	in
their	PP$	their
lives	NNS	life
,	,	,
so	RB	so
many	JJ	many
aggressions	NNS	aggression
in	IN	in
their	PP$	their
lives	NNS	life
.	SENT	.
And	CC	and
so	IN	so
it	PP	it
'	POS	'
s	NN	S
very	RB	very
hard	RB	hard
for	IN	for
them	PP	them
to	TO	to
realize	VB	realize
that	IN	that
they	PP	they
have	VBP	have
leadership	NN	leadership
capacities	NNS	capacity
.	SENT	.
That	IN	that
they	PP	they
can	MD	can
get	VB	get
out	RP	out
there	RB	there
,	,	,
and	CC	and
they	PP	they
could	MD	could
change	VB	change
the	DT	the
world	NN	world
.	SENT	.
Another	DT	another
thing	NN	thing
that	IN	that
many	JJ	many
women	NNS	woman
—	:	-
we	PP	we
think	VBP	think
that	IN	that
we	PP	we
have	VBP	have
to	TO	to
do	VB	do
everything	NN	everything
.	SENT	.
That	IN	that
we	PP	we
are	VBP	be
the	DT	the
only	JJ	only
ones	NNS	one
responsible	JJ	responsible
for	IN	for
our	PP$	our
families	NNS	family
,	,	,
and	CC	and
it	PP	it
is	VBZ	be
