Hello	UH	hello
.	SENT	.
I	NP	I
'	POS	'
d	NN	d
like	VBP	like
to	TO	to
show	VB	show
you	PP	you
guys	VBZ	guy
30	CD	@card@
seconds	NNS	second
of	IN	of
the	DT	the
best	JJS	good
day	NN	day
of	IN	of
my	PP$	my
life	NN	life
.	SENT	.
So	RB	so
that	DT	that
was	VBD	be
El	NP	El
Capitan	NP	Capitan
in	IN	in
California	NP	California
'	POS	'
s	NN	S
Yosemite	NP	Yosemite
National	NP	National
Park	NP	Park
,	,	,
and	CC	and
in	IN	in
case	NN	case
you	PP	you
couldn	NNS	<unknown>
'	POS	'
t	NN	t
tell	NN	tell
,	,	,
I	PP	I
was	VBD	be
climbing	VBG	climb
by	IN	by
myself	PP	myself
without	IN	without
a	DT	a
rope	NN	rope
,	,	,
a	DT	a
style	NN	style
of	IN	of
a	DT	a
climbing	NN	climbing
known	VBN	know
as	IN	as
free	JJ	free
soloing	VBG	solo
.	SENT	.
That	DT	that
was	VBD	be
the	DT	the
culmination	NN	culmination
of	IN	of
a	DT	a
nearly	RB	nearly
decade-long	JJ	decade-long
dream	NN	dream
,	,	,
and	CC	and
in	IN	in
the	DT	the
video	JJ	video
I	NP	I
'	POS	'
m	NN	m
over	IN	over
2	CD	@card@
,	,	,
500	CD	@card@
feet	NNS	foot
off	IN	off
the	DT	the
ground	NN	ground
.	SENT	.
Seems	VBZ	seem
scary	JJ	scary
?	SENT	?
Yeah	RB	yeah
,	,	,
it	PP	it
is	VBZ	be
,	,	,
which	WDT	which
is	VBZ	be
why	WRB	why
I	PP	I
spent	VBD	spend
so	RB	so
many	JJ	many
years	NNS	year
dreaming	VBG	dream
about	IN	about
soloing	VBG	solo
El	NP	El
Cap	NP	Cap
and	CC	and
not	RB	not
actually	RB	actually
doing	VBG	do
it	PP	it
.	SENT	.
But	CC	but
on	IN	on
the	DT	the
day	NN	day
that	IN	that
that	DT	that
video	NN	video
was	VBD	be
taken	VBN	take
,	,	,
it	PP	it
didn	NNS	<unknown>
'	POS	'
t	NN	t
feel	VBP	feel
scary	JJ	scary
at	IN	at
all	DT	all
.	SENT	.
It	PP	it
felt	VBD	feel
as	IN	as
comfortable	JJ	comfortable
and	CC	and
natural	JJ	natural
as	IN	as
a	DT	a
walk	NN	walk
in	IN	in
the	DT	the
park	NN	park
,	,	,
which	WDT	which
is	VBZ	be
what	WP	what
most	JJS	most
folks	NNS	folk
were	VBD	be
doing	VBG	do
in	IN	in
Yosemite	NP	Yosemite
that	DT	that
day	NN	day
.	SENT	.
Today	NP	Today
I	NP	I
'	POS	'
d	NN	d
like	VBP	like
to	TO	to
talk	VB	talk
about	RB	about
how	WRB	how
I	PP	I
was	VBD	be
able	JJ	able
to	TO	to
feel	VB	feel
so	RB	so
comfortable	JJ	comfortable
and	CC	and
how	WRB	how
I	PP	I
overcame	VBD	overcome
my	PP$	my
fear	NN	fear
.	SENT	.
I	NP	I
'	POS	'
ll	JJ	<unknown>
start	NN	start
with	IN	with
a	DT	a
very	RB	very
brief	JJ	brief
version	NN	version
of	IN	of
how	WRB	how
I	PP	I
became	VBD	become
a	DT	a
climber	NN	climber
,	,	,
and	CC	and
then	RB	then
tell	VB	tell
the	DT	the
story	NN	story
of	IN	of
my	PP$	my
two	CD	two
most	JJS	most
significant	JJ	significant
free	JJ	free
solos	NNS	solo
.	SENT	.
They	PP	they
were	VBD	be
both	DT	both
successful	JJ	successful
,	,	,
which	WDT	which
is	VBZ	be
why	WRB	why
I	PP	I
'	POS	'
m	NN	m
here	RB	here
.	SENT	.
But	CC	but
the	DT	the
first	RB	first
felt	VBN	feel
largely	RB	largely
unsatisfying	VBG	unsatisfy
,	,	,
whereas	IN	whereas
the	DT	the
second	NN	second
,	,	,
El	NP	El
Cap	NP	Cap
,	,	,
was	VBD	be
by	IN	by
far	RB	far
the	DT	the
most	RBS	most
fulfilling	VBG	fulfill
day	NN	day
of	IN	of
my	PP$	my
life	NN	life
.	SENT	.
Through	IN	through
these	DT	these
two	CD	two
climbs	VBZ	climb
,	,	,
you	PP	you
'	POS	'
ll	NNS	<unknown>
see	VBP	see
my	PP$	my
process	NN	process
for	IN	for
managing	VBG	manage
fear	NN	fear
.	SENT	.
So	RB	so
I	PP	I
started	VBD	start
climbing	VBG	climb
in	IN	in
a	DT	a
gym	NN	gym
when	WRB	when
I	PP	I
was	VBD	be
around	RB	around
10	CD	@card@
years	NNS	year
old	JJ	old
,	,	,
which	WDT	which
means	VBZ	mean
that	IN	that
my	PP$	my
life	NN	life
has	VBZ	have
been	VBN	be
centered	VBN	center
on	IN	on
climbing	VBG	climb
for	IN	for
more	JJR	more
than	IN	than
20	CD	@card@
years	NNS	year
.	SENT	.
After	IN	after
nearly	RB	nearly
a	DT	a
decade	NN	decade
of	IN	of
climbing	VBG	climb
mostly	RB	mostly
indoors	RB	indoors
,	,	,
I	PP	I
made	VBD	make
the	DT	the
transition	NN	transition
to	TO	to
the	DT	the
outdoors	RB	outdoors
and	CC	and
gradually	RB	gradually
started	VBD	start
free	JJ	free
soloing	VBG	solo
.	SENT	.
I	PP	I
built	VBD	build
up	RP	up
my	PP$	my
comfort	NN	comfort
over	IN	over
time	NN	time
and	CC	and
slowly	RB	slowly
took	VBD	take
