Hello	UH	hello
and	CC	and
welcome	JJ	welcome
.	SENT	.
As	IN	as
visual	JJ	visual
beings	NNS	being
,	,	,
we	PP	we
rely	VBP	rely
on	IN	on
images	NNS	image
to	TO	to
perceive	VB	perceive
the	DT	the
world	NN	world
and	CC	and
make	VB	make
meaning	NN	meaning
.	SENT	.
Imagine	VB	imagine
I	PP	I
ask	VB	ask
you	PP	you
to	TO	to
draw	VB	draw
a	DT	a
human	JJ	human
body	NN	body
.	SENT	.
How	WRB	how
would	MD	would
you	PP	you
depict	VB	depict
this	DT	this
body	NN	body
?	SENT	?
Body	NN	body
ideals	NNS	ideal
reflect	VBP	reflect
social	JJ	social
meanings	NNS	meaning
about	RB	about
how	WRB	how
we	PP	we
dwell	VBP	dwell
in	IN	in
spaces	NNS	space
both	CC	both
physical	JJ	physical
and	CC	and
cultural	JJ	cultural
.	SENT	.
We	PP	we
often	RB	often
interpret	VBP	interpret
bodies	NNS	body
with	IN	with
categories	NNS	category
of	IN	of
gender	NN	gender
,	,	,
race	NN	race
,	,	,
ethnicity	NN	ethnicity
,	,	,
class	NN	class
and	CC	and
belonging	VBG	belong
--	:	--
or	CC	or
not	RB	not
--	:	--
through	IN	through
modifications	NNS	modification
such	JJ	such
as	IN	as
hair	NN	hair
,	,	,
skin	NN	skin
,	,	,
clothing	NN	clothing
.	SENT	.
As	IN	as
a	DT	a
medical	JJ	medical
anthropologist	NN	anthropologist
,	,	,
I	PP	I
study	VBP	study
cultural	JJ	cultural
concepts	NNS	concept
about	IN	about
bodies	NNS	body
and	CC	and
how	WRB	how
these	DT	these
shape	NN	shape
both	CC	both
being	VBG	be
in	IN	in
the	DT	the
world	NN	world
and	CC	and
health	NN	health
.	SENT	.
Curvy	JJ	curvy
bodies	NNS	body
have	VBP	have
been	VBN	be
around	RB	around
for	IN	for
millennia	NNS	millennium
.	SENT	.
The	DT	the
limestone	NN	limestone
figurine	NN	figurine
,	,	,
known	VBN	know
as	IN	as
the	DT	the
Venus	NP	Venus
of	IN	of
Willendorf	NP	<unknown>
,	,	,
is	VBZ	be
considered	VBN	consider
to	TO	to
reflect	VB	reflect
two	CD	two
values	NNS	value
that	WDT	that
were	VBD	be
ranked	VBN	rank
high	JJ	high
in	IN	in
the	DT	the
past	JJ	past
:	:	:
reproduction	NN	reproduction
and	CC	and
abundance	NN	abundance
.	SENT	.
Fertility	NN	fertility
figures	NNS	figure
with	IN	with
voluptuous	JJ	voluptuous
curves	NNS	curve
suggest	VBP	suggest
that	IN	that
body	NN	body
ideals	NNS	ideal
for	IN	for
females	NNS	female
have	VBP	have
focused	VBN	focus
on	IN	on
full-figured	JJ	full-figured
,	,	,
curvy	JJ	curvy
bodies	NNS	body
,	,	,
especially	RB	especially
in	IN	in
agrarian	JJ	agrarian
societies	NNS	society
.	SENT	.
Low	JJ	low
waist-to-hip	NN	<unknown>
ratios	NNS	ratio
,	,	,
or	CC	or
hourglass	NN	hourglass
figures	NNS	figure
,	,	,
have	VBP	have
long	RB	long
been	VBN	be
considered	VBN	consider
to	TO	to
be	VB	be
more	RBR	more
attractive	JJ	attractive
,	,	,
from	IN	from
an	DT	an
evolutionary	JJ	evolutionary
perspective	NN	perspective
,	,	,
in	IN	in
terms	NNS	term
of	IN	of
the	DT	the
ability	NN	ability
for	IN	for
childbearing	NN	childbearing
.	SENT	.
Then	RB	then
something	NN	something
changed	VBD	change
.	SENT	.
In	IN	in
the	DT	the
past	JJ	past
century	NN	century
,	,	,
body	NN	body
ideals	NNS	ideal
shifted	VBN	shift
significantly	RB	significantly
when	WRB	when
Western	JJ	Western
societies	NNS	society
increasingly	RB	increasingly
featured	VBD	feature
thin-bodied	JJ	<unknown>
female	JJ	female
models	NNS	model
in	IN	in
mainstream	JJ	mainstream
media	NNS	medium
.	SENT	.
The	DT	the
Western	JJ	Western
body	NN	body
ideal	NN	ideal
in	IN	in
the	DT	the
1960s	NNS	1960s
was	VBD	be
Marilyn	NP	Marilyn
Monroe	NP	Monroe
.	SENT	.
By	IN	by
the	DT	the
1970s	NNS	1970s
,	,	,
magazines	NNS	magazine
featured	VBD	feature
Twiggy	NP	Twiggy
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
a	DT	a
huge	JJ	huge
shift	NN	shift
,	,	,
and	CC	and
such	JJ	such
body	NN	body
ideals	NNS	ideal
continued	VBD	continue
shrinking	VBG	shrink
.	SENT	.
Throughout	IN	throughout
the	DT	the
1980s	NNS	1980s
and	CC	and
90s	NNS	<unknown>
,	,	,
the	DT	the
gap	NN	gap
between	IN	between
the	DT	the
average	JJ	average
size	NN	size
of	IN	of
regular	JJ	regular
women	NNS	woman
and	CC	and
the	DT	the
size	NN	size
of	IN	of
models	NNS	model
continue	VBP	continue
to	TO	to
grow	VB	grow
.	SENT	.
This	DT	this
gap	NN	gap
between	IN	between
actual	JJ	actual
and	CC	and
ideal	JJ	ideal
can	MD	can
impact	VB	impact
self-image	NN	self-image
.	SENT	.
Over	IN	over
the	DT	the
past	JJ	past
three	CD	three
decades	NNS	decade
,	,	,
thinness	NN	thinness
has	VBZ	have
come	VBN	come
to	TO	to
be	VB	be
associated	VBN	associate
with	IN	with
dominant	JJ	dominant
portrayals	NNS	portrayal
of	IN	of
prestige	NN	prestige
,	,	,
in	IN	in
addition	NN	addition
to	TO	to
well-being	NN	well-being
.	SENT	.
The	DT	the
systemic	JJ	systemic
proliferation	NN	proliferation
of	IN	of
thin	JJ	thin
body	NN	body
ideals	NNS	ideal
circulates	VBZ	circulate
on	IN	on
a	DT	a
global	JJ	global
scale	NN	scale
.	SENT	.
Body	NN	body
dysmorphia	NN	dysmorphia
,	,	,
and	CC	and
often	RB	often
accompanying	VBG	accompany
eating	VBG	eat
disorders	NNS	disorder
,	,	,
can	MD	can
be	VB	be
found	VBN	find
around	IN	around
the	DT	the
world	NN	world
.	SENT	.
Thinness	NN	thinness
has	VBZ	have
become	VBN	become
a	DT	a
matter	NN	matter
of	IN	of
achievement	NN	achievement
through	IN	through
diet	NN	diet
regimes	NNS	regime
,	,	,
food	NN	food
avoidances	NNS	avoidance
,	,	,
exercise	NN	exercise
--	:	--
even	RB	even
surgery	NN	surgery
.	SENT	.
In	IN	in
1998	CD	@card@
,	,	,
the	DT	the
category	NN	category
of	IN	of
orthorexia	NN	<unknown>
,	,	,
the	DT	the
obsessive	JJ	obsessive
focus	NN	focus
on	IN	on
healthy	JJ	healthy
eating	NN	eating
,	,	,
was	VBD	be
coined	VBN	coin
as	IN	as
a	DT	a
new	JJ	new
category	NN	category
of	IN	of
eating	VBG	eat
disorder	NN	disorder
.	SENT	.
During	IN	during
this	DT	this
pandemic	JJ	pandemic
,	,	,
social	JJ	social
media	NNS	medium
followed	VBD	follow
the	DT	the
journeys	NNS	journey
of	IN	of
celebrities	NNS	celebrity
documenting	VBG	document
weight	NN	weight
loss	NN	loss
and	CC	and
other	JJ	other
transformations	NNS	transformation
.	SENT	.
Idealized	VBN	idealize
body	NN	body
types	NNS	type
aren	NNS	<unknown>
'	POS	'
t	NN	t
just	RB	just
about	IN	about
thinness	NN	thinness
anymore	RB	anymore
.	SENT	.
New	JJ	new
forms	NNS	form
of	IN	of
thin	JJ	thin
--	:	--
lean	JJ	lean
,	,	,
muscular	JJ	muscular
bodies	NNS	body
--	:	--
have	VBP	have
come	VBN	come
to	TO	to
be	VB	be
pursued	VBN	pursue
across	IN	across
gender	NN	gender
,	,	,
age	NN	age
,	,	,
income	NN	income
and	CC	and
locations	NNS	location
with	IN	with
accompanying	VBG	accompany
bias	NN	bias
against	IN	against
fat	NN	fat
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
important	JJ	important
to	TO	to
note	VB	note
,	,	,
however	RB	however
,	,	,
that	IN	that
not	RB	not
all	DT	all
societies	NNS	society
and	CC	and
cultures	VBZ	culture
fully	RB	fully
embrace	VB	embrace
thin	JJ	thin
bodies	NNS	body
as	IN	as
ideals	NNS	ideal
.	SENT	.
Curves	NNS	curve
remain	VBP	remain
significant	JJ	significant
for	IN	for
many	JJ	many
cultures	NNS	culture
and	CC	and
ethnic	JJ	ethnic
groups	NNS	group
even	RB	even
today	NN	today
,	,	,
including	VBG	include
Black	NP	Black
,	,	,
Indigenous	JJ	indigenous
and	CC	and
Latinx	NN	<unknown>
communities	NNS	community
.	SENT	.
Moreover	RB	moreover
,	,	,
standards	NNS	standard
