Hey	UH	hey
,	,	,
Mark	NP	Mark
Leifer	NP	Leifer
'	POS	'
s	NN	S
,	,	,
it	PP	it
'	POS	'
s	JJ	<unknown>
Adam	NP	Adam
.	SENT	.
Season	NN	season
four	CD	four
is	VBZ	be
launching	VBG	launch
this	DT	this
spring	NN	spring
.	SENT	.
In	IN	in
the	DT	the
meantime	NN	meantime
,	,	,
some	DT	some
exciting	JJ	exciting
news	NN	news
.	SENT	.
Each	DT	each
season	NN	season
we	PP	we
'	POS	'
ve	NN	ve
done	VBN	do
a	DT	a
couple	NN	couple
of	IN	of
bonus	NN	bonus
episodes	NNS	episode
where	WRB	where
I	PP	I
have	VBP	have
a	DT	a
discussion	NN	discussion
or	CC	or
a	DT	a
debate	NN	debate
with	IN	with
a	DT	a
thought	NN	thought
leader	NN	leader
.	SENT	.
You	PP	you
asked	VBD	ask
for	IN	for
more	JJR	more
of	IN	of
those	DT	those
.	SENT	.
So	IN	so
we	PP	we
'	POS	'
ve	NN	ve
delivered	VBD	deliver
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
new	JJ	new
series	NN	series
we	PP	we
'	POS	'
re	NN	re
calling	NN	calling
taken	VBN	take
for	IN	for
granted	VBN	grant
.	SENT	.
Get	VB	get
it	PP	it
?	SENT	?
The	DT	the
gist	NN	gist
,	,	,
more	JJR	more
unscripted	JJ	unscripted
conversations	NNS	conversation
with	IN	with
fascinating	JJ	fascinating
people	NNS	people
about	IN	about
rethinking	VBG	rethink
things	NNS	thing
we	PP	we
'	POS	'
ve	NNS	<unknown>
taken	VBN	take
for	IN	for
granted	VBN	grant
.	SENT	.
This	DT	this
is	VBZ	be
taken	VBN	take
for	IN	for
granted	VBN	grant
by	IN	by
podcast	NNS	<unknown>
with	IN	with
the	DT	the
TED	VBP	ted
Radio	NP	Radio
Collective	JJ	collective
,	,	,
I	PP	I
'	POS	'
m	NN	m
an	DT	an
organizational	JJ	organizational
psychologist	NN	psychologist
.	SENT	.
My	PP$	my
job	NN	job
is	VBZ	be
to	TO	to
think	VB	think
again	RB	again
about	RB	about
how	WRB	how
we	PP	we
work	VBP	work
,	,	,
lead	VBP	lead
and	CC	and
live	VBP	live
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
delighted	VBD	delight
that	IN	that
we	PP	we
'	''	'
re	IN	re
starting	VBG	start
this	DT	this
series	NN	series
with	IN	with
someone	NN	someone
who	WP	who
never	RB	never
fails	VBZ	fail
to	TO	to
challenge	VB	challenge
how	WRB	how
I	PP	I
think	VBP	think
about	IN	about
the	DT	the
world	NN	world
.	SENT	.
Renee	NP	Renee
Brown	NP	Brown
is	VBZ	be
a	DT	a
social	JJ	social
work	NN	work
.	SENT	.
Professor	NP	Professor
Bernie	NP	Bernie
has	VBZ	have
spent	VBN	spend
two	CD	two
decades	NNS	decade
studying	VBG	study
vulnerability	NN	vulnerability
,	,	,
empathy	NN	empathy
and	CC	and
shame	NN	shame
.	SENT	.
She	NN	she
'	POS	'
s	NNS	<unknown>
the	DT	the
host	NN	host
of	IN	of
two	CD	two
new	JJ	new
podcasts	NNS	podcast
,	,	,
Unlocking	VBG	unlock
US	NP	US
and	CC	and
Dare	NP	Dare
to	TO	to
Lead	JJ	Lead
.	SENT	.
Her	PP	her
TED	VBP	ted
talk	NN	talk
is	VBZ	be
one	CD	one
of	IN	of
the	DT	the
most	RBS	most
watched	VBN	watch
ever	RB	ever
with	IN	with
more	JJR	more
than	IN	than
50	CD	@card@
million	CD	million
views	NNS	view
,	,	,
one	CD	one
of	IN	of
the	DT	the
big	JJ	big
reasons	NNS	reason
it	PP	it
was	VBD	be
such	JJ	such
a	DT	a
sensation	NN	sensation
is	VBZ	be
that	IN	that
she	PP	she
models	VBZ	model
what	WDT	what
vulnerability	NN	vulnerability
looks	VBZ	look
like	IN	like
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
in	IN	in
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
figure	VB	figure
this	DT	this
stuff	NN	stuff
out	RP	out
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
spend	VB	spend
a	DT	a
year	NN	year
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
understand	VB	understand
how	WRB	how
vulnerability	NN	vulnerability
works	NNS	work
and	CC	and
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
outsmart	VB	outsmart
it	PP	it
.	SENT	.
As	IN	as
you	PP	you
know	VBP	know
,	,	,
it	PP	it
'	POS	'
s	NN	S
not	RB	not
going	VBG	go
to	TO	to
turn	VB	turn
out	RP	out
well	RB	well
.	SENT	.
I	NP	I
'	POS	'
ve	NN	ve
long	RB	long
been	VBN	be
fascinated	VBN	fascinate
with	IN	with
the	DT	the
power	NN	power
of	IN	of
vulnerability	NN	vulnerability
and	CC	and
impressed	VBN	impress
with	IN	with
the	DT	the
power	NN	power
of	IN	of
Bernier	NP	Bernier
'	POS	'
s	NN	S
insights	NNS	insight
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
excited	VBD	excite
to	TO	to
learn	VB	learn
from	IN	from
her	PP	her
about	IN	about
the	DT	the
nuances	NNS	nuance
of	IN	of
vulnerability	NN	vulnerability
at	IN	at
work	NN	work
,	,	,
especially	RB	especially
in	IN	in
places	NNS	place
where	WRB	where
it	PP	it
seems	VBZ	seem
risky	JJ	risky
.	SENT	.
I	PP	I
will	MD	will
say	VB	say
from	IN	from
one	CD	one
interview	NN	interview
to	TO	to
another	DT	another
,	,	,
I	PP	I
cannot	MD	can
stand	VB	stand
small	JJ	small
talk	NN	talk
.	SENT	.
I	PP	I
love	VBP	love
conversations	NNS	conversation
that	WDT	that
go	VBP	go
deep	JJ	deep
right	NN	right
away	RB	away
,	,	,
and	CC	and
you	PP	you
are	VBP	be
the	DT	the
queen	NN	queen
of	IN	of
going	VBG	go
deep	RB	deep
and	CC	and
being	VBG	be
vulnerable	JJ	vulnerable
.	SENT	.
So	RB	so
I	PP	I
feel	VBP	feel
like	IN	like
I	PP	I
feel	VBP	feel
like	IN	like
I	PP	I
have	VBP	have
extra	JJ	extra
permission	NN	permission
to	TO	to
do	VB	do
that	IN	that
here	RB	here
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
the	DT	the
queen	NN	queen
of	IN	of
vulnerability	NN	vulnerability
and	CC	and
I	PP	I
'	POS	'
m	NN	m
the	DT	the
assistant	JJ	assistant
queen	NN	queen
of	IN	of
,	,	,
like	VB	like
,	,	,
boundaries	NNS	boundary
.	SENT	.
So	IN	so
we	PP	we
'	POS	'
ll	NNS	<unknown>
see	VBP	see
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	<unknown>
go	VBP	go
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	<unknown>
go	VBP	go
as	RB	as
deep	JJ	deep
as	IN	as
we	PP	we
can	MD	can
go	VB	go
and	CC	and
then	RB	then
we	PP	we
'	POS	'
ll	NNS	<unknown>
see	VBP	see
.	SENT	.
So	RB	so
I	PP	I
guess	VBP	guess
I	PP	I
guess	VBP	guess
the	DT	the
place	NN	place
I	PP	I
want	VBP	want
to	TO	to
start	VB	start
today	NN	today
is	VBZ	be
to	TO	to
say	VB	say
that	IN	that
you	PP	you
have	VBP	have
convinced	VBN	convince
millions	NNS	million
and	CC	and
millions	NNS	million
of	IN	of
people	NNS	people
