Chris	NP	Chris
Anderson	NP	Anderson
:	:	:
Simon	NP	Simon
,	,	,
I	NP	I
'	POS	'
ll	NNS	<unknown>
start	VBP	start
us	PP	us
off	RP	off
by	IN	by
saying	VBG	say
,	,	,
I	PP	I
mean	VBP	mean
,	,	,
here	RB	here
we	PP	we
are	VBP	be
,	,	,
look	VB	look
,	,	,
after	IN	after
a	DT	a
year	NN	year
of	IN	of
the	DT	the
pandemic	NN	pandemic
,	,	,
probably	RB	probably
one	CD	one
of	IN	of
the	DT	the
most	RBS	most
extraordinary	JJ	extraordinary
experiences	NNS	experience
any	DT	any
of	IN	of
us	PP	us
have	VBP	have
had	VBD	have
.	SENT	.
What	WP	what
do	VBP	do
you	PP	you
think	VBP	think
the	DT	the
unexpected	JJ	unexpected
psychological	JJ	psychological
carryovers	NNS	carryover
might	MD	might
be	VB	be
?	SENT	?
I	PP	I
mean	VBP	mean
,	,	,
do	VBP	do
you	PP	you
think	VB	think
we	PP	we
'	POS	'
ve	JJ	<unknown>
kind	NN	kind
of	IN	of
--	:	--
Part	NN	part
of	IN	of
me	PP	me
thinks	VBZ	think
that	IN	that
people	NNS	people
have	VBP	have
got	VBN	get
more	RBR	more
fragile	JJ	fragile
,	,	,
that	IN	that
it	PP	it
'	POS	'
s	NN	S
almost	RB	almost
like	IN	like
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
sort	NN	sort
of	IN	of
learned	VBN	learn
timidity	NN	timidity
.	SENT	.
Have	VBP	have
you	PP	you
seen	VBN	see
any	DT	any
evidence	NN	evidence
of	IN	of
that	WDT	that
or	CC	or
how	WRB	how
would	MD	would
you	PP	you
characterize	VB	characterize
it	PP	it
?	SENT	?
Simon	NP	Simon
Sinek	NP	<unknown>
:	:	:
I	PP	I
think	VBP	think
we	PP	we
'	''	'
ve	NNS	<unknown>
definitely	RB	definitely
all	RB	all
become	VB	become
much	RB	much
more	RBR	more
aware	JJ	aware
of	IN	of
mental	JJ	mental
health	NN	health
.	SENT	.
And	CC	and
that	IN	that
it	PP	it
'	POS	'
s	NN	S
a	DT	a
