Meet	NP	Meet
Esmeralda	NP	Esmeralda
Flores	NP	Flores
.	SENT	.
She	PP	she
is	VBZ	be
a	DT	a
home	RB	home
cleaner	JJR	clean
in	IN	in
New	NP	New
York	NP	York
City	NP	City
.	SENT	.
And	CC	and
like	IN	like
so	RB	so
many	JJ	many
home	NN	home
cleaners	NNS	cleaner
,	,	,
she	PP	she
'	POS	'
s	NN	S
using	VBG	use
a	DT	a
tech	NN	tech
platform	NN	platform
,	,	,
an	DT	an
app	NP	App
,	,	,
to	TO	to
connect	VB	connect
to	TO	to
clients	NNS	client
.	SENT	.
But	CC	but
unlike	IN	unlike
other	JJ	other
home	NN	home
cleaners	NNS	cleaner
,	,	,
she	PP	she
'	POS	'
s	JJ	<unknown>
making	VBG	make
$25	NN	<unknown>
an	DT	an
hour	NN	hour
,	,	,
which	WDT	which
is	VBZ	be
twice	RB	twice
as	RB	as
much	JJ	much
as	IN	as
she	PP	she
used	VBD	use
to	TO	to
make	VB	make
at	IN	at
her	PP$	her
previous	JJ	previous
company	NN	company
.	SENT	.
And	CC	and
she	PP	she
makes	VBZ	make
a	DT	a
living	VBG	live
wage	NN	wage
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
no	DT	no
algorithmic	JJ	algorithmic
boss	NN	boss
at	IN	at
her	PP$	her
company	NN	company
that	WDT	that
changes	VBZ	change
the	DT	the
pay	NN	pay
or	CC	or
hours	NNS	hour
from	IN	from
under	IN	under
her	PP$	her
feet	NNS	foot
,	,	,
so	RB	so
she	PP	she
has	VBZ	have
some	DT	some
stability	NN	stability
for	IN	for
her	PP$	her
family	NN	family
.	SENT	.
And	CC	and
every	DT	every
week	NN	week
,	,	,
the	DT	the
workers	NNS	worker
at	IN	at
this	DT	this
company	NN	company
are	VBP	be
meeting	VBG	meet
to	TO	to
decide	VB	decide
how	WRB	how
to	TO	to
run	VB	run
this	DT	this
company	NN	company
.	SENT	.
They	PP	they
decide	VBP	decide
on	IN	on
the	DT	the
operations	NNS	operation
.	SENT	.
Esmeralda	NP	Esmeralda
receives	VBZ	receive
training	NN	training
in	IN	in
finance	NN	finance
