So	IN	so
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
talk	VB	talk
to	TO	to
you	PP	you
about	IN	about
carbon	NN	carbon
removals	NNS	removal
,	,	,
and	CC	and
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
start	VB	start
with	IN	with
this	DT	this
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
woolly	JJ	woolly
pig	NN	pig
.	SENT	.
She	NN	she
'	POS	'
s	NNS	<unknown>
gorgeous	JJ	gorgeous
,	,	,
obviously	RB	obviously
,	,	,
and	CC	and
she	PP	she
'	POS	'
s	NN	S
also	RB	also
one	CD	one
part	NN	part
in	IN	in
a	DT	a
whole	JJ	whole
new	JJ	new
set	NN	set
of	IN	of
approaches	NNS	approach
for	IN	for
dealing	VBG	deal
with	IN	with
climate	NN	climate
change	NN	change
.	SENT	.
They	PP	they
are	VBP	be
all	RB	all
called	VBN	call
carbon	NN	carbon
removals	NNS	removal
,	,	,
and	CC	and
they	PP	they
all	RB	all
involve	VBP	involve
taking	VBG	take
CO2	NP	<unknown>
out	RP	out
of	IN	of
the	DT	the
sky	NN	sky
and	CC	and
storing	VBG	store
it	PP	it
somewhere	RB	somewhere
safe	JJ	safe
.	SENT	.
I	NP	I
'	POS	'
ll	NNS	<unknown>
come	VBP	come
back	RB	back
to	TO	to
the	DT	the
woolly	JJ	woolly
pig	NN	pig
later	RBR	later
,	,	,
but	CC	but
first	RB	first
,	,	,
why	WRB	why
do	VBP	do
we	PP	we
need	VBP	need
carbon	NN	carbon
removals	NNS	removal
?	SENT	?
Because	IN	because
I	PP	I
know	VBP	know
what	WP	what
you	PP	you
'	POS	'
re	NN	re
thinking	NN	thinking
:	:	:
isn	NP	isn
'	POS	'
t	NN	t
it	PP	it
easier	JJR	easy
to	TO	to
stop	VB	stop
putting	VBG	put
the	DT	the
carbon	NN	carbon
in	IN	in
the	DT	the
atmosphere	NN	atmosphere
in	IN	in
the	DT	the
first	JJ	first
place	NN	place
?	SENT	?
And	CC	and
the	DT	the
answer	NN	answer
is	VBZ	be
yes	UH	yes
,	,	,
of	IN	of
course	NN	course
it	PP	it
is	VBZ	be
.	SENT	.
We	PP	we
have	VBP	have
to	TO	to
do	VB	do
everything	NN	everything
we	PP	we
can	MD	can
as	RB	as
fast	RB	fast
as	IN	as
we	PP	we
can	MD	can
to	TO	to
stop	VB	stop
carbon	NN	carbon
getting	VBG	get
into	IN	into
the	DT	the
sky	NN	sky
and	CC	and
stop	VB	stop
climate	NN	climate
change	NN	change
getting	VBG	get
worse	JJR	bad
.	SENT	.
That	DT	that
should	MD	should
not	RB	not
be	VB	be
a	DT	a
controversial	JJ	controversial
point	NN	point
of	IN	of
view	NN	view
at	IN	at
this	DT	this
meeting	NN	meeting
.	SENT	.
But	CC	but
the	DT	the
problem	NN	problem
is	VBZ	be
.	SENT	.
.	SENT	.
.	SENT	.
we	PP	we
'	POS	'
ve	NN	ve
left	VBD	leave
it	PP	it
too	RB	too
late	JJ	late
.	SENT	.
We	PP	we
can	MD	can
'	''	'
t	NN	t
now	RB	now
do	VBP	do
it	PP	it
fast	RB	fast
enough	RB	enough
.	SENT	.
I	NP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
working	VBG	work
on	IN	on
climate	NN	climate
change	NN	change
for	IN	for
more	JJR	more
than	IN	than
20	CD	@card@
years	NNS	year
,	,	,
and	CC	and
I	PP	I
'	POS	'
ve	NN	ve
talked	VBD	talk
about	IN	about
it	PP	it
in	IN	in
boardrooms	NNS	boardroom
and	CC	and
classrooms	NNS	classroom
and	CC	and
everywhere	RB	everywhere
in	IN	in
between	IN	between
,	,	,
and	CC	and
I	PP	I
was	VBD	be
shocked	VBN	shock
when	WRB	when
I	PP	I
found	VBD	find
this	DT	this
out	RP	out
,	,	,
but	CC	but
the	DT	the
science	NN	science
is	VBZ	be
utterly	RB	utterly
.	SENT	.
