Hi	UH	hi
,	,	,
my	PP$	my
name	NN	name
is	VBZ	be
Fariel	NP	Fariel
,	,	,
but	CC	but
back	RB	back
home	RB	home
,	,	,
I	PP	I
am	VBP	be
also	RB	also
called	VBN	call
the	DT	the
goat	NN	goat
lady	NN	lady
.	SENT	.
And	CC	and
today	NN	today
I	PP	I
will	MD	will
be	VB	be
sharing	VBG	share
the	DT	the
story	NN	story
of	IN	of
how	WRB	how
that	DT	that
came	VBD	come
to	TO	to
be	VB	be
about	RB	about
.	SENT	.
In	IN	in
2015	CD	@card@
,	,	,
I	PP	I
visited	VBD	visit
a	DT	a
small	JJ	small
,	,	,
remote	JJ	remote
village	NN	village
in	IN	in
Pakistan	NP	Pakistan
called	VBD	call
Pathan	NP	Pathan
Goth	NP	Goth
.	SENT	.
The	DT	the
residents	NNS	resident
of	IN	of
Pathan	NP	Pathan
Goth	NP	Goth
were	VBD	be
living	VBG	live
without	IN	without
access	NN	access
to	TO	to
basic	JJ	basic
facilities	NNS	facility
such	JJ	such
as	IN	as
water	NN	water
and	CC	and
electricity	NN	electricity
.	SENT	.
The	DT	the
community	NN	community
was	VBD	be
bussing	VBG	bus
water	NN	water
two	CD	two
hours	NNS	hour
from	IN	from
Karachi	NP	Karachi
.	SENT	.
This	DT	this
made	VBD	make
their	PP$	their
water	NN	water
so	RB	so
expensive	JJ	expensive
that	IN	that
their	PP$	their
livestock	NN	livestock
went	VBD	go
without	IN	without
water	NN	water
every	DT	every
other	JJ	other
day	NN	day
.	SENT	.
Bathing	VBG	bath
and	CC	and
laundry	NN	laundry
was	VBD	be
a	DT	a
luxury	NN	luxury
.	SENT	.
The	DT	the
solution	NN	solution
was	VBD	be
simple	JJ	simple
:	:	:
a	DT	a
solar	JJ	solar
water	NN	water
pump	NN	pump
.	SENT	.
But	CC	but
that	WDT	that
would	MD	would
cost	VB	cost
$10	NN	<unknown>
,	,	,
000	CD	@card@
.	SENT	.
And	CC	and
for	IN	for
a	DT	a
community	NN	community
where	WRB	where
the	DT	the
average	JJ	average
household	NN	household
earned	VBD	earn
just	RB	just
about	RB	about
$70	JJ	$@card@
a	DT	a
month	NN	month
,	,	,
this	DT	this
was	VBD	be
beyond	IN	beyond
their	PP$	their
affordability	NN	affordability
.	SENT	.
As	IN	as
I	PP	I
sat	VBD	sit
there	RB	there
thinking	VBG	think
about	IN	about
this	DT	this
issue	NN	issue
,	,	,
the	DT	the
solution	NN	solution
literally	RB	literally
walked	VBD	walk
in	IN	in
front	NN	front
of	IN	of
me	PP	me
.	SENT	.
A	DT	a
herd	NN	herd
of	IN	of
more	JJR	more
than	IN	than
100	CD	@card@
goats	NNS	goat
crossed	VBD	cross
my	PP$	my
path	NN	path
.	SENT	.
And	CC	and
I	PP	I
thought	VBD	think
to	TO	to
myself	PP	myself
,	,	,
that	WDT	that
is	VBZ	be
a	DT	a
lot	NN	lot
of	IN	of
goats	NNS	goat
.	SENT	.
I	PP	I
took	VBD	take
a	DT	a
chance	NN	chance
and	CC	and
asked	VBD	ask
the	DT	the
village	NN	village
elder	JJR	elder
:	:	:
Would	MD	would
they	PP	they
consider	VB	consider
paying	VBG	pay
me	PP	me
for	IN	for
their	PP$	their
pump	NN	pump
in	IN	in
goats	NNS	goat
?	SENT	?
He	PP	he
agreed	VBD	agree
,	,	,
and	CC	and
that	DT	that
is	VBZ	be
how	WRB	how
Pathan	NP	Pathan
Goth	NP	Goth
got	VBD	get
its	PP$	its
pump	NN	pump
and	CC	and
I	PP	I
became	VBD	become
the	DT	the
proud	JJ	proud
owner	NN	owner
of	IN	of
40	CD	@card@
goats	NNS	goat
.	SENT	.
A	DT	a
few	JJ	few
months	NNS	month
down	IN	down
the	DT	the
line	NN	line
,	,	,
the	DT	the
Muslim	JJ	Muslim
festival	NN	festival
of	IN	of
Eid	NP	Eid
came	VBD	come
around	RP	around
.	SENT	.
During	IN	during
Eid	NP	Eid
,	,	,
livestock	NN	livestock
is	VBZ	be
offered	VBN	offer
to	TO	to
honor	VB	honor
Abraham	NP	Abraham
'	POS	'
s	JJ	<unknown>
willingness	NN	willingness
to	TO	to
sacrifice	VB	sacrifice
Isaac	NP	Isaac
.	SENT	.
And	CC	and
much	RB	much
like	IN	like
shopping	NN	shopping
before	IN	before
Christmas	NP	Christmas
,	,	,
the	DT	the
demand	NN	demand
for	IN	for
goats	NNS	goat
goes	VBZ	go
up	RP	up
,	,	,
and	CC	and
the	DT	the
price	NN	price
skyrockets	NNS	skyrocket
.	SENT	.
I	PP	I
remembered	VBD	remember
my	PP$	my
goats	NNS	goat
and	CC	and
decided	VBD	decide
to	TO	to
put	VB	put
up	RP	up
a	DT	a
post	NN	post
on	IN	on
Facebook	NP	<unknown>
asking	VBG	ask
my	PP$	my
friends	NNS	friend
and	CC	and
family	NN	family
to	TO	to
buy	VB	buy
their	PP$	their
Eid	NP	Eid
goat	NN	goat
from	IN	from
me	PP	me
that	DT	that
year	NN	year
