When	WRB	when
I	PP	I
was	VBD	be
a	DT	a
little	JJ	little
little	JJ	little
kid	NN	kid
,	,	,
I	PP	I
was	VBD	be
a	DT	a
four	CD	four
years	NNS	year
old	JJ	old
on	IN	on
my	PP$	my
first	JJ	first
airplane	NN	airplane
ride	NN	ride
and	CC	and
we	PP	we
got	VBD	get
to	TO	to
go	VB	go
up	RP	up
front	NN	front
in	IN	in
the	DT	the
cockpit	NN	cockpit
because	IN	because
you	PP	you
could	MD	could
kind	RB	kind
of	IN	of
do	VBP	do
that	IN	that
back	RB	back
then	RB	then
.	SENT	.
And	CC	and
it	PP	it
was	VBD	be
.	SENT	.
Totally	RB	totally
dark	JJ	dark
,	,	,
no	DT	no
moon	NN	moon
over	IN	over
the	DT	the
Atlantic	NP	Atlantic
Ocean	NP	Ocean
,	,	,
there	EX	there
is	VBZ	be
like	IN	like
a	DT	a
billion	NN	billion
stars	VBZ	star
in	IN	in
the	DT	the
sky	NN	sky
and	CC	and
I	PP	I
went	VBD	go
back	RB	back
and	CC	and
told	VBD	tell
my	PP$	my
mom	NN	mom
I	PP	I
wanted	VBD	want
to	TO	to
be	VB	be
a	DT	a
stewardess	NN	stewardess
and	CC	and
my	PP$	my
mom	NN	mom
,	,	,
to	TO	to
her	PP$	her
credit	NN	credit
,	,	,
she	PP	she
wasn	NNS	<unknown>
'	POS	'
t	NN	t
.	SENT	.
Honey	NN	honey
,	,	,
you	PP	you
might	MD	might
want	VB	want
to	TO	to
think	VB	think
about	IN	about
being	VBG	be
a	DT	a
pilot	NN	pilot
.	SENT	.
And	CC	and
there	EX	there
you	PP	you
go	VBP	go
.	SENT	.
That	IN	that
'	POS	'
s	VBG	<unknown>
what	WP	what
I	PP	I
wanted	VBD	want
to	TO	to
do	VB	do
from	IN	from
then	RB	then
on	IN	on
.	SENT	.
Sharon	NP	Sharon
Pressler	NP	Pressler
has	VBZ	have
flown	VBN	flow
lots	NNS	lot
of	IN	of
different	JJ	different
kinds	NNS	kind
of	IN	of
airplanes	NNS	airplane
since	IN	since
then	RB	then
,	,	,
including	VBG	include
fighter	NN	fighter
jets	NNS	jet
.	SENT	.
She	PP	she
was	VBD	be
the	DT	the
first	JJ	first
woman	NN	woman
in	IN	in
the	DT	the
US	NP	US
Air	NP	Air
Force	NP	Force
to	TO	to
fly	VB	fly
the	DT	the
F-16	NP	F-16
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
just	RB	just
always	RB	always
been	VBN	be
the	DT	the
coolest	JJS	cool
looking	VBG	look
airplane	NN	airplane
,	,	,
that	DT	that
bubble	NN	bubble
canopy	NN	canopy
and	CC	and
the	DT	the
big	JJ	big
engine	NN	engine
.	SENT	.
And	CC	and
it	PP	it
has	VBZ	have
the	DT	the
highest	JJS	high
tolerance	NN	tolerance
,	,	,
which	WDT	which
is	VBZ	be
nine	CD	nine
times	NNS	time
the	DT	the
